z[m],potential[V]
-2.000000000000000174e-07,0.000000000000000000e+00
-1.995900000000000290e-07,-1.408231340772379630e-05
-1.991800000000000140e-07,-2.816462681544759259e-05
-1.987700000000000256e-07,-4.224694022317135501e-05
-1.983600000000000371e-07,-5.632925363089515131e-05
-1.979499999999999958e-07,-7.041156703861993016e-05
-1.975400000000000073e-07,-8.449388044634372646e-05
-1.971300000000000189e-07,-9.857619385406750920e-05
-1.967200000000000039e-07,-1.126585072617912648e-04
-1.963100000000000155e-07,-1.267408206695151154e-04
-1.959000000000000270e-07,-1.408231340772388574e-04
-1.954900000000000121e-07,-1.549054474849626537e-04
-1.950800000000000237e-07,-1.689877608926864771e-04
-1.946700000000000087e-07,-1.830700743004112221e-04
-1.942599999999999938e-07,-1.971523877081350184e-04
-1.938500000000000054e-07,-2.112347011158587876e-04
-1.934400000000000169e-07,-2.253170145235825839e-04
-1.930300000000000020e-07,-2.393993279313063802e-04
-1.926200000000000135e-07,-2.534816413390301765e-04
-1.922100000000000251e-07,-2.675639547467539999e-04
-1.918000000000000102e-07,-2.816462681544777691e-04
-1.913899999999999952e-07,-2.957285815622025141e-04
-1.909800000000000068e-07,-3.098108949699263375e-04
-1.905699999999999919e-07,-3.238932083776501067e-04
-1.901600000000000034e-07,-3.379755217853739301e-04
-1.897500000000000150e-07,-3.534378741334998075e-04
-1.893400000000000265e-07,-3.690951951928566721e-04
-1.889300000000000116e-07,-3.847525162522134824e-04
-1.885200000000000231e-07,-4.004098373115702928e-04
-1.881100000000000347e-07,-4.160671583709271574e-04
-1.876999999999999933e-07,-4.317244794302852145e-04
-1.872900000000000049e-07,-4.473818004896419707e-04
-1.868800000000000164e-07,-4.630391215489988352e-04
-1.864700000000000015e-07,-4.786964426083556998e-04
-1.860600000000000130e-07,-4.943537636677126186e-04
-1.856500000000000246e-07,-5.100110847270694289e-04
-1.852400000000000097e-07,-5.256684057864263477e-04
-1.848300000000000212e-07,-5.413257268457831580e-04
-1.844200000000000328e-07,-5.569830479051400768e-04
-1.840099999999999914e-07,-5.726403689644979714e-04
-1.836000000000000029e-07,-5.882976900238548901e-04
-1.831900000000000145e-07,-6.039550110832117005e-04
-1.827799999999999995e-07,-6.196123321425686193e-04
-1.823700000000000111e-07,-6.352696532019254296e-04
-1.819600000000000226e-07,-6.509269742612822400e-04
-1.815500000000000342e-07,-6.665842953206391587e-04
-1.811399999999999928e-07,-6.822416163799970533e-04
-1.807300000000000043e-07,-6.978989374393539721e-04
-1.803200000000000159e-07,-7.135562584987107824e-04
-1.799100000000000010e-07,-7.317107902794681672e-04
-1.795000000000000125e-07,-7.506870083097638919e-04
-1.790900000000000241e-07,-7.696632263400596165e-04
-1.786800000000000092e-07,-7.886394443703553412e-04
-1.782700000000000207e-07,-8.076156624006512828e-04
-1.778600000000000322e-07,-8.265918804309468990e-04
-1.774499999999999909e-07,-8.455680984612441416e-04
-1.770400000000000024e-07,-8.645443164915396494e-04
-1.766300000000000140e-07,-8.835205345218354826e-04
-1.762199999999999990e-07,-9.024967525521313157e-04
-1.758100000000000106e-07,-9.214729705824271488e-04
-1.754000000000000221e-07,-9.404491886127228735e-04
-1.749900000000000072e-07,-9.594254066430184897e-04
-1.745800000000000188e-07,-9.784016246733144313e-04
-1.741700000000000303e-07,-9.973778427036102644e-04
-1.737599999999999889e-07,-1.016354060733907399e-03
-1.733500000000000005e-07,-1.035330278764203232e-03
-1.729400000000000120e-07,-1.054306496794498848e-03
-1.725300000000000236e-07,-1.073282714824794681e-03
-1.721200000000000086e-07,-1.092258932855090297e-03
-1.717100000000000202e-07,-1.111235150885386130e-03
-1.713000000000000317e-07,-1.130211368915681747e-03
-1.708899999999999904e-07,-1.149187586945979098e-03
-1.704800000000000019e-07,-1.168163804976274714e-03
-1.700700000000000134e-07,-1.190585389901425029e-03
-1.696599999999999985e-07,-1.215042338062676322e-03
-1.692500000000000101e-07,-1.239499286223927398e-03
-1.688400000000000216e-07,-1.263956234385178691e-03
-1.684300000000000067e-07,-1.288413182546430200e-03
-1.680200000000000183e-07,-1.312870130707681059e-03
-1.676100000000000298e-07,-1.337327078868932569e-03
-1.671999999999999884e-07,-1.361784027030185380e-03
-1.667900000000000000e-07,-1.386240975191436672e-03
-1.663800000000000115e-07,-1.410697923352687748e-03
-1.659699999999999966e-07,-1.435154871513939041e-03
-1.655600000000000081e-07,-1.459611819675190334e-03
-1.651500000000000197e-07,-1.484068767836441410e-03
-1.647400000000000312e-07,-1.508525715997692702e-03
-1.643300000000000163e-07,-1.532982664158943778e-03
-1.639200000000000279e-07,-1.557439612320194854e-03
-1.635100000000000129e-07,-1.581896560481447882e-03
-1.630999999999999980e-07,-1.606353508642699175e-03
-1.626900000000000096e-07,-1.630810456803950250e-03
-1.622800000000000211e-07,-1.655267404965201760e-03
-1.618700000000000062e-07,-1.679724353126452836e-03
-1.614600000000000177e-07,-1.704181301287704346e-03
-1.610500000000000293e-07,-1.728638249448955421e-03
-1.606399999999999879e-07,-1.753095197610208232e-03
-1.602300000000000259e-07,-1.781746541045608340e-03
-1.598200000000000110e-07,-1.814511792668899908e-03
-1.594099999999999961e-07,-1.847277044292189307e-03
-1.590000000000000076e-07,-1.880042295915478707e-03
-1.585900000000000192e-07,-1.912807547538768107e-03
-1.581800000000000043e-07,-1.945572799162057507e-03
-1.577700000000000158e-07,-1.978338050785347340e-03
-1.573600000000000274e-07,-2.011103302408636523e-03
-1.569499999999999860e-07,-2.043868554031928308e-03
-1.565399999999999975e-07,-2.076633805655217924e-03
-1.561300000000000091e-07,-2.109399057278507107e-03
-1.557200000000000206e-07,-2.142164308901796724e-03
-1.553100000000000057e-07,-2.174929560525085907e-03
-1.549000000000000172e-07,-2.207694812148375523e-03
-1.544900000000000288e-07,-2.240460063771664706e-03
-1.540800000000000139e-07,-2.273225315394954323e-03
-1.536700000000000254e-07,-2.305990567018243939e-03
-1.532600000000000105e-07,-2.338755818641535724e-03
-1.528499999999999956e-07,-2.371521070264824473e-03
-1.524400000000000071e-07,-2.404286321888114523e-03
-1.520300000000000187e-07,-2.437051573511403706e-03
-1.516200000000000037e-07,-2.469816825134693323e-03
-1.512100000000000153e-07,-2.502582076757982506e-03
-1.508000000000000268e-07,-2.535347328381272556e-03
-1.503899999999999855e-07,-2.572728727933192711e-03
-1.499800000000000235e-07,-2.617608113613215624e-03
-1.495700000000000086e-07,-2.662487499293243742e-03
-1.491599999999999936e-07,-2.707366884973269258e-03
-1.487500000000000052e-07,-2.752246270653294774e-03
-1.483400000000000167e-07,-2.797125656333319856e-03
-1.479300000000000283e-07,-2.842005042013346239e-03
-1.475200000000000134e-07,-2.886884427693371322e-03
-1.471100000000000249e-07,-2.931763813373396404e-03
-1.467000000000000100e-07,-2.976643199053425389e-03
-1.462900000000000215e-07,-3.021522584733447869e-03
-1.458800000000000066e-07,-3.066401970413476855e-03
-1.454700000000000182e-07,-3.111281356093502370e-03
-1.450600000000000032e-07,-3.156160741773527886e-03
-1.446500000000000148e-07,-3.201040127453552969e-03
-1.442400000000000263e-07,-3.245919513133579352e-03
-1.438300000000000114e-07,-3.290798898813604434e-03
-1.434200000000000230e-07,-3.335678284493629516e-03
-1.430100000000000080e-07,-3.380557670173658501e-03
-1.425999999999999931e-07,-3.425437055853684017e-03
-1.421900000000000047e-07,-3.470316441533709967e-03
-1.417800000000000162e-07,-3.515195827213735049e-03
-1.413700000000000013e-07,-3.560075212893760131e-03
-1.409600000000000128e-07,-3.604954598573785647e-03
-1.405500000000000244e-07,-3.654295567909695078e-03
-1.401399999999999830e-07,-3.716517274528246401e-03
-1.397300000000000210e-07,-3.778738981146789050e-03
-1.393200000000000061e-07,-3.840960687765340373e-03
-1.389100000000000177e-07,-3.903182394383887359e-03
-1.385000000000000027e-07,-3.965404101002434345e-03
-1.380900000000000143e-07,-4.027625807620981331e-03
-1.376800000000000258e-07,-4.089847514239528317e-03
-1.372700000000000109e-07,-4.152069220858075303e-03
-1.368600000000000225e-07,-4.214290927476622289e-03
-1.364500000000000075e-07,-4.276512634095173612e-03
-1.360400000000000191e-07,-4.338734340713715394e-03
-1.356300000000000042e-07,-4.400956047332266717e-03
-1.352200000000000157e-07,-4.463177753950813703e-03
-1.348100000000000008e-07,-4.525399460569360689e-03
-1.344000000000000123e-07,-4.587621167187907675e-03
-1.339900000000000239e-07,-4.649842873806454661e-03
-1.335799999999999825e-07,-4.712064580425005117e-03
-1.331700000000000205e-07,-4.774286287043548634e-03
-1.327600000000000056e-07,-4.836507993662099089e-03
-1.323500000000000436e-07,-4.898729700280642606e-03
-1.319400000000000022e-07,-4.960951406899193061e-03
-1.315300000000000138e-07,-5.023173113517740047e-03
-1.311200000000000253e-07,-5.085394820136287901e-03
-1.307100000000000104e-07,-5.150902409347578141e-03
-1.303000000000000219e-07,-5.237741782942889959e-03
-1.298900000000000070e-07,-5.324581156538207849e-03
-1.294800000000000186e-07,-5.411420530133514463e-03
-1.290700000000000037e-07,-5.498259903728832353e-03
-1.286600000000000417e-07,-5.585099277324138099e-03
-1.282500000000000003e-07,-5.671938650919455989e-03
-1.278400000000000118e-07,-5.758778024514768674e-03
-1.274300000000000234e-07,-5.845617398110080493e-03
-1.270200000000000085e-07,-5.932456771705392311e-03
-1.266100000000000200e-07,-6.019296145300707598e-03
-1.262000000000000051e-07,-6.106135518896020284e-03
-1.257900000000000166e-07,-6.192974892491331235e-03
-1.253800000000000282e-07,-6.279814266086643920e-03
-1.249700000000000133e-07,-6.366653639681958340e-03
-1.245599999999999983e-07,-6.453493013277271026e-03
-1.241500000000000099e-07,-6.540332386872582844e-03
-1.237400000000000214e-07,-6.627171760467894662e-03
-1.233300000000000065e-07,-6.714011134063210817e-03
-1.229200000000000181e-07,-6.800850507658522635e-03
-1.225100000000000031e-07,-6.887689881253833586e-03
-1.221000000000000147e-07,-6.974529254849145404e-03
-1.216899999999999998e-07,-7.061368628444461559e-03
-1.212800000000000113e-07,-7.148208002039773377e-03
-1.208700000000000229e-07,-7.235383970875427541e-03
-1.204600000000000080e-07,-7.356968488449779943e-03
-1.200500000000000195e-07,-7.478553006024131478e-03
-1.196400000000000046e-07,-7.600137523598487349e-03
-1.192300000000000161e-07,-7.721722041172839751e-03
-1.188200000000000144e-07,-7.843306558747192153e-03
-1.184100000000000128e-07,-7.964891076321542820e-03
-1.180000000000000111e-07,-8.086475593895898692e-03
-1.175900000000000094e-07,-8.208060111470251094e-03
-1.171800000000000077e-07,-8.329644629044603496e-03
-1.167700000000000192e-07,-8.451229146618954163e-03
-1.163600000000000043e-07,-8.572813664193310035e-03
-1.159500000000000159e-07,-8.694398181767662437e-03
-1.155400000000000142e-07,-8.815982699342014839e-03
-1.151300000000000125e-07,-8.937567216916365506e-03
-1.147200000000000108e-07,-9.059151734490721378e-03
-1.143100000000000091e-07,-9.180736252065072045e-03
-1.139000000000000074e-07,-9.302320769639426182e-03
-1.134900000000000190e-07,-9.423905287213776849e-03
-1.130800000000000041e-07,-9.545489804788134455e-03
-1.126700000000000024e-07,-9.667074322362485123e-03
-1.122600000000000139e-07,-9.788658839936835790e-03
-1.118500000000000122e-07,-9.910243357511188192e-03
-1.114400000000000238e-07,-1.003182787508554059e-02
-1.110300000000000089e-07,-1.015341239265989647e-02
-1.106200000000000072e-07,-1.031823167660146125e-02
-1.102100000000000187e-07,-1.048861949026153907e-02
-1.098000000000000171e-07,-1.065900730392161690e-02
-1.093900000000000021e-07,-1.082939511758169993e-02
-1.089800000000000137e-07,-1.099978293124177949e-02
-1.085700000000000120e-07,-1.117017074490185558e-02
-1.081600000000000235e-07,-1.134055855856193340e-02
-1.077500000000000086e-07,-1.151094637222201816e-02
-1.073400000000000069e-07,-1.168133418588209599e-02
-1.069300000000000185e-07,-1.185172199954217381e-02
-1.065200000000000168e-07,-1.202210981320225164e-02
-1.061100000000000019e-07,-1.219249762686233467e-02
-1.057000000000000134e-07,-1.236288544052241423e-02
-1.052900000000000117e-07,-1.253327325418249032e-02
-1.048800000000000101e-07,-1.270366106784256814e-02
-1.044700000000000084e-07,-1.287404888150265117e-02
-1.040600000000000067e-07,-1.304443669516273073e-02
-1.036500000000000182e-07,-1.321482450882280855e-02
-1.032400000000000165e-07,-1.338521232248288638e-02
-1.028300000000000149e-07,-1.355560013614296247e-02
-1.024200000000000132e-07,-1.372598794980304723e-02
-1.020100000000000115e-07,-1.389637576346312506e-02
-1.016000000000000098e-07,-1.406676357712320115e-02
-1.011900000000000214e-07,-1.423715139078327897e-02
-1.007800000000000064e-07,-1.445945186844971309e-02
-1.003700000000000047e-07,-1.469795675512590959e-02
-9.996000000000001629e-08,-1.493646164180210435e-02
-9.955000000000001461e-08,-1.517496652847830085e-02
-9.914000000000001292e-08,-1.541347141515450603e-02
-9.873000000000001123e-08,-1.565197630183070426e-02
-9.832000000000000955e-08,-1.589048118850689903e-02
-9.791000000000002110e-08,-1.612898607518309380e-02
-9.750000000000000618e-08,-1.636749096185929897e-02
-9.709000000000000449e-08,-1.660599584853549721e-02
-9.668000000000001604e-08,-1.684450073521169197e-02
-9.627000000000001435e-08,-1.708300562188789368e-02
-9.585999999999999943e-08,-1.732151050856409538e-02
-9.545000000000001098e-08,-1.756001539524029015e-02
-9.504000000000000929e-08,-1.779852028191648491e-02
-9.463000000000002084e-08,-1.803702516859268315e-02
-9.422000000000001916e-08,-1.827553005526887792e-02
-9.381000000000000424e-08,-1.851403494194508656e-02
-9.340000000000001578e-08,-1.875253982862128133e-02
