r[m],potential[V]
0.000000000000000000e+00,-4.176055413866876509e-01
1.000000000000000269e-09,-4.164111515422094789e-01
2.000000000000000538e-09,-4.152167616977313069e-01
3.000000000000001221e-09,-4.134441042288942159e-01
4.000000000000001076e-09,-4.114493553926617531e-01
5.000000000000000932e-09,-4.087258089937153005e-01
6.000000000000002442e-09,-4.056251326474422658e-01
7.000000000000002297e-09,-4.021255446284044410e-01
8.000000000000002153e-09,-3.981239216420343618e-01
9.000000000000002835e-09,-3.938329030108906892e-01
1.000000000000000186e-08,-3.889211859731009913e-01
1.100000000000000255e-08,-3.840094689353113488e-01
1.200000000000000488e-08,-3.783304417531924702e-01
1.300000000000000391e-08,-3.726415335431939591e-01
1.400000000000000459e-08,-3.664740562485870878e-01
1.500000000000000528e-08,-3.602447211242242320e-01
1.600000000000000431e-08,-3.537266326117819437e-01
1.700000000000000333e-08,-3.470505033661951400e-01
1.800000000000000567e-08,-3.402390744157259839e-01
1.900000000000000470e-08,-3.333396039275517420e-01
2.000000000000000373e-08,-3.263936536620716256e-01
2.100000000000000606e-08,-3.193526096629586419e-01
2.200000000000000509e-08,-3.122761190970505529e-01
2.300000000000000412e-08,-3.051263624012957032e-01
2.400000000000000977e-08,-2.979886074144845742e-01
2.500000000000000879e-08,-2.908810135978319167e-01
2.600000000000000782e-08,-2.837783662206571633e-01
2.700000000000001016e-08,-2.767775690025557900e-01
2.800000000000000919e-08,-2.697767717844542501e-01
2.900000000000000822e-08,-2.629159974483109008e-01
3.000000000000001055e-08,-2.560635856325831350e-01
3.100000000000000627e-08,-2.493110771325484920e-01
3.200000000000000861e-08,-2.425889894667737356e-01
3.300000000000001095e-08,-2.360011769243985646e-01
3.400000000000000667e-08,-2.295139140940746780e-01
3.500000000000000900e-08,-2.231329065083261787e-01
3.600000000000001134e-08,-2.168855325637971676e-01
3.700000000000000706e-08,-2.106832609449140747e-01
3.800000000000000940e-08,-2.046501225428803972e-01
3.900000000000001173e-08,-1.986609327784367163e-01
4.000000000000000745e-08,-1.928970967069791320e-01
4.100000000000000979e-08,-1.871332606355215755e-01
4.200000000000001213e-08,-1.816034665479382693e-01
4.300000000000000785e-08,-1.761087930716479510e-01
4.400000000000001019e-08,-1.707577754646804891e-01
4.500000000000001252e-08,-1.654992945506641167e-01
4.600000000000000824e-08,-1.603800456767990879e-01
4.700000000000001058e-08,-1.553850067793190459e-01
4.800000000000001953e-08,-1.504683656902076894e-01
4.900000000000001525e-08,-1.457119994384928341e-01
5.000000000000001759e-08,-1.409988984114499966e-01
5.100000000000001993e-08,-1.364732759605858381e-01
5.200000000000001565e-08,-1.319476535097216519e-01
5.300000000000001798e-08,-1.276308119855145140e-01
5.400000000000002032e-08,-1.233488632714798694e-01
5.500000000000001604e-08,-1.192270356624781091e-01
5.600000000000001838e-08,-1.151527011021138552e-01
5.700000000000002071e-08,-1.111786778543071841e-01
5.800000000000001643e-08,-1.072988214323636058e-01
5.900000000000001877e-08,-1.035211911726835882e-01
6.000000000000002111e-08,-9.984932166680897392e-02
6.100000000000001683e-08,-9.621678267512609461e-02
6.200000000000001255e-08,-9.272868931513039703e-02
6.300000000000002150e-08,-8.927410949390979233e-02
6.400000000000001722e-08,-8.594427652100398995e-02
6.500000000000001294e-08,-8.264219736998498766e-02
6.600000000000002189e-08,-7.949238523462098804e-02
6.700000000000001761e-08,-7.634257309925696067e-02
6.800000000000001333e-08,-7.334328000826063898e-02
6.900000000000002229e-08,-7.035496532291263261e-02
7.000000000000001801e-08,-6.749792285794076196e-02
7.100000000000001373e-08,-6.467104240778380475e-02
7.200000000000002268e-08,-6.189894026580335801e-02
7.300000000000001840e-08,-5.924726748334998433e-02
7.400000000000001412e-08,-5.659559470089662453e-02
7.500000000000002308e-08,-5.406947246701634263e-02
7.600000000000001880e-08,-5.155568794432713320e-02
7.700000000000001452e-08,-4.916467491487184344e-02
7.800000000000002347e-08,-4.678882734214578204e-02
7.900000000000001919e-08,-4.448735683221324150e-02
8.000000000000001491e-08,-4.223292822121829659e-02
8.100000000000002386e-08,-4.004707980500554765e-02
8.200000000000001958e-08,-3.791528965266304646e-02
8.300000000000001530e-08,-3.581103240162611390e-02
8.400000000000002426e-08,-3.379973203712481611e-02
8.500000000000001998e-08,-3.179453606801493221e-02
8.600000000000001570e-08,-2.989355289403440932e-02
8.700000000000002465e-08,-2.799256972005389338e-02
8.800000000000002037e-08,-2.618095686027992891e-02
8.900000000000001609e-08,-2.438067259366382897e-02
9.000000000000002504e-08,-2.265681740823850127e-02
9.100000000000002076e-08,-2.095507576898493485e-02
9.200000000000001648e-08,-1.930815946098993208e-02
9.300000000000002544e-08,-1.770674002415500992e-02
9.400000000000002116e-08,-1.612531516723639952e-02
9.500000000000001688e-08,-1.461452693995485275e-02
9.600000000000003907e-08,-1.312088868468266542e-02
9.700000000000003479e-08,-1.169356153745434654e-02
9.800000000000003051e-08,-1.026623439022602592e-02
9.900000000000003946e-08,-8.915596824881237559e-03
1.000000000000000352e-07,-7.569778562263759086e-03
1.010000000000000309e-07,-6.286527578645229042e-03
1.020000000000000399e-07,-5.013085205097767352e-03
1.030000000000000356e-07,-3.787461582401436752e-03
1.040000000000000313e-07,-2.586347690915874117e-03
1.050000000000000402e-07,-1.428624817843637297e-03
1.060000000000000360e-07,-2.933664572263394005e-04
1.070000000000000317e-07,8.094149867367864083e-04
1.080000000000000406e-07,1.881385164112023842e-03
1.090000000000000364e-07,2.929754634371392347e-03
1.100000000000000321e-07,3.939476988443774662e-03
1.110000000000000410e-07,4.939423806431558761e-03
1.120000000000000368e-07,5.892361636527839591e-03
1.130000000000000325e-07,6.840007716891667935e-03
1.140000000000000414e-07,7.739708761153200889e-03
1.150000000000000371e-07,8.634531854599817105e-03
1.160000000000000329e-07,9.484021927476870076e-03
1.170000000000000418e-07,1.033351200035392478e-02
1.180000000000000375e-07,1.114035046865219022e-02
1.190000000000000333e-07,1.193787922767217992e-02
1.200000000000000422e-07,1.271187650681094086e-02
1.210000000000000379e-07,1.346217892148011443e-02
1.220000000000000337e-07,1.419415133070902474e-02
1.230000000000000294e-07,1.490169907735961440e-02
1.240000000000000251e-07,1.560499864586134891e-02
1.250000000000000473e-07,1.626920964115835186e-02
1.260000000000000430e-07,1.693342063645535481e-02
1.270000000000000387e-07,1.756256946558901536e-02
1.280000000000000344e-07,1.818952149386864753e-02
1.290000000000000302e-07,1.879086157829505666e-02
1.300000000000000259e-07,1.938398099035180955e-02
1.310000000000000481e-07,1.995334715016494620e-02
1.320000000000000438e-07,2.051054747265454795e-02
1.330000000000000395e-07,2.105455871943731974e-02
1.340000000000000352e-07,2.158005540757863827e-02
1.350000000000000309e-07,2.210249145455346273e-02
1.360000000000000267e-07,2.259920092817074150e-02
1.370000000000000489e-07,2.309387808692858757e-02
1.380000000000000446e-07,2.356349134389286101e-02
1.390000000000000403e-07,2.403310460085713099e-02
1.400000000000000360e-07,2.448043005862040808e-02
1.410000000000000317e-07,2.492307939654847884e-02
1.420000000000000275e-07,2.534888880192092200e-02
1.430000000000000496e-07,2.576859532125526375e-02
1.440000000000000454e-07,2.617590547196101472e-02
1.450000000000000411e-07,2.657294280351860799e-02
1.460000000000000368e-07,2.695828883254868316e-02
1.470000000000000325e-07,2.733385795042611588e-02
1.480000000000000282e-07,2.770217698573082879e-02
1.490000000000000504e-07,2.805880046705096220e-02
1.500000000000000462e-07,2.840985914932274772e-02
1.510000000000000419e-07,2.874547116374899861e-02
1.520000000000000376e-07,2.908046625964250120e-02
1.530000000000000333e-07,2.940127355182871674e-02
1.540000000000000290e-07,2.972208084401493575e-02
1.550000000000000512e-07,3.002743104528729848e-02
1.560000000000000469e-07,3.033254753168626583e-02
1.570000000000000427e-07,3.062532281984119489e-02
1.580000000000000384e-07,3.091184520474237959e-02
1.590000000000000341e-07,3.119015687076889462e-02
1.600000000000000298e-07,3.146383499679437923e-02
1.610000000000000255e-07,3.173318678338446497e-02
1.620000000000000477e-07,3.199559766479849465e-02
1.630000000000000434e-07,3.225392457591221007e-02
1.640000000000000392e-07,3.250264208105423797e-02
1.650000000000000349e-07,3.275135958619627280e-02
1.660000000000000306e-07,3.298690937534034390e-02
1.670000000000000263e-07,3.322201748690312151e-02
1.680000000000000485e-07,3.344789184737876481e-02
1.690000000000000442e-07,3.367183114904967467e-02
1.700000000000000400e-07,3.388966457041441005e-02
1.710000000000000357e-07,3.410385844960572843e-02
1.720000000000000314e-07,3.431257608944073695e-02
1.730000000000000271e-07,3.451675862748087437e-02
1.740000000000000493e-07,3.471823191513894596e-02
1.750000000000000450e-07,3.491292597173729223e-02
1.760000000000000407e-07,3.510762002833565237e-02
1.770000000000000365e-07,3.529397488285934692e-02
1.780000000000000322e-07,3.548026269076926670e-02
1.790000000000000279e-07,3.565867739913000656e-02
1.800000000000000501e-07,3.583662967390420506e-02
1.810000000000000458e-07,3.600867487881855011e-02
1.820000000000000415e-07,3.617833400763609264e-02
1.830000000000000372e-07,3.634429093688503615e-02
1.840000000000000330e-07,3.650781566816417578e-02
1.850000000000000287e-07,3.666870353526543308e-02
1.860000000000000509e-07,3.682613207015653783e-02
1.870000000000000466e-07,3.698048386451197045e-02
1.880000000000000423e-07,3.713076203412937759e-02
1.890000000000000380e-07,3.727987459602642717e-02
1.900000000000000338e-07,3.742553095493679483e-02
1.910000000000000295e-07,3.756995278632704882e-02
1.920000000000000781e-07,3.770740905854714359e-02
1.930000000000000739e-07,3.784486533076723835e-02
1.940000000000000696e-07,3.797646210497868102e-02
1.950000000000000653e-07,3.810748777315460523e-02
1.960000000000000610e-07,3.823712095123352889e-02
1.970000000000000567e-07,3.836404199498313211e-02
1.980000000000000789e-07,3.849046926160561155e-02
1.990000000000000746e-07,3.861293526697867629e-02
2.000000000000000704e-07,3.873540127235172714e-02
2.010000000000000661e-07,3.885420604495514602e-02
2.020000000000000618e-07,3.897300436703009935e-02
2.030000000000000575e-07,3.908789690676673506e-02
2.040000000000000797e-07,3.920199566603783936e-02
2.050000000000000754e-07,3.931296540904124365e-02
2.060000000000000711e-07,3.942230327790387928e-02
2.070000000000000669e-07,3.953089848004802398e-02
2.080000000000000626e-07,3.963796196488602458e-02
2.090000000000000583e-07,3.974353011160858956e-02
2.100000000000000805e-07,3.984513345399837148e-02
2.110000000000000762e-07,3.994673679638814645e-02
2.120000000000000719e-07,4.004227018027414070e-02
2.130000000000000677e-07,4.013778147816034897e-02
2.140000000000000634e-07,4.023288712517020249e-02
2.150000000000000591e-07,4.032798246377038848e-02
2.160000000000000813e-07,4.042057386052087115e-02
2.170000000000000770e-07,4.051178422547518920e-02
2.180000000000000727e-07,4.060142459632263418e-02
2.190000000000000684e-07,4.068905983837109441e-02
2.200000000000000642e-07,4.077625101646315670e-02
2.210000000000000599e-07,4.086242317227184451e-02
2.220000000000000821e-07,4.094801630087510635e-02
2.230000000000000778e-07,4.103055598888506045e-02
2.240000000000000735e-07,4.111309567689501454e-02
2.250000000000000692e-07,4.119318228130528642e-02
2.260000000000000649e-07,4.127317332155841512e-02
2.270000000000000607e-07,4.135239053501394563e-02
2.280000000000000829e-07,4.143150188917862908e-02
2.290000000000000786e-07,4.150895561229495795e-02
2.300000000000000743e-07,4.158617773721470096e-02
2.310000000000000700e-07,4.166124105816645939e-02
2.320000000000000657e-07,4.173493102992673065e-02
2.330000000000000615e-07,4.180613611600614288e-02
2.340000000000000836e-07,4.187566846929589165e-02
2.350000000000000794e-07,4.194516868627639478e-02
2.360000000000000751e-07,4.201460067029468004e-02
2.370000000000000708e-07,4.208328688426203612e-02
2.380000000000000665e-07,4.215037316021776059e-02
2.390000000000000622e-07,4.221629534424610475e-02
2.400000000000000844e-07,4.227871702562413514e-02
2.410000000000000537e-07,4.234113870700217941e-02
2.420000000000000759e-07,4.240518384271416141e-02
2.430000000000000981e-07,4.246941718986724928e-02
2.440000000000000673e-07,4.253339128824644433e-02
2.450000000000000895e-07,4.259726295999011897e-02
2.460000000000000587e-07,4.265807738386722531e-02
2.470000000000000809e-07,4.271614509929892028e-02
2.480000000000000502e-07,4.277380212043153940e-02
2.490000000000000724e-07,4.282977503709325257e-02
2.500000000000000946e-07,4.288599641225079862e-02
2.510000000000000638e-07,4.294352638849085330e-02
2.520000000000000860e-07,4.300105636473091492e-02
2.530000000000000553e-07,4.305574728625399805e-02
2.540000000000000774e-07,4.311005866914923573e-02
2.550000000000000467e-07,4.316271391980019273e-02
2.560000000000000689e-07,4.321506477202637780e-02
2.570000000000000911e-07,4.326771708004913813e-02
2.580000000000000603e-07,4.332065437808425845e-02
2.590000000000000825e-07,4.337227047044953099e-02
2.600000000000000518e-07,4.342114062841737065e-02
2.610000000000000740e-07,4.346965794316599158e-02
2.620000000000000961e-07,4.351648890785315971e-02
2.630000000000000654e-07,4.356339967023318410e-02
2.640000000000000876e-07,4.361199967167973118e-02
2.650000000000000568e-07,4.366059967312627133e-02
2.660000000000000790e-07,4.370646628764394970e-02
2.670000000000000483e-07,4.375178105888741925e-02
2.680000000000000705e-07,4.379642315169741951e-02
2.690000000000000926e-07,4.384085902654688560e-02
2.700000000000000619e-07,4.388636392108758583e-02
2.710000000000000841e-07,4.393220065724355583e-02
2.720000000000000533e-07,4.397635078755533083e-02
2.730000000000000755e-07,4.401871447093638756e-02
2.740000000000000977e-07,4.406048261222277745e-02
2.750000000000000670e-07,4.410158025048310088e-02
2.760000000000000892e-07,4.414283369849784228e-02
2.770000000000000584e-07,4.418468811547205527e-02
2.780000000000000806e-07,4.422657434926999254e-02
2.790000000000000498e-07,4.426870487522534259e-02
2.800000000000000720e-07,4.431083540118069264e-02
2.810000000000000942e-07,4.434916456192147111e-02
2.820000000000000635e-07,4.438698634747119398e-02
2.830000000000000857e-07,4.442331863054480717e-02
2.840000000000000549e-07,4.445912014687952718e-02
2.850000000000000771e-07,4.449540518091883723e-02
2.860000000000000993e-07,4.453200921055116418e-02
2.870000000000000685e-07,4.456866145623774450e-02
2.880000000000000907e-07,4.460538716020322897e-02
2.890000000000000600e-07,4.464203717379728459e-02
2.900000000000000822e-07,4.467760859081507802e-02
2.910000000000000514e-07,4.471300691748610057e-02
2.920000000000000736e-07,4.474475514156706080e-02
2.930000000000000958e-07,4.477650336564802797e-02
2.940000000000000650e-07,4.480961210036718545e-02
2.950000000000000872e-07,4.484313232086776374e-02
2.960000000000000565e-07,4.487653189165193707e-02
2.970000000000000787e-07,4.490988319545020230e-02
2.980000000000001009e-07,4.494254557335131822e-02
2.990000000000000701e-07,4.497410072997596459e-02
3.000000000000000923e-07,4.500561883228802740e-02
3.010000000000000616e-07,4.503699800369852235e-02
3.020000000000000837e-07,4.506832067307472989e-02
3.030000000000000530e-07,4.509837193967697333e-02
3.040000000000000752e-07,4.512842320627920983e-02
3.050000000000000974e-07,4.515497943585788237e-02
3.060000000000000666e-07,4.518127587945100498e-02
3.070000000000000888e-07,4.520826917812172108e-02
3.080000000000000581e-07,4.523555894093288232e-02
3.090000000000000802e-07,4.526325894165196539e-02
3.100000000000001024e-07,4.529117880064145729e-02
3.110000000000000717e-07,4.531811201756027335e-02
3.120000000000000939e-07,4.534451120680609709e-02
3.130000000000000631e-07,4.537104075998675545e-02
3.140000000000000853e-07,4.539779102123102372e-02
3.150000000000000546e-07,4.542418110670305709e-02
3.160000000000000768e-07,4.544987176131438239e-02
3.170000000000000989e-07,4.547515449169724222e-02
3.180000000000000682e-07,4.549639134944613583e-02
3.190000000000000904e-07,4.551798222609511335e-02
3.200000000000000596e-07,4.554318172737921444e-02
3.210000000000000818e-07,4.556838122866331553e-02
3.220000000000000511e-07,4.559291254984981778e-02
3.230000000000000733e-07,4.561743616391411571e-02
3.240000000000000955e-07,4.564056420783270396e-02
3.250000000000000647e-07,4.566336404079312378e-02
3.260000000000000869e-07,4.568702640503580908e-02
3.270000000000000561e-07,4.571115814917028203e-02
3.280000000000000783e-07,4.573521630576972419e-02
3.290000000000001005e-07,4.575863996539554501e-02
3.300000000000000698e-07,4.578206362502137972e-02
3.310000000000000920e-07,4.580414585951016193e-02
3.320000000000000612e-07,4.582582714462273693e-02
3.330000000000000834e-07,4.584617539451583262e-02
3.340000000000000526e-07,4.586604214018481784e-02
3.350000000000000748e-07,4.588770925921791671e-02
3.360000000000000970e-07,4.591124916786621518e-02
3.370000000000000663e-07,4.593351576857838264e-02
3.380000000000000885e-07,4.595382092012390007e-02
3.390000000000000577e-07,4.597405451564342410e-02
3.400000000000000799e-07,4.599322268689218229e-02
3.410000000000001021e-07,4.601239085814094049e-02
3.420000000000000713e-07,4.603316027006144201e-02
3.430000000000000935e-07,4.605404483114577951e-02
3.440000000000000628e-07,4.607393361178176161e-02
3.450000000000000850e-07,4.609343883670732889e-02
3.460000000000000542e-07,4.611012794928011360e-02
3.470000000000000764e-07,4.612532172797709912e-02
3.480000000000000986e-07,4.614066377437685967e-02
3.490000000000000679e-07,4.615624678941229048e-02
3.500000000000000900e-07,4.617291443834337095e-02
3.510000000000000593e-07,4.619140196811289539e-02
3.520000000000000815e-07,4.620944075005160162e-02
3.530000000000001037e-07,4.622668279595440466e-02
3.540000000000000729e-07,4.624377759264787502e-02
3.550000000000000951e-07,4.625944796599389813e-02
3.560000000000000644e-07,4.627512662725155601e-02
3.570000000000000865e-07,4.629122660061341793e-02
3.580000000000000558e-07,4.630732657397527985e-02
3.590000000000000780e-07,4.632232369408725847e-02
3.600000000000001002e-07,4.633706872542138477e-02
3.610000000000000694e-07,4.635221441545413212e-02
3.620000000000000916e-07,4.636745305270770223e-02
3.630000000000000609e-07,4.638458585747519403e-02
3.640000000000000831e-07,4.640266018274498416e-02
3.650000000000001052e-07,4.641993955010068063e-02
3.660000000000000745e-07,4.643536543796999289e-02
3.670000000000000967e-07,4.645051165648370062e-02
3.680000000000000659e-07,4.646460937451026008e-02
3.690000000000000881e-07,4.647870709253681953e-02
3.700000000000000574e-07,4.649221506437752754e-02
3.710000000000000796e-07,4.650568882322157066e-02
3.720000000000001018e-07,4.652004430427447018e-02
3.730000000000000710e-07,4.653486299635719442e-02
