z[nm],potential[V]
-1.960000000000000081e-07,3.789668365429876840e-02
-1.952179999999999948e-07,3.789668365290568830e-02
-1.944360000000000081e-07,3.789668365151260820e-02
-1.936539999999999949e-07,3.789668365011953505e-02
-1.928720000000000081e-07,3.789668364872644801e-02
-1.920899999999999949e-07,3.789668364733336792e-02
-1.913080000000000081e-07,3.789668364594028782e-02
-1.905259999999999949e-07,3.789668364454720773e-02
-1.897440000000000082e-07,3.789668364315412763e-02
-1.889619999999999949e-07,3.789668364176104753e-02
-1.881800000000000082e-07,3.789668364036796744e-02
-1.873979999999999950e-07,3.789668363897488734e-02
-1.866160000000000082e-07,3.789668363758180725e-02
-1.858339999999999950e-07,3.789668363618873409e-02
-1.850520000000000082e-07,3.789668363479564706e-02
-1.842699999999999950e-07,3.789668363340256696e-02
-1.834880000000000083e-07,3.789668363200949380e-02
-1.827059999999999950e-07,3.789668363061641371e-02
-1.819240000000000083e-07,3.789668362922332667e-02
-1.811419999999999951e-07,3.789668362783024658e-02
-1.803600000000000083e-07,3.789668362643716648e-02
-1.795779999999999951e-07,3.789668362504408639e-02
-1.787960000000000083e-07,3.789668362365101323e-02
-1.780139999999999951e-07,3.789668362225792619e-02
-1.772320000000000084e-07,3.789668362086484610e-02
-1.764499999999999951e-07,3.789668361947177294e-02
-1.756680000000000084e-07,3.789668361807869285e-02
-1.748859999999999952e-07,3.789668361668560581e-02
-1.741040000000000084e-07,3.789668361529253265e-02
-1.733219999999999952e-07,3.789668361389944562e-02
-1.725400000000000084e-07,3.789668361250636552e-02
-1.717579999999999952e-07,3.789668361111329237e-02
-1.709760000000000085e-07,3.789668360972020533e-02
-1.701939999999999952e-07,3.789668360832712524e-02
-1.694120000000000085e-07,3.789668360693404514e-02
-1.686299999999999953e-07,3.789668360554097198e-02
-1.678480000000000085e-07,3.789668360414788495e-02
-1.670659999999999953e-07,3.789668360275480485e-02
-1.662840000000000085e-07,3.789668360136173170e-02
-1.655019999999999953e-07,3.789668359996865160e-02
-1.647200000000000086e-07,3.789668359857557151e-02
-1.639379999999999953e-07,3.789668359718249141e-02
-1.631560000000000086e-07,3.789668359578941131e-02
-1.623739999999999954e-07,3.789668359439632428e-02
-1.615920000000000086e-07,3.789668359300325112e-02
-1.608099999999999954e-07,3.789668359161017103e-02
-1.600280000000000086e-07,3.789668359021709093e-02
-1.592459999999999954e-07,3.789668358882401084e-02
-1.584640000000000087e-07,3.789668358743093074e-02
-1.576819999999999954e-07,3.789668358603785064e-02
-1.569000000000000087e-07,3.789668358464477055e-02
-1.561179999999999955e-07,3.789668358325169045e-02
-1.553360000000000087e-07,3.789668358185861036e-02
-1.545539999999999955e-07,3.789668358046553026e-02
-1.537720000000000087e-07,3.789668357907245710e-02
-1.529899999999999955e-07,3.789668357767937007e-02
-1.522080000000000087e-07,3.789668357628628997e-02
-1.514259999999999955e-07,3.789668357489320988e-02
-1.506440000000000088e-07,3.789668357350012978e-02
-1.498619999999999955e-07,3.789668357210704969e-02
-1.490800000000000088e-07,3.789668357071397653e-02
-1.482979999999999956e-07,3.789668356932088950e-02
-1.475160000000000088e-07,3.789668356792780940e-02
-1.467339999999999956e-07,3.789668356653473624e-02
-1.459520000000000088e-07,3.789668356514165615e-02
-1.451699999999999956e-07,3.789668356374856911e-02
-1.443880000000000089e-07,3.789668356235549596e-02
-1.436059999999999956e-07,3.789668356096240892e-02
-1.428240000000000089e-07,3.789668355956932883e-02
-1.420419999999999957e-07,3.789668355817624873e-02
-1.412600000000000089e-07,3.789668355678316863e-02
-1.404779999999999957e-07,3.789668355539008854e-02
-1.396960000000000089e-07,3.789668355399700844e-02
-1.389139999999999957e-07,3.789668355260393529e-02
-1.381320000000000090e-07,3.789668355121085519e-02
-1.373499999999999957e-07,3.789668354981776816e-02
-1.365680000000000090e-07,3.789668354842469500e-02
-1.357859999999999958e-07,3.789668354703161490e-02
-1.350039999999999825e-07,3.789668354563853481e-02
-1.342219999999999958e-07,3.789668354424545471e-02
-1.334400000000000090e-07,3.789668354285237462e-02
-1.326579999999999958e-07,3.789668354145928758e-02
-1.318759999999999826e-07,3.789668354006621442e-02
-1.310939999999999958e-07,3.789668353867313433e-02
-1.303120000000000091e-07,3.789668353728005423e-02
-1.295299999999999959e-07,3.789668353588697414e-02
-1.287479999999999826e-07,3.789668353449389404e-02
-1.279659999999999959e-07,3.789668353310081395e-02
-1.271840000000000091e-07,3.789668353170773385e-02
