z[m],potential[V]
-2.000000000000000174e-07,0.000000000000000000e+00
-1.995900000000000290e-07,4.168351549050166460e-06
-1.991800000000000140e-07,8.336703098100332920e-06
-1.987700000000000256e-07,1.250505464715048922e-05
-1.983600000000000371e-07,1.667340619620065567e-05
-1.979499999999999958e-07,2.084175774525111013e-05
-1.975400000000000073e-07,2.501010929430127997e-05
-1.971300000000000189e-07,2.917846084335144643e-05
-1.967200000000000039e-07,3.334681239240160273e-05
-1.963100000000000155e-07,3.751516394145177935e-05
-1.959000000000000270e-07,4.168351549050193565e-05
-1.954900000000000121e-07,4.585186703955210550e-05
-1.950800000000000237e-07,5.002021858860226857e-05
-1.946700000000000087e-07,5.418857013765272302e-05
-1.942599999999999938e-07,5.835692168670289287e-05
-1.938500000000000054e-07,6.252527323575304916e-05
-1.934400000000000169e-07,6.669362478480320546e-05
-1.930300000000000020e-07,7.086197633385337531e-05
-1.926200000000000135e-07,7.503032788290354515e-05
-1.922100000000000251e-07,7.919867943195371500e-05
-1.918000000000000102e-07,8.336703098100388485e-05
-1.913899999999999952e-07,8.753538253005432575e-05
-1.909800000000000068e-07,9.170373407910449560e-05
-1.905699999999999919e-07,9.587208562815466544e-05
-1.901600000000000034e-07,1.000404371772048353e-04
-1.897500000000000150e-07,1.044607734205214470e-04
-1.893400000000000265e-07,1.089167094789249491e-04
-1.889300000000000116e-07,1.133726455373284647e-04
-1.885200000000000231e-07,1.178285815957320074e-04
-1.881100000000000347e-07,1.222845176541355501e-04
-1.876999999999999933e-07,1.267404537125393774e-04
-1.872900000000000049e-07,1.311963897709428795e-04
-1.868800000000000164e-07,1.356523258293464086e-04
-1.864700000000000015e-07,1.401082618877499107e-04
-1.860600000000000130e-07,1.445641979461534399e-04
-1.856500000000000246e-07,1.490201340045569690e-04
-1.852400000000000097e-07,1.534760700629604982e-04
-1.848300000000000212e-07,1.579320061213640544e-04
-1.844200000000000328e-07,1.623879421797675294e-04
-1.840099999999999914e-07,1.668438782381713838e-04
-1.836000000000000029e-07,1.712998142965748859e-04
-1.831900000000000145e-07,1.757557503549784421e-04
-1.827799999999999995e-07,1.802116864133819442e-04
-1.823700000000000111e-07,1.846676224717854733e-04
-1.819600000000000226e-07,1.891235585301890025e-04
-1.815500000000000342e-07,1.935794945885925046e-04
-1.811399999999999928e-07,1.980354306469963590e-04
-1.807300000000000043e-07,2.024913667053998881e-04
-1.803200000000000159e-07,2.069473027638034173e-04
-1.799100000000000010e-07,2.118608206381319601e-04
-1.795000000000000125e-07,2.169249019723088390e-04
-1.790900000000000241e-07,2.219889833064857450e-04
-1.786800000000000092e-07,2.270530646406626780e-04
-1.782700000000000207e-07,2.321171459748395569e-04
-1.778600000000000322e-07,2.371812273090164629e-04
-1.774499999999999909e-07,2.422453086431936942e-04
-1.770400000000000024e-07,2.473093899773706273e-04
-1.766300000000000140e-07,2.523734713115475333e-04
-1.762199999999999990e-07,2.574375526457244392e-04
-1.758100000000000106e-07,2.625016339799012910e-04
-1.754000000000000221e-07,2.675657153140781970e-04
-1.749900000000000072e-07,2.726297966482551030e-04
-1.745800000000000188e-07,2.776938779824320090e-04
-1.741700000000000303e-07,2.827579593166089150e-04
-1.737599999999999889e-07,2.878220406507861462e-04
-1.733500000000000005e-07,2.928861219849631064e-04
-1.729400000000000120e-07,2.979502033191400124e-04
-1.725300000000000236e-07,3.030142846533168642e-04
-1.721200000000000086e-07,3.080783659874937702e-04
-1.717100000000000202e-07,3.131424473216706762e-04
-1.713000000000000317e-07,3.182065286558475822e-04
-1.708899999999999904e-07,3.232706099900248676e-04
-1.704800000000000019e-07,3.283346913242017194e-04
-1.700700000000000134e-07,3.340059860043050706e-04
-1.696599999999999985e-07,3.400359942143416927e-04
-1.692500000000000101e-07,3.460660024243783148e-04
-1.688400000000000216e-07,3.520960106344149369e-04
-1.684300000000000067e-07,3.581260188444515590e-04
-1.680200000000000183e-07,3.641560270544882353e-04
-1.676100000000000298e-07,3.701860352645248574e-04
-1.671999999999999884e-07,3.762160434745619132e-04
-1.667900000000000000e-07,3.822460516845985353e-04
-1.663800000000000115e-07,3.882760598946351574e-04
-1.659699999999999966e-07,3.943060681046718337e-04
-1.655600000000000081e-07,4.003360763147084558e-04
-1.651500000000000197e-07,4.063660845247450779e-04
-1.647400000000000312e-07,4.123960927347817000e-04
-1.643300000000000163e-07,4.184261009448183763e-04
-1.639200000000000279e-07,4.244561091548549442e-04
-1.635100000000000129e-07,4.304861173648919458e-04
-1.630999999999999980e-07,4.365161255749286221e-04
-1.626900000000000096e-07,4.425461337849651900e-04
