r[nm],potential[V]
0.000000000000000000e+00,1.277798453270733992e-01
1.000000000000000269e-09,1.277798453267841861e-01
2.000000000000000538e-09,1.277798453264950007e-01
3.000000000000000807e-09,1.277798453262057599e-01
4.000000000000001076e-09,1.277798453259165745e-01
5.000000000000001759e-09,1.277798453256274169e-01
6.000000000000001614e-09,1.277798453253382038e-01
7.000000000000001470e-09,1.277798453250489630e-01
8.000000000000002153e-09,1.277798453247598054e-01
9.000000000000002835e-09,1.277798453244705923e-01
1.000000000000000352e-08,1.277798453241813514e-01
1.100000000000000255e-08,1.277798453238921939e-01
1.200000000000000323e-08,1.277798453236029808e-01
1.300000000000000391e-08,1.277798453233137399e-01
1.400000000000000294e-08,1.277798453230245823e-01
1.500000000000000528e-08,1.277798453227353692e-01
1.600000000000000431e-08,1.277798453224461284e-01
1.700000000000000333e-08,1.277798453221569708e-01
1.800000000000000567e-08,1.277798453218677854e-01
1.900000000000000470e-08,1.277798453215785446e-01
2.000000000000000704e-08,1.277798453212893592e-01
2.100000000000000606e-08,1.277798453210001739e-01
2.200000000000000509e-08,1.277798453207109608e-01
2.300000000000000743e-08,1.277798453204217755e-01
2.400000000000000646e-08,1.277798453201325901e-01
2.500000000000000549e-08,1.277798453198433770e-01
2.600000000000000782e-08,1.277798453195541362e-01
2.700000000000000685e-08,1.277798453192649786e-01
2.800000000000000588e-08,1.277798453189757655e-01
2.900000000000000822e-08,1.277798453186865524e-01
3.000000000000001055e-08,1.277798453183973670e-01
3.100000000000000627e-08,1.277798453181081539e-01
3.200000000000000861e-08,1.277798453178189408e-01
3.300000000000001095e-08,1.277798453175297555e-01
3.400000000000000667e-08,1.277798453172405979e-01
3.500000000000000900e-08,1.277798453169513293e-01
3.600000000000001134e-08,1.277798453166621440e-01
3.700000000000000706e-08,1.277798453163729864e-01
3.800000000000000940e-08,1.277798453160837455e-01
3.900000000000001173e-08,1.277798453157945324e-01
4.000000000000001407e-08,1.277798453155053748e-01
4.100000000000000979e-08,1.277798453152161340e-01
4.200000000000001213e-08,1.277798453149269209e-01
4.300000000000001447e-08,1.277798453146377633e-01
4.400000000000001019e-08,1.277798453143485224e-01
4.500000000000001252e-08,1.277798453140593093e-01
4.600000000000001486e-08,1.277798453137701518e-01
4.700000000000001058e-08,1.277798453134809387e-01
4.800000000000001292e-08,1.277798453131917256e-01
4.900000000000001525e-08,1.277798453129025402e-01
5.000000000000001097e-08,1.277798453126133826e-01
5.100000000000001331e-08,1.277798453123241418e-01
5.200000000000001565e-08,1.277798453120349287e-01
5.300000000000001137e-08,1.277798453117457711e-01
5.400000000000001370e-08,1.277798453114565580e-01
5.500000000000001604e-08,1.277798453111673171e-01
5.600000000000001176e-08,1.277798453108781596e-01
5.700000000000001410e-08,1.277798453105889465e-01
5.800000000000001643e-08,1.277798453102997056e-01
5.900000000000001877e-08,1.277798453100105480e-01
6.000000000000002111e-08,1.277798453097213349e-01
6.100000000000001683e-08,1.277798453094320941e-01
6.200000000000001255e-08,1.277798453091429365e-01
6.300000000000002150e-08,1.277798453088537511e-01
6.400000000000001722e-08,1.277798453085644825e-01
6.500000000000001294e-08,1.277798453082753249e-01
6.600000000000002189e-08,1.277798453079861396e-01
6.700000000000001761e-08,1.277798453076969265e-01
6.800000000000001333e-08,1.277798453074077412e-01
6.900000000000002229e-08,1.277798453071185281e-01
7.000000000000001801e-08,1.277798453068293150e-01
7.100000000000001373e-08,1.277798453065401019e-01
7.200000000000002268e-08,1.277798453062509443e-01
7.300000000000001840e-08,1.277798453059617312e-01
7.400000000000001412e-08,1.277798453056725181e-01
7.500000000000002308e-08,1.277798453053833050e-01
7.600000000000001880e-08,1.277798453050941196e-01
7.700000000000001452e-08,1.277798453048049065e-01
7.800000000000002347e-08,1.277798453045157212e-01
7.900000000000001919e-08,1.277798453042265636e-01
8.000000000000002814e-08,1.277798453039372950e-01
8.100000000000002386e-08,1.277798453036481097e-01
8.200000000000001958e-08,1.277798453033589521e-01
8.300000000000002854e-08,1.277798453030697112e-01
8.400000000000002426e-08,1.277798453027804981e-01
8.500000000000001998e-08,1.277798453024913405e-01
8.600000000000002893e-08,1.277798453022020997e-01
8.700000000000002465e-08,1.277798453019128866e-01
8.800000000000002037e-08,1.277798453016237290e-01
8.900000000000002932e-08,1.277798453013344882e-01
9.000000000000002504e-08,1.277798453010452751e-01
9.100000000000002076e-08,1.277798453007561175e-01
9.200000000000002972e-08,1.277798453004669044e-01
9.300000000000002544e-08,1.277798453001776635e-01
9.400000000000002116e-08,1.277798452998885059e-01
9.500000000000003011e-08,1.277798452995993206e-01
9.600000000000002583e-08,1.277798452993100797e-01
9.700000000000002155e-08,1.277798452990208944e-01
9.800000000000003051e-08,1.277798452987317368e-01
9.900000000000002623e-08,1.277798452984424959e-01
1.000000000000000219e-07,1.277798452981532829e-01
1.010000000000000309e-07,1.277798452978641253e-01
1.020000000000000266e-07,1.277798452975749122e-01
1.030000000000000223e-07,1.277798452972856713e-01
1.040000000000000313e-07,1.277798452969965137e-01
1.050000000000000270e-07,1.277798452967073006e-01
1.060000000000000227e-07,1.277798452964180598e-01
1.070000000000000317e-07,1.277798452961289022e-01
1.080000000000000274e-07,1.277798452958397168e-01
1.090000000000000231e-07,1.277798452955504482e-01
1.100000000000000321e-07,1.277798452952612906e-01
1.110000000000000278e-07,1.277798452949721053e-01
1.120000000000000235e-07,1.277798452946828922e-01
1.130000000000000325e-07,1.277798452943936791e-01
1.140000000000000282e-07,1.277798452941044938e-01
1.150000000000000371e-07,1.277798452938152807e-01
1.160000000000000329e-07,1.277798452935260676e-01
1.170000000000000286e-07,1.277798452932369100e-01
1.180000000000000375e-07,1.277798452929476691e-01
1.190000000000000333e-07,1.277798452926584560e-01
1.200000000000000422e-07,1.277798452923692707e-01
1.210000000000000379e-07,1.277798452920800854e-01
1.220000000000000337e-07,1.277798452917908723e-01
1.230000000000000294e-07,1.277798452915016869e-01
1.240000000000000251e-07,1.277798452912125016e-01
1.250000000000000208e-07,1.277798452909232607e-01
1.260000000000000430e-07,1.277798452906340754e-01
1.270000000000000387e-07,1.277798452903449178e-01
1.280000000000000344e-07,1.277798452900556769e-01
1.290000000000000302e-07,1.277798452897664638e-01
1.300000000000000259e-07,1.277798452894773062e-01
1.310000000000000481e-07,1.277798452891880654e-01
1.320000000000000438e-07,1.277798452888988523e-01
1.330000000000000395e-07,1.277798452886096947e-01
1.340000000000000352e-07,1.277798452883204539e-01
1.350000000000000309e-07,1.277798452880312408e-01
1.360000000000000267e-07,1.277798452877420832e-01
1.370000000000000489e-07,1.277798452874528423e-01
1.380000000000000446e-07,1.277798452871636292e-01
1.390000000000000403e-07,1.277798452868744716e-01
1.400000000000000360e-07,1.277798452865852863e-01
1.410000000000000317e-07,1.277798452862960454e-01
1.420000000000000275e-07,1.277798452860068601e-01
1.430000000000000496e-07,1.277798452857176748e-01
1.440000000000000454e-07,1.277798452854284617e-01
1.450000000000000411e-07,1.277798452851392486e-01
1.460000000000000368e-07,1.277798452848500910e-01
1.470000000000000325e-07,1.277798452845608779e-01
1.480000000000000282e-07,1.277798452842716370e-01
1.490000000000000504e-07,1.277798452839824794e-01
1.500000000000000462e-07,1.277798452836932663e-01
1.510000000000000419e-07,1.277798452834040255e-01
1.520000000000000376e-07,1.277798452831148679e-01
1.530000000000000333e-07,1.277798452828256826e-01
1.540000000000000290e-07,1.277798452825364139e-01
1.550000000000000512e-07,1.277798452822472564e-01
1.560000000000000469e-07,1.277798452819580710e-01
1.570000000000000427e-07,1.277798452816688579e-01
1.580000000000000384e-07,1.277798452813796448e-01
1.590000000000000341e-07,1.277798452810904595e-01
1.600000000000000563e-07,1.277798452808012464e-01
1.610000000000000520e-07,1.277798452805120333e-01
1.620000000000000477e-07,1.277798452802228479e-01
1.630000000000000434e-07,1.277798452799336348e-01
1.640000000000000392e-07,1.277798452796444217e-01
1.650000000000000349e-07,1.277798452793552364e-01
1.660000000000000571e-07,1.277798452790660233e-01
1.670000000000000528e-07,1.277798452787768102e-01
1.680000000000000485e-07,1.277798452784876249e-01
1.690000000000000442e-07,1.277798452781984673e-01
1.700000000000000400e-07,1.277798452779092264e-01
1.710000000000000357e-07,1.277798452776200411e-01
1.720000000000000579e-07,1.277798452773308835e-01
1.730000000000000536e-07,1.277798452770416426e-01
1.740000000000000493e-07,1.277798452767524295e-01
1.750000000000000450e-07,1.277798452764632720e-01
1.760000000000000407e-07,1.277798452761740311e-01
1.770000000000000365e-07,1.277798452758848180e-01
1.780000000000000586e-07,1.277798452755956604e-01
1.790000000000000544e-07,1.277798452753064196e-01
1.800000000000000501e-07,1.277798452750172065e-01
1.810000000000000458e-07,1.277798452747280489e-01
1.820000000000000415e-07,1.277798452744388080e-01
1.830000000000000372e-07,1.277798452741495949e-01
1.840000000000000594e-07,1.277798452738604373e-01
1.850000000000000552e-07,1.277798452735712520e-01
1.860000000000000509e-07,1.277798452732819834e-01
1.870000000000000466e-07,1.277798452729928258e-01
1.880000000000000423e-07,1.277798452727036405e-01
1.890000000000000380e-07,1.277798452724144274e-01
1.900000000000000602e-07,1.277798452721252143e-01
1.910000000000000559e-07,1.277798452718360289e-01
1.920000000000000517e-07,1.277798452715468158e-01
1.930000000000000474e-07,1.277798452712576027e-01
1.940000000000000431e-07,1.277798452709684451e-01
1.950000000000000653e-07,1.277798452706792320e-01
1.960000000000000610e-07,1.277798452703899912e-01
1.970000000000000567e-07,1.277798452701008058e-01
1.980000000000000525e-07,1.277798452698116205e-01
1.990000000000000482e-07,1.277798452695223796e-01
2.000000000000000439e-07,1.277798452692332221e-01
2.010000000000000661e-07,1.277798452689440367e-01
2.020000000000000618e-07,1.277798452686547681e-01
2.030000000000000575e-07,1.277798452683656105e-01
2.040000000000000532e-07,1.277798452680764252e-01
2.050000000000000490e-07,1.277798452677872121e-01
2.060000000000000447e-07,1.277798452674979990e-01
2.070000000000000669e-07,1.277798452672088136e-01
2.080000000000000626e-07,1.277798452669196005e-01
2.090000000000000583e-07,1.277798452666303874e-01
2.100000000000000540e-07,1.277798452663412021e-01
2.110000000000000497e-07,1.277798452660519890e-01
2.120000000000000455e-07,1.277798452657627759e-01
2.130000000000000677e-07,1.277798452654735906e-01
2.140000000000000634e-07,1.277798452651844330e-01
2.150000000000000591e-07,1.277798452648951644e-01
2.160000000000000548e-07,1.277798452646059790e-01
2.170000000000000505e-07,1.277798452643168214e-01
2.180000000000000463e-07,1.277798452640276083e-01
2.190000000000000684e-07,1.277798452637383952e-01
2.200000000000000642e-07,1.277798452634492377e-01
2.210000000000000599e-07,1.277798452631599968e-01
2.220000000000000556e-07,1.277798452628707560e-01
2.230000000000000513e-07,1.277798452625816261e-01
2.240000000000000470e-07,1.277798452622923853e-01
2.250000000000000692e-07,1.277798452620031722e-01
2.260000000000000649e-07,1.277798452617140146e-01
2.270000000000000607e-07,1.277798452614247737e-01
2.280000000000000564e-07,1.277798452611355606e-01
2.290000000000000521e-07,1.277798452608464030e-01
2.300000000000000743e-07,1.277798452605572177e-01
2.310000000000000700e-07,1.277798452602679491e-01
2.320000000000000657e-07,1.277798452599787915e-01
2.330000000000000615e-07,1.277798452596896062e-01
2.340000000000000572e-07,1.277798452594003931e-01
2.350000000000000529e-07,1.277798452591111800e-01
2.360000000000000751e-07,1.277798452588219946e-01
2.370000000000000708e-07,1.277798452585327815e-01
2.380000000000000665e-07,1.277798452582435684e-01
2.390000000000000622e-07,1.277798452579544108e-01
2.400000000000000844e-07,1.277798452576651700e-01
2.410000000000000537e-07,1.277798452573759569e-01
2.420000000000000759e-07,1.277798452570867715e-01
2.430000000000000451e-07,1.277798452567975862e-01
2.440000000000000673e-07,1.277798452565083454e-01
2.450000000000000895e-07,1.277798452562191878e-01
2.460000000000000587e-07,1.277798452559300024e-01
2.470000000000000809e-07,1.277798452556407338e-01
2.480000000000000502e-07,1.277798452553515762e-01
2.490000000000000724e-07,1.277798452550623909e-01
2.500000000000000416e-07,1.277798452547731778e-01
2.510000000000000638e-07,1.277798452544839647e-01
2.520000000000000860e-07,1.277798452541947793e-01
2.530000000000000553e-07,1.277798452539055662e-01
2.540000000000000774e-07,1.277798452536163532e-01
2.550000000000000467e-07,1.277798452533271678e-01
2.560000000000000689e-07,1.277798452530379547e-01
2.570000000000000911e-07,1.277798452527487416e-01
2.580000000000000603e-07,1.277798452524595563e-01
2.590000000000000825e-07,1.277798452521703987e-01
2.600000000000000518e-07,1.277798452518811301e-01
2.610000000000000740e-07,1.277798452515919447e-01
2.620000000000000961e-07,1.277798452513027871e-01
2.630000000000000654e-07,1.277798452510135740e-01
2.640000000000000876e-07,1.277798452507243332e-01
2.650000000000000568e-07,1.277798452504351756e-01
2.660000000000000790e-07,1.277798452501459625e-01
2.670000000000000483e-07,1.277798452498567217e-01
2.680000000000000705e-07,1.277798452495675918e-01
2.690000000000000926e-07,1.277798452492783510e-01
2.700000000000000619e-07,1.277798452489891101e-01
2.710000000000000841e-07,1.277798452486999525e-01
2.720000000000000533e-07,1.277798452484107394e-01
2.730000000000000755e-07,1.277798452481215263e-01
2.740000000000000977e-07,1.277798452478323687e-01
2.750000000000000670e-07,1.277798452475431834e-01
2.760000000000000892e-07,1.277798452472539148e-01
2.770000000000000584e-07,1.277798452469647572e-01
2.780000000000000806e-07,1.277798452466755719e-01
2.790000000000000498e-07,1.277798452463863588e-01
2.800000000000000720e-07,1.277798452460971457e-01
2.810000000000000942e-07,1.277798452458079603e-01
2.820000000000000635e-07,1.277798452455187472e-01
2.830000000000000857e-07,1.277798452452295341e-01
2.840000000000000549e-07,1.277798452449403488e-01
2.850000000000000771e-07,1.277798452446511357e-01
2.860000000000000993e-07,1.277798452443619226e-01
2.870000000000000685e-07,1.277798452440727373e-01
2.880000000000000907e-07,1.277798452437835242e-01
2.890000000000000600e-07,1.277798452434943111e-01
2.900000000000000822e-07,1.277798452432051257e-01
2.910000000000001044e-07,1.277798452429159681e-01
2.920000000000000736e-07,1.277798452426266995e-01
2.930000000000000958e-07,1.277798452423375419e-01
2.940000000000000650e-07,1.277798452420483566e-01
2.950000000000000872e-07,1.277798452417591157e-01
2.960000000000000565e-07,1.277798452414699304e-01
2.970000000000000787e-07,1.277798452411807451e-01
2.980000000000001009e-07,1.277798452408915320e-01
2.990000000000000701e-07,1.277798452406023189e-01
3.000000000000000923e-07,1.277798452403131335e-01
3.010000000000000616e-07,1.277798452400239204e-01
3.020000000000000837e-07,1.277798452397347073e-01
3.030000000000001059e-07,1.277798452394455220e-01
3.040000000000000752e-07,1.277798452391563089e-01
3.050000000000000974e-07,1.277798452388670958e-01
3.060000000000000666e-07,1.277798452385779104e-01
3.070000000000000888e-07,1.277798452382887529e-01
3.080000000000000581e-07,1.277798452379995398e-01
3.090000000000000802e-07,1.277798452377102989e-01
3.100000000000001024e-07,1.277798452374211413e-01
3.110000000000000717e-07,1.277798452371319282e-01
3.120000000000000939e-07,1.277798452368426874e-01
3.130000000000000631e-07,1.277798452365535298e-01
3.140000000000000853e-07,1.277798452362643167e-01
3.150000000000001075e-07,1.277798452359750758e-01
3.160000000000000768e-07,1.277798452356859182e-01
3.170000000000000989e-07,1.277798452353967051e-01
3.180000000000000682e-07,1.277798452351074920e-01
3.190000000000000904e-07,1.277798452348183067e-01
3.200000000000001126e-07,1.277798452345291214e-01
3.210000000000000818e-07,1.277798452342398805e-01
3.220000000000001040e-07,1.277798452339507229e-01
3.230000000000000733e-07,1.277798452336615376e-01
3.240000000000000955e-07,1.277798452333723245e-01
3.250000000000000647e-07,1.277798452330831114e-01
3.260000000000000869e-07,1.277798452327939260e-01
3.270000000000001091e-07,1.277798452325047129e-01
3.280000000000000783e-07,1.277798452322154998e-01
3.290000000000001005e-07,1.277798452319263145e-01
3.300000000000000698e-07,1.277798452316371014e-01
3.310000000000000920e-07,1.277798452313478883e-01
3.320000000000001141e-07,1.277798452310587030e-01
3.330000000000000834e-07,1.277798452307694899e-01
3.340000000000001056e-07,1.277798452304802768e-01
3.350000000000000748e-07,1.277798452301910914e-01
3.360000000000000970e-07,1.277798452299019338e-01
3.370000000000000663e-07,1.277798452296126652e-01
3.380000000000000885e-07,1.277798452293234799e-01
3.390000000000001107e-07,1.277798452290343223e-01
3.400000000000000799e-07,1.277798452287450814e-01
3.410000000000001021e-07,1.277798452284558961e-01
3.420000000000000713e-07,1.277798452281667108e-01
3.430000000000000935e-07,1.277798452278774977e-01
3.440000000000001157e-07,1.277798452275882568e-01
3.450000000000000850e-07,1.277798452272990992e-01
3.460000000000001072e-07,1.277798452270098861e-01
3.470000000000000764e-07,1.277798452267206730e-01
3.480000000000000986e-07,1.277798452264314877e-01
3.490000000000000679e-07,1.277798452261422746e-01
3.500000000000000900e-07,1.277798452258530615e-01
3.510000000000001122e-07,1.277798452255638761e-01
3.520000000000000815e-07,1.277798452252747186e-01
3.530000000000001037e-07,1.277798452249854499e-01
3.540000000000000729e-07,1.277798452246962646e-01
3.550000000000000951e-07,1.277798452244071070e-01
3.560000000000001173e-07,1.277798452241178939e-01
3.570000000000000865e-07,1.277798452238286531e-01
3.580000000000001087e-07,1.277798452235394955e-01
3.590000000000000780e-07,1.277798452232502824e-01
3.600000000000001002e-07,1.277798452229610415e-01
3.610000000000001224e-07,1.277798452226718839e-01
3.620000000000000916e-07,1.277798452223826708e-01
3.630000000000001138e-07,1.277798452220934300e-01
3.640000000000000831e-07,1.277798452218042724e-01
3.650000000000001052e-07,1.277798452215150871e-01
3.660000000000000745e-07,1.277798452212258462e-01
3.670000000000000967e-07,1.277798452209366886e-01
3.680000000000001189e-07,1.277798452206474755e-01
3.690000000000000881e-07,1.277798452203582624e-01
3.700000000000001103e-07,1.277798452200690771e-01
3.710000000000000796e-07,1.277798452197798917e-01
3.720000000000001018e-07,1.277798452194906786e-01
3.730000000000001239e-07,1.277798452192014655e-01
3.740000000000000932e-07,1.277798452189122802e-01
3.750000000000001154e-07,1.277798452186230671e-01
3.760000000000000846e-07,1.277798452183338540e-01
3.770000000000001068e-07,1.277798452180446687e-01
3.780000000000000761e-07,1.277798452177554556e-01
3.790000000000000983e-07,1.277798452174662425e-01
3.800000000000001204e-07,1.277798452171770571e-01
3.810000000000000897e-07,1.277798452168878995e-01
3.820000000000001119e-07,1.277798452165986309e-01
3.830000000000000811e-07,1.277798452163094456e-01
3.840000000000001033e-07,1.277798452160202880e-01
3.850000000000001255e-07,1.277798452157310471e-01
3.860000000000000948e-07,1.277798452154418340e-01
3.870000000000001170e-07,1.277798452151526765e-01
3.880000000000000862e-07,1.277798452148634356e-01
3.890000000000001084e-07,1.277798452145742225e-01
3.900000000000001306e-07,1.277798452142850649e-01
3.910000000000000998e-07,1.277798452139958518e-01
3.920000000000001220e-07,1.277798452137066110e-01
3.930000000000000913e-07,1.277798452134174534e-01
3.940000000000001135e-07,1.277798452131282403e-01
3.950000000000000827e-07,1.277798452128390272e-01
3.960000000000001049e-07,1.277798452125498418e-01
3.970000000000001271e-07,1.277798452122606843e-01
3.980000000000000963e-07,1.277798452119714157e-01
3.990000000000001185e-07,1.277798452116822303e-01
4.000000000000000878e-07,1.277798452113930727e-01
4.010000000000001100e-07,1.277798452111038596e-01
4.020000000000001322e-07,1.277798452108146188e-01
4.030000000000001014e-07,1.277798452105254612e-01
4.040000000000001236e-07,1.277798452102362481e-01
4.050000000000000928e-07,1.277798452099470072e-01
4.060000000000001150e-07,1.277798452096578496e-01
4.070000000000000843e-07,1.277798452093686365e-01
4.080000000000001065e-07,1.277798452090793957e-01
4.090000000000001287e-07,1.277798452087902381e-01
4.100000000000000979e-07,1.277798452085010528e-01
4.110000000000001201e-07,1.277798452082117842e-01
4.120000000000000894e-07,1.277798452079226266e-01
4.130000000000001115e-07,1.277798452076334412e-01
4.140000000000001337e-07,1.277798452073442281e-01
4.150000000000001030e-07,1.277798452070550428e-01
4.160000000000001252e-07,1.277798452067658574e-01
4.170000000000000944e-07,1.277798452064766166e-01
4.180000000000001166e-07,1.277798452061874035e-01
4.190000000000001388e-07,1.277798452058982459e-01
4.200000000000001080e-07,1.277798452056090328e-01
4.210000000000001302e-07,1.277798452053198197e-01
4.220000000000000995e-07,1.277798452050306344e-01
4.230000000000001217e-07,1.277798452047414213e-01
4.240000000000000909e-07,1.277798452044522082e-01
4.250000000000001131e-07,1.277798452041630228e-01
4.260000000000001353e-07,1.277798452038738652e-01
4.270000000000001046e-07,1.277798452035845966e-01
4.280000000000001267e-07,1.277798452032954113e-01
4.290000000000000960e-07,1.277798452030062537e-01
4.300000000000001182e-07,1.277798452027170129e-01
4.310000000000001404e-07,1.277798452024277998e-01
4.320000000000001096e-07,1.277798452021386422e-01
4.330000000000001318e-07,1.277798452018494013e-01
4.340000000000001011e-07,1.277798452015601882e-01
4.350000000000001233e-07,1.277798452012710306e-01
4.360000000000000925e-07,1.277798452009817898e-01
4.370000000000001147e-07,1.277798452006925767e-01
4.380000000000001369e-07,1.277798452004034191e-01
4.390000000000001061e-07,1.277798452001142060e-01
4.400000000000001283e-07,1.277798451998249929e-01
4.410000000000000976e-07,1.277798451995358076e-01
4.420000000000001198e-07,1.277798451992466222e-01
4.430000000000001419e-07,1.277798451989573814e-01
4.440000000000001112e-07,1.277798451986681960e-01
4.450000000000001334e-07,1.277798451983790384e-01
4.460000000000001026e-07,1.277798451980898253e-01
4.470000000000001248e-07,1.277798451978005845e-01
4.480000000000000941e-07,1.277798451975114269e-01
4.490000000000001163e-07,1.277798451972222138e-01
4.500000000000001385e-07,1.277798451969329729e-01
4.510000000000001077e-07,1.277798451966438154e-01
4.520000000000001299e-07,1.277798451963546023e-01
4.530000000000000991e-07,1.277798451960653614e-01
4.540000000000001213e-07,1.277798451957762038e-01
4.550000000000001435e-07,1.277798451954869907e-01
4.560000000000001128e-07,1.277798451951977499e-01
4.570000000000001350e-07,1.277798451949085923e-01
4.580000000000001042e-07,1.277798451946194069e-01
4.590000000000001264e-07,1.277798451943301938e-01
4.600000000000001486e-07,1.277798451940409807e-01
4.610000000000001178e-07,1.277798451937517954e-01
4.620000000000001400e-07,1.277798451934625823e-01
4.630000000000001093e-07,1.277798451931733692e-01
4.640000000000001315e-07,1.277798451928842116e-01
4.650000000000001007e-07,1.277798451925949985e-01
4.660000000000001229e-07,1.277798451923057577e-01
4.670000000000001451e-07,1.277798451920165723e-01
4.680000000000001143e-07,1.277798451917273870e-01
4.690000000000001365e-07,1.277798451914381739e-01
4.700000000000001058e-07,1.277798451911489885e-01
4.710000000000001280e-07,1.277798451908598310e-01
4.720000000000001502e-07,1.277798451905705623e-01
4.730000000000001194e-07,1.277798451902813770e-01
4.740000000000001416e-07,1.277798451899922194e-01
4.750000000000001109e-07,1.277798451897029786e-01
4.760000000000001330e-07,1.277798451894137655e-01
4.770000000000001552e-07,1.277798451891246079e-01
4.780000000000001245e-07,1.277798451888353670e-01
4.790000000000000937e-07,1.277798451885461539e-01
4.800000000000001689e-07,1.277798451882569963e-01
4.810000000000001381e-07,1.277798451879677555e-01
4.820000000000001074e-07,1.277798451876785424e-01
4.830000000000001825e-07,1.277798451873893848e-01
4.840000000000001517e-07,1.277798451871001439e-01
4.850000000000001210e-07,1.277798451868109308e-01
4.860000000000000902e-07,1.277798451865217733e-01
4.870000000000001654e-07,1.277798451862325879e-01
4.880000000000001346e-07,1.277798451859433471e-01
4.890000000000001039e-07,1.277798451856541617e-01
4.900000000000001790e-07,1.277798451853649764e-01
4.910000000000001482e-07,1.277798451850757633e-01
4.920000000000001175e-07,1.277798451847865502e-01
4.930000000000000867e-07,1.277798451844973926e-01
4.940000000000001619e-07,1.277798451842081795e-01
4.950000000000001311e-07,1.277798451839189386e-01
4.960000000000001004e-07,1.277798451836297811e-01
4.970000000000001755e-07,1.277798451833405680e-01
4.980000000000001448e-07,1.277798451830513271e-01
4.990000000000001140e-07,1.277798451827621695e-01
5.000000000000000833e-07,1.277798451824729564e-01
