r[m],potential[V]
0.000000000000000000e+00,-1.647981149064911832e-01
1.000000000000000269e-09,-1.641801324753543179e-01
2.000000000000000538e-09,-1.635621500442174803e-01
3.000000000000001221e-09,-1.626468189797683761e-01
4.000000000000001076e-09,-1.616172872203751609e-01
5.000000000000000932e-09,-1.602122697105159976e-01
6.000000000000002442e-09,-1.586129500671978332e-01
7.000000000000002297e-09,-1.568095702466887620e-01
8.000000000000002153e-09,-1.547493783261980893e-01
9.000000000000002835e-09,-1.525414885872830584e-01
1.000000000000000186e-08,-1.500168152263035015e-01
1.100000000000000255e-08,-1.474921418653239447e-01
1.200000000000000488e-08,-1.445771905537063529e-01
1.300000000000000391e-08,-1.416572134421048568e-01
1.400000000000000459e-08,-1.384978050701959618e-01
1.500000000000000528e-08,-1.353074488192563263e-01
1.600000000000000431e-08,-1.319743066538916210e-01
1.700000000000000333e-08,-1.285630147887137364e-01
1.800000000000000567e-08,-1.250892874418464140e-01
1.900000000000000470e-08,-1.215749323950142124e-01
2.000000000000000373e-08,-1.180408942709864906e-01
2.100000000000000606e-08,-1.144665862186502042e-01
2.200000000000000509e-08,-1.108780669875992220e-01
2.300000000000000412e-08,-1.072601740213990767e-01
2.400000000000000977e-08,-1.036528347266744837e-01
2.500000000000000879e-08,-1.000720175783093857e-01
2.600000000000000782e-08,-9.649448566053543674e-02
2.700000000000001016e-08,-9.298459861333659149e-02
2.800000000000000919e-08,-8.947471156613771848e-02
2.900000000000000822e-08,-8.605188854278797428e-02
3.000000000000001055e-08,-8.263426520299509137e-02
3.100000000000000627e-08,-7.928049606046712328e-02
3.200000000000000861e-08,-7.594617069653963881e-02
3.300000000000001095e-08,-7.269045720884344253e-02
3.400000000000000667e-08,-6.949361092840602994e-02
3.500000000000000900e-08,-6.635859601710494826e-02
3.600000000000001134e-08,-6.330134433558405604e-02
3.700000000000000706e-08,-6.027058466109920520e-02
3.800000000000000940e-08,-5.733916971677264357e-02
3.900000000000001173e-08,-5.443295908890558726e-02
4.000000000000000745e-08,-5.165598763897002316e-02
4.100000000000000979e-08,-4.887901618903445211e-02
4.200000000000001213e-08,-4.623635639228315664e-02
4.300000000000000785e-08,-4.361385155784042178e-02
4.400000000000001019e-08,-4.107387321206422415e-02
4.500000000000001252e-08,-3.858705474327787238e-02
4.600000000000000824e-08,-3.617910916584225062e-02
4.700000000000001058e-08,-3.384152670282659231e-02
4.800000000000001953e-08,-3.154831829302512380e-02
4.900000000000001525e-08,-2.934582726820564660e-02
5.000000000000001759e-08,-2.716779827787152435e-02
5.100000000000001993e-08,-2.509576913916211280e-02
5.200000000000001565e-08,-2.302374000045270472e-02
5.300000000000001798e-08,-2.106862082757482782e-02
5.400000000000002032e-08,-1.913304039949684926e-02
5.500000000000001604e-08,-1.728662190566945117e-02
5.600000000000001838e-08,-1.546664947014966297e-02
5.700000000000002071e-08,-1.370244396909118222e-02
5.800000000000001643e-08,-1.199058944493095608e-02
5.900000000000001877e-08,-1.033504634985567099e-02
6.000000000000002111e-08,-8.737761718719705417e-03
6.100000000000001683e-08,-7.161827017208574793e-03
6.200000000000001255e-08,-5.664302276373374238e-03
6.300000000000002150e-08,-4.184793492204575728e-03
6.400000000000001722e-08,-2.772345182567960160e-03
6.500000000000001294e-08,-1.374771309109515654e-03
6.600000000000002189e-08,-5.880371011805424951e-05
6.700000000000001761e-08,1.257163888873406897e-03
6.800000000000001333e-08,2.494763999696474142e-03
6.900000000000002229e-08,3.726648222019415813e-03
7.000000000000001801e-08,4.890346978617028835e-03
7.100000000000001373e-08,6.038378970216861340e-03
7.200000000000002268e-08,7.158143395596902082e-03
7.300000000000001840e-08,8.215761964185061897e-03
7.400000000000001412e-08,9.273380532773219109e-03
7.500000000000002308e-08,1.026902721581828687e-02
7.600000000000001880e-08,1.125858399137600642e-02
7.700000000000001452e-08,1.218843252950483486e-02
7.800000000000002347e-08,1.311090555506756045e-02
7.900000000000001919e-08,1.399741429998103796e-02
8.000000000000001491e-08,1.486117640779805599e-02
8.100000000000002386e-08,1.569220244395643990e-02
8.200000000000001958e-08,1.649742430727136819e-02
8.300000000000001530e-08,1.728997126010864069e-02
8.400000000000002426e-08,1.803972503971493571e-02
8.500000000000001998e-08,1.878673690340313882e-02
8.600000000000001570e-08,1.948693942668787080e-02
8.700000000000002465e-08,2.018714194997259584e-02
8.800000000000002037e-08,2.084833139022565507e-02
8.900000000000001609e-08,2.150457552677889281e-02
9.000000000000002504e-08,2.212752292328086512e-02
9.100000000000002076e-08,2.274083643452580808e-02
9.200000000000001648e-08,2.333063942434185703e-02
9.300000000000002544e-08,2.390093217792582658e-02
9.400000000000002116e-08,2.446304010696657288e-02
9.500000000000001688e-08,2.499623277885642397e-02
9.600000000000003907e-08,2.552262588367008173e-02
9.700000000000003479e-08,2.602272816848738568e-02
9.800000000000003051e-08,2.652283045330467923e-02
9.900000000000003946e-08,2.699284686621690119e-02
1.000000000000000352e-07,2.746097263217337978e-02
1.010000000000000309e-07,2.790430097564978312e-02
1.020000000000000399e-07,2.834374185187866699e-02
1.030000000000000356e-07,2.876409741732606495e-02
1.040000000000000313e-07,2.917467071475093182e-02
1.050000000000000402e-07,2.956955247109571000e-02
1.060000000000000360e-07,2.995631036142119147e-02
1.070000000000000317e-07,3.033179942759550024e-02
1.080000000000000406e-07,3.069659761603807727e-02
1.090000000000000364e-07,3.105314392079752336e-02
1.100000000000000321e-07,3.139617743096577429e-02
1.110000000000000410e-07,3.173557774911583973e-02
1.120000000000000368e-07,3.205750662855269550e-02
1.130000000000000325e-07,3.237753694864230897e-02
1.140000000000000414e-07,3.268036568115725155e-02
1.150000000000000371e-07,3.298159923463327842e-02
1.160000000000000329e-07,3.326800806212776990e-02
1.170000000000000418e-07,3.355441688962224750e-02
1.180000000000000375e-07,3.382726022577260683e-02
1.190000000000000333e-07,3.409714257647170760e-02
1.200000000000000422e-07,3.435948333940813670e-02
1.210000000000000379e-07,3.461423015156780275e-02
1.220000000000000337e-07,3.486271962110704808e-02
1.230000000000000294e-07,3.510287120538823497e-02
1.240000000000000251e-07,3.534151854687628269e-02
1.250000000000000473e-07,3.556632496586131786e-02
1.260000000000000430e-07,3.579113138484635998e-02
1.270000000000000387e-07,3.600604359125666315e-02
1.280000000000000344e-07,3.622033588118680342e-02
1.290000000000000302e-07,3.642637531086948682e-02
1.300000000000000259e-07,3.662976581782315111e-02
1.310000000000000481e-07,3.682430241140288718e-02
1.320000000000000438e-07,3.701430424617654924e-02
1.330000000000000395e-07,3.720072776054572650e-02
1.340000000000000352e-07,3.738212810085481813e-02
1.350000000000000309e-07,3.756262363179261460e-02
1.360000000000000267e-07,3.773551368289815300e-02
1.370000000000000489e-07,3.790777945023624668e-02
1.380000000000000446e-07,3.807234612165630305e-02
1.390000000000000403e-07,3.823691279307635249e-02
1.400000000000000360e-07,3.839397126567981738e-02
1.410000000000000317e-07,3.854945447115635387e-02
1.420000000000000275e-07,3.869991499293297388e-02
1.430000000000000496e-07,3.884855526595713121e-02
1.440000000000000454e-07,3.899307939129727230e-02
1.450000000000000411e-07,3.913419248216337687e-02
1.460000000000000368e-07,3.927184025340321044e-02
1.470000000000000325e-07,3.940659013349516460e-02
1.480000000000000282e-07,3.953887925542252935e-02
1.490000000000000504e-07,3.966719877704967534e-02
1.500000000000000462e-07,3.979338201881359866e-02
1.510000000000000419e-07,3.991363541384168601e-02
1.520000000000000376e-07,4.003382660309783708e-02
1.530000000000000333e-07,4.015258719295566880e-02
1.540000000000000290e-07,4.027134778281350053e-02
1.550000000000000512e-07,4.038495823913230975e-02
1.560000000000000469e-07,4.049849082421293905e-02
1.570000000000000427e-07,4.060635829963329252e-02
1.580000000000000384e-07,4.071135543929475104e-02
1.590000000000000341e-07,4.081476462516679671e-02
1.600000000000000298e-07,4.091727768397430270e-02
1.610000000000000255e-07,4.101955341831501484e-02
1.620000000000000477e-07,4.112144840430146525e-02
1.630000000000000434e-07,4.122156094145552896e-02
1.640000000000000392e-07,4.131747945338541672e-02
1.650000000000000349e-07,4.141339796531531836e-02
1.660000000000000306e-07,4.150401167318488321e-02
1.670000000000000263e-07,4.159444744487881401e-02
1.680000000000000485e-07,4.168161120404360181e-02
1.690000000000000442e-07,4.176808926824066709e-02
1.700000000000000400e-07,4.185307027052809908e-02
1.710000000000000357e-07,4.193715891664687168e-02
1.720000000000000314e-07,4.201955230173300831e-02
1.730000000000000271e-07,4.210054177058178415e-02
1.740000000000000493e-07,4.218054821417838163e-02
1.750000000000000450e-07,4.225809487946642629e-02
1.760000000000000407e-07,4.233564154475448482e-02
1.770000000000000365e-07,4.241050476200141500e-02
1.780000000000000322e-07,4.248534640450980782e-02
1.790000000000000279e-07,4.255744283013686985e-02
1.800000000000000501e-07,4.262937801298015417e-02
1.810000000000000458e-07,4.269903569839751667e-02
1.820000000000000415e-07,4.276777342141432209e-02
1.830000000000000372e-07,4.283572836324577027e-02
1.840000000000000330e-07,4.290316904895066091e-02
1.850000000000000287e-07,4.296991301447661976e-02
1.860000000000000509e-07,4.303574294484798640e-02
1.870000000000000466e-07,4.310015454871127943e-02
1.880000000000000423e-07,4.316268827893432469e-02
1.890000000000000380e-07,4.322513478919873253e-02
1.900000000000000338e-07,4.328732267910891801e-02
1.910000000000000295e-07,4.334872421192665498e-02
1.920000000000000781e-07,4.340568889196710217e-02
1.930000000000000739e-07,4.346265357200754936e-02
1.940000000000000696e-07,4.351730074165487822e-02
1.950000000000000653e-07,4.357172203117203046e-02
1.960000000000000610e-07,4.362602170062505197e-02
1.970000000000000567e-07,4.368008449230649515e-02
1.980000000000000789e-07,4.373403050543910042e-02
1.990000000000000746e-07,4.378703967821419296e-02
2.000000000000000704e-07,4.384004885098928550e-02
2.010000000000000661e-07,4.389241966945914286e-02
2.020000000000000618e-07,4.394478936324699991e-02
2.030000000000000575e-07,4.399536663289788097e-02
2.040000000000000797e-07,4.404557962437280483e-02
2.050000000000000754e-07,4.409437337161155324e-02
2.060000000000000711e-07,4.414242694118091642e-02
2.070000000000000669e-07,4.419067206123076380e-02
2.080000000000000626e-07,4.423931224568655035e-02
2.090000000000000583e-07,4.428689568156694845e-02
2.100000000000000805e-07,4.433167720844290866e-02
2.110000000000000762e-07,4.437645873531886193e-02
2.120000000000000719e-07,4.441726031548844794e-02
2.130000000000000677e-07,4.445804741432311108e-02
2.140000000000000634e-07,4.450066495337957201e-02
2.150000000000000591e-07,4.454332900762622560e-02
2.160000000000000813e-07,4.458477558600550117e-02
2.170000000000000770e-07,4.462555067399687908e-02
2.180000000000000727e-07,4.466557806340057390e-02
2.190000000000000684e-07,4.470465052439750314e-02
2.200000000000000642e-07,4.474383711836936450e-02
2.210000000000000599e-07,4.478328562066112573e-02
2.220000000000000821e-07,4.482239437269185112e-02
2.230000000000000778e-07,4.485971148655960167e-02
