r[nm],potential[V]
0.000000000000000000e+00,4.010083459913874604e-01
1.000000000000000269e-09,4.010083459887127111e-01
2.000000000000000538e-09,4.010083459860380728e-01
3.000000000000000807e-09,4.010083459833632125e-01
4.000000000000001076e-09,4.010083459806885187e-01
5.000000000000001759e-09,4.010083459780138804e-01
6.000000000000001614e-09,4.010083459753391311e-01
7.000000000000001470e-09,4.010083459726643818e-01
8.000000000000002153e-09,4.010083459699896324e-01
9.000000000000002835e-09,4.010083459673148831e-01
1.000000000000000352e-08,4.010083459646401338e-01
1.100000000000000255e-08,4.010083459619654400e-01
1.200000000000000323e-08,4.010083459592906907e-01
1.300000000000000391e-08,4.010083459566159414e-01
1.400000000000000294e-08,4.010083459539412476e-01
1.500000000000000528e-08,4.010083459512664983e-01
1.600000000000000431e-08,4.010083459485917490e-01
1.700000000000000333e-08,4.010083459459170552e-01
1.800000000000000567e-08,4.010083459432424169e-01
1.900000000000000470e-08,4.010083459405675566e-01
2.000000000000000704e-08,4.010083459378928628e-01
2.100000000000000606e-08,4.010083459352181690e-01
2.200000000000000509e-08,4.010083459325434196e-01
2.300000000000000743e-08,4.010083459298686703e-01
2.400000000000000646e-08,4.010083459271939765e-01
2.500000000000000549e-08,4.010083459245192272e-01
2.600000000000000782e-08,4.010083459218444224e-01
2.700000000000000685e-08,4.010083459191697841e-01
2.800000000000000588e-08,4.010083459164950348e-01
2.900000000000000822e-08,4.010083459138202855e-01
3.000000000000001055e-08,4.010083459111455917e-01
3.100000000000000627e-08,4.010083459084708424e-01
3.200000000000000861e-08,4.010083459057960931e-01
3.300000000000001095e-08,4.010083459031213993e-01
3.400000000000000667e-08,4.010083459004467610e-01
3.500000000000000900e-08,4.010083458977719006e-01
3.600000000000001134e-08,4.010083458950972068e-01
3.700000000000000706e-08,4.010083458924225130e-01
3.800000000000000940e-08,4.010083458897477637e-01
3.900000000000001173e-08,4.010083458870730144e-01
4.000000000000001407e-08,4.010083458843983206e-01
4.100000000000000979e-08,4.010083458817235713e-01
4.200000000000001213e-08,4.010083458790487665e-01
4.300000000000001447e-08,4.010083458763741282e-01
4.400000000000001019e-08,4.010083458736993789e-01
4.500000000000001252e-08,4.010083458710246296e-01
4.600000000000001486e-08,4.010083458683499358e-01
4.700000000000001058e-08,4.010083458656751865e-01
4.800000000000001292e-08,4.010083458630004372e-01
4.900000000000001525e-08,4.010083458603257434e-01
5.000000000000001097e-08,4.010083458576510496e-01
5.100000000000001331e-08,4.010083458549763002e-01
5.200000000000001565e-08,4.010083458523015509e-01
5.300000000000001137e-08,4.010083458496268571e-01
5.400000000000001370e-08,4.010083458469521078e-01
5.500000000000001604e-08,4.010083458442773030e-01
5.600000000000001176e-08,4.010083458416026647e-01
5.700000000000001410e-08,4.010083458389279154e-01
5.800000000000001643e-08,4.010083458362531106e-01
5.900000000000001877e-08,4.010083458335784723e-01
6.000000000000002111e-08,4.010083458309037230e-01
6.100000000000001683e-08,4.010083458282289737e-01
6.200000000000001255e-08,4.010083458255542799e-01
6.300000000000002150e-08,4.010083458228796416e-01
6.400000000000001722e-08,4.010083458202047813e-01
6.500000000000001294e-08,4.010083458175300875e-01
6.600000000000002189e-08,4.010083458148553937e-01
6.700000000000001761e-08,4.010083458121806443e-01
6.800000000000001333e-08,4.010083458095058950e-01
6.900000000000002229e-08,4.010083458068312012e-01
7.000000000000001801e-08,4.010083458041564519e-01
7.100000000000001373e-08,4.010083458014816471e-01
7.200000000000002268e-08,4.010083457988070088e-01
7.300000000000001840e-08,4.010083457961322595e-01
7.400000000000001412e-08,4.010083457934574547e-01
7.500000000000002308e-08,4.010083457907828164e-01
7.600000000000001880e-08,4.010083457881080671e-01
7.700000000000001452e-08,4.010083457854333178e-01
7.800000000000002347e-08,4.010083457827586240e-01
7.900000000000001919e-08,4.010083457800839302e-01
8.000000000000002814e-08,4.010083457774091253e-01
8.100000000000002386e-08,4.010083457747344315e-01
8.200000000000001958e-08,4.010083457720597377e-01
8.300000000000002854e-08,4.010083457693849329e-01
8.400000000000002426e-08,4.010083457667102391e-01
8.500000000000001998e-08,4.010083457640355453e-01
8.600000000000002893e-08,4.010083457613607960e-01
8.700000000000002465e-08,4.010083457586859912e-01
8.800000000000002037e-08,4.010083457560113529e-01
8.900000000000002932e-08,4.010083457533366036e-01
9.000000000000002504e-08,4.010083457506617988e-01
9.100000000000002076e-08,4.010083457479871605e-01
9.200000000000002972e-08,4.010083457453124112e-01
9.300000000000002544e-08,4.010083457426376619e-01
9.400000000000002116e-08,4.010083457399629681e-01
9.500000000000003011e-08,4.010083457372882743e-01
9.600000000000002583e-08,4.010083457346134694e-01
9.700000000000002155e-08,4.010083457319387756e-01
9.800000000000003051e-08,4.010083457292640818e-01
9.900000000000002623e-08,4.010083457265893325e-01
1.000000000000000219e-07,4.010083457239145832e-01
1.010000000000000309e-07,4.010083457212398894e-01
1.020000000000000266e-07,4.010083457185651401e-01
1.030000000000000223e-07,4.010083457158903353e-01
1.040000000000000313e-07,4.010083457132156970e-01
1.050000000000000270e-07,4.010083457105409477e-01
1.060000000000000227e-07,4.010083457078661429e-01
1.070000000000000317e-07,4.010083457051915046e-01
1.080000000000000274e-07,4.010083457025168108e-01
1.090000000000000231e-07,4.010083456998420059e-01
1.100000000000000321e-07,4.010083456971673121e-01
1.110000000000000278e-07,4.010083456944926183e-01
1.120000000000000235e-07,4.010083456918178135e-01
1.130000000000000325e-07,4.010083456891431197e-01
1.140000000000000282e-07,4.010083456864684259e-01
1.150000000000000371e-07,4.010083456837936766e-01
1.160000000000000329e-07,4.010083456811188718e-01
1.170000000000000286e-07,4.010083456784442335e-01
1.180000000000000375e-07,4.010083456757694842e-01
1.190000000000000333e-07,4.010083456730946794e-01
1.200000000000000422e-07,4.010083456704200411e-01
1.210000000000000379e-07,4.010083456677452918e-01
1.220000000000000337e-07,4.010083456650704870e-01
1.230000000000000294e-07,4.010083456623958487e-01
1.240000000000000251e-07,4.010083456597211549e-01
1.250000000000000208e-07,4.010083456570463500e-01
1.260000000000000430e-07,4.010083456543716562e-01
1.270000000000000387e-07,4.010083456516969624e-01
1.280000000000000344e-07,4.010083456490221576e-01
1.290000000000000302e-07,4.010083456463474083e-01
1.300000000000000259e-07,4.010083456436727700e-01
1.310000000000000481e-07,4.010083456409980207e-01
1.320000000000000438e-07,4.010083456383232159e-01
1.330000000000000395e-07,4.010083456356485776e-01
1.340000000000000352e-07,4.010083456329738283e-01
1.350000000000000309e-07,4.010083456302990235e-01
1.360000000000000267e-07,4.010083456276243852e-01
1.370000000000000489e-07,4.010083456249496359e-01
1.380000000000000446e-07,4.010083456222748310e-01
1.390000000000000403e-07,4.010083456196001928e-01
1.400000000000000360e-07,4.010083456169254990e-01
1.410000000000000317e-07,4.010083456142506941e-01
1.420000000000000275e-07,4.010083456115760003e-01
1.430000000000000496e-07,4.010083456089013065e-01
1.440000000000000454e-07,4.010083456062265017e-01
1.450000000000000411e-07,4.010083456035517524e-01
1.460000000000000368e-07,4.010083456008771141e-01
1.470000000000000325e-07,4.010083455982023648e-01
1.480000000000000282e-07,4.010083455955275600e-01
1.490000000000000504e-07,4.010083455928529217e-01
1.500000000000000462e-07,4.010083455901781724e-01
1.510000000000000419e-07,4.010083455875033676e-01
1.520000000000000376e-07,4.010083455848287293e-01
1.530000000000000333e-07,4.010083455821540355e-01
1.540000000000000290e-07,4.010083455794792306e-01
1.550000000000000512e-07,4.010083455768045368e-01
1.560000000000000469e-07,4.010083455741298430e-01
1.570000000000000427e-07,4.010083455714550382e-01
1.580000000000000384e-07,4.010083455687802889e-01
1.590000000000000341e-07,4.010083455661056506e-01
1.600000000000000563e-07,4.010083455634308458e-01
1.610000000000000520e-07,4.010083455607560965e-01
1.620000000000000477e-07,4.010083455580814582e-01
1.630000000000000434e-07,4.010083455554067089e-01
1.640000000000000392e-07,4.010083455527319041e-01
1.650000000000000349e-07,4.010083455500572658e-01
1.660000000000000571e-07,4.010083455473825165e-01
1.670000000000000528e-07,4.010083455447077116e-01
1.680000000000000485e-07,4.010083455420330734e-01
1.690000000000000442e-07,4.010083455393583796e-01
1.700000000000000400e-07,4.010083455366835747e-01
1.710000000000000357e-07,4.010083455340088809e-01
1.720000000000000579e-07,4.010083455313341871e-01
1.730000000000000536e-07,4.010083455286593823e-01
1.740000000000000493e-07,4.010083455259846330e-01
1.750000000000000450e-07,4.010083455233099947e-01
1.760000000000000407e-07,4.010083455206351899e-01
1.770000000000000365e-07,4.010083455179604406e-01
1.780000000000000586e-07,4.010083455152858023e-01
1.790000000000000544e-07,4.010083455126110530e-01
1.800000000000000501e-07,4.010083455099362482e-01
1.810000000000000458e-07,4.010083455072616099e-01
1.820000000000000415e-07,4.010083455045868606e-01
1.830000000000000372e-07,4.010083455019120557e-01
1.840000000000000594e-07,4.010083454992374175e-01
1.850000000000000552e-07,4.010083454965627237e-01
1.860000000000000509e-07,4.010083454938879188e-01
1.870000000000000466e-07,4.010083454912131695e-01
1.880000000000000423e-07,4.010083454885385312e-01
1.890000000000000380e-07,4.010083454858637264e-01
1.900000000000000602e-07,4.010083454831889771e-01
1.910000000000000559e-07,4.010083454805143388e-01
1.920000000000000517e-07,4.010083454778395340e-01
1.930000000000000474e-07,4.010083454751647847e-01
1.940000000000000431e-07,4.010083454724901464e-01
1.950000000000000653e-07,4.010083454698153971e-01
1.960000000000000610e-07,4.010083454671405923e-01
1.970000000000000567e-07,4.010083454644659540e-01
1.980000000000000525e-07,4.010083454617912047e-01
1.990000000000000482e-07,4.010083454591163998e-01
2.000000000000000439e-07,4.010083454564417615e-01
2.010000000000000661e-07,4.010083454537670677e-01
2.020000000000000618e-07,4.010083454510922629e-01
2.030000000000000575e-07,4.010083454484175136e-01
2.040000000000000532e-07,4.010083454457428753e-01
2.050000000000000490e-07,4.010083454430680705e-01
2.060000000000000447e-07,4.010083454403933212e-01
2.070000000000000669e-07,4.010083454377186829e-01
2.080000000000000626e-07,4.010083454350438781e-01
2.090000000000000583e-07,4.010083454323691288e-01
2.100000000000000540e-07,4.010083454296944905e-01
2.110000000000000497e-07,4.010083454270197412e-01
2.120000000000000455e-07,4.010083454243449363e-01
2.130000000000000677e-07,4.010083454216702981e-01
2.140000000000000634e-07,4.010083454189955487e-01
2.150000000000000591e-07,4.010083454163207439e-01
2.160000000000000548e-07,4.010083454136460501e-01
2.170000000000000505e-07,4.010083454109714118e-01
2.180000000000000463e-07,4.010083454082966070e-01
2.190000000000000684e-07,4.010083454056218577e-01
2.200000000000000642e-07,4.010083454029472194e-01
2.210000000000000599e-07,4.010083454002724146e-01
2.220000000000000556e-07,4.010083453975976653e-01
2.230000000000000513e-07,4.010083453949230270e-01
2.240000000000000470e-07,4.010083453922482777e-01
2.250000000000000692e-07,4.010083453895734729e-01
2.260000000000000649e-07,4.010083453868988346e-01
2.270000000000000607e-07,4.010083453842240853e-01
2.280000000000000564e-07,4.010083453815492804e-01
2.290000000000000521e-07,4.010083453788746422e-01
2.300000000000000743e-07,4.010083453761998928e-01
2.310000000000000700e-07,4.010083453735250880e-01
2.320000000000000657e-07,4.010083453708503942e-01
2.330000000000000615e-07,4.010083453681757559e-01
2.340000000000000572e-07,4.010083453655009511e-01
2.350000000000000529e-07,4.010083453628262018e-01
2.360000000000000751e-07,4.010083453601515635e-01
2.370000000000000708e-07,4.010083453574767587e-01
2.380000000000000665e-07,4.010083453548020094e-01
2.390000000000000622e-07,4.010083453521273711e-01
2.400000000000000844e-07,4.010083453494526218e-01
2.410000000000000537e-07,4.010083453467778170e-01
2.420000000000000759e-07,4.010083453441031787e-01
2.430000000000000451e-07,4.010083453414284294e-01
2.440000000000000673e-07,4.010083453387536245e-01
2.450000000000000895e-07,4.010083453360789307e-01
2.460000000000000587e-07,4.010083453334042369e-01
2.470000000000000809e-07,4.010083453307294321e-01
2.480000000000000502e-07,4.010083453280547383e-01
2.490000000000000724e-07,4.010083453253801000e-01
2.500000000000000416e-07,4.010083453227052952e-01
2.510000000000000638e-07,4.010083453200305459e-01
2.520000000000000860e-07,4.010083453173559076e-01
2.530000000000000553e-07,4.010083453146811028e-01
2.540000000000000774e-07,4.010083453120063535e-01
2.550000000000000467e-07,4.010083453093317152e-01
2.560000000000000689e-07,4.010083453066569659e-01
2.570000000000000911e-07,4.010083453039821610e-01
2.580000000000000603e-07,4.010083453013075228e-01
2.590000000000000825e-07,4.010083452986327734e-01
2.600000000000000518e-07,4.010083452959579686e-01
2.610000000000000740e-07,4.010083452932832748e-01
2.620000000000000961e-07,4.010083452906085810e-01
2.630000000000000654e-07,4.010083452879338317e-01
2.640000000000000876e-07,4.010083452852590824e-01
2.650000000000000568e-07,4.010083452825844441e-01
2.660000000000000790e-07,4.010083452799096393e-01
2.670000000000000483e-07,4.010083452772348900e-01
2.680000000000000705e-07,4.010083452745602517e-01
2.690000000000000926e-07,4.010083452718854469e-01
2.700000000000000619e-07,4.010083452692106976e-01
2.710000000000000841e-07,4.010083452665360593e-01
2.720000000000000533e-07,4.010083452638613100e-01
2.730000000000000755e-07,4.010083452611865051e-01
2.740000000000000977e-07,4.010083452585118113e-01
2.750000000000000670e-07,4.010083452558371175e-01
2.760000000000000892e-07,4.010083452531623127e-01
2.770000000000000584e-07,4.010083452504876189e-01
2.780000000000000806e-07,4.010083452478129251e-01
2.790000000000000498e-07,4.010083452451381758e-01
2.800000000000000720e-07,4.010083452424634265e-01
2.810000000000000942e-07,4.010083452397887882e-01
2.820000000000000635e-07,4.010083452371139834e-01
2.830000000000000857e-07,4.010083452344392341e-01
2.840000000000000549e-07,4.010083452317645958e-01
2.850000000000000771e-07,4.010083452290897910e-01
2.860000000000000993e-07,4.010083452264150417e-01
2.870000000000000685e-07,4.010083452237404034e-01
2.880000000000000907e-07,4.010083452210656541e-01
2.890000000000000600e-07,4.010083452183908492e-01
2.900000000000000822e-07,4.010083452157161554e-01
2.910000000000001044e-07,4.010083452130414616e-01
2.920000000000000736e-07,4.010083452103666568e-01
2.930000000000000958e-07,4.010083452076919630e-01
2.940000000000000650e-07,4.010083452050173247e-01
2.950000000000000872e-07,4.010083452023425199e-01
2.960000000000000565e-07,4.010083451996677706e-01
2.970000000000000787e-07,4.010083451969931323e-01
2.980000000000001009e-07,4.010083451943183275e-01
2.990000000000000701e-07,4.010083451916435782e-01
3.000000000000000923e-07,4.010083451889689399e-01
3.010000000000000616e-07,4.010083451862941351e-01
3.020000000000000837e-07,4.010083451836193857e-01
3.030000000000001059e-07,4.010083451809446919e-01
3.040000000000000752e-07,4.010083451782699426e-01
3.050000000000000974e-07,4.010083451755951933e-01
3.060000000000000666e-07,4.010083451729204995e-01
3.070000000000000888e-07,4.010083451702458057e-01
3.080000000000000581e-07,4.010083451675710564e-01
3.090000000000000802e-07,4.010083451648963071e-01
3.100000000000001024e-07,4.010083451622216688e-01
3.110000000000000717e-07,4.010083451595468640e-01
3.120000000000000939e-07,4.010083451568721147e-01
3.130000000000000631e-07,4.010083451541974764e-01
3.140000000000000853e-07,4.010083451515226716e-01
3.150000000000001075e-07,4.010083451488479223e-01
3.160000000000000768e-07,4.010083451461732285e-01
3.170000000000000989e-07,4.010083451434984791e-01
3.180000000000000682e-07,4.010083451408237298e-01
3.190000000000000904e-07,4.010083451381490360e-01
3.200000000000001126e-07,4.010083451354743422e-01
3.210000000000000818e-07,4.010083451327995374e-01
3.220000000000001040e-07,4.010083451301248436e-01
3.230000000000000733e-07,4.010083451274501498e-01
3.240000000000000955e-07,4.010083451247754005e-01
3.250000000000000647e-07,4.010083451221006512e-01
3.260000000000000869e-07,4.010083451194260129e-01
3.270000000000001091e-07,4.010083451167512081e-01
3.280000000000000783e-07,4.010083451140764588e-01
3.290000000000001005e-07,4.010083451114018205e-01
3.300000000000000698e-07,4.010083451087270157e-01
3.310000000000000920e-07,4.010083451060522663e-01
3.320000000000001141e-07,4.010083451033775725e-01
3.330000000000000834e-07,4.010083451007028232e-01
3.340000000000001056e-07,4.010083450980280739e-01
3.350000000000000748e-07,4.010083450953533801e-01
