z[nm],potential[V]
-1.960000000000000081e-07,4.010083129273057101e-01
-1.952179999999999948e-07,4.010083130599011447e-01
-1.944360000000000081e-07,4.010083131924966349e-01
-1.936539999999999949e-07,4.010083133250920695e-01
-1.928720000000000081e-07,4.010083134576875041e-01
-1.920899999999999949e-07,4.010083135902829388e-01
-1.913080000000000081e-07,4.010083137228783734e-01
-1.905259999999999949e-07,4.010083138554738635e-01
-1.897440000000000082e-07,4.010083139880692982e-01
-1.889619999999999949e-07,4.010083141206647328e-01
-1.881800000000000082e-07,4.010083142532601674e-01
-1.873979999999999950e-07,4.010083143858556021e-01
-1.866160000000000082e-07,4.010083145184510922e-01
-1.858339999999999950e-07,4.010083146510465268e-01
-1.850520000000000082e-07,4.010083147836419615e-01
-1.842699999999999950e-07,4.010083149162373961e-01
-1.834880000000000083e-07,4.010083150488328307e-01
-1.827059999999999950e-07,4.010083151814283209e-01
-1.819240000000000083e-07,4.010083153140237555e-01
-1.811419999999999951e-07,4.010083154466191901e-01
-1.803600000000000083e-07,4.010083155792146248e-01
-1.795779999999999951e-07,4.010083157118100594e-01
-1.787960000000000083e-07,4.010083158444055496e-01
-1.780139999999999951e-07,4.010083159770009842e-01
-1.772320000000000084e-07,4.010083161095964188e-01
-1.764499999999999951e-07,4.010083162421918535e-01
-1.756680000000000084e-07,4.010083163747872881e-01
-1.748859999999999952e-07,4.010083165073827782e-01
-1.741040000000000084e-07,4.010083166399782129e-01
-1.733219999999999952e-07,4.010083167725736475e-01
-1.725400000000000084e-07,4.010083169051690821e-01
-1.717579999999999952e-07,4.010083170377645168e-01
-1.709760000000000085e-07,4.010083171703600069e-01
-1.701939999999999952e-07,4.010083173029554415e-01
-1.694120000000000085e-07,4.010083174355508762e-01
-1.686299999999999953e-07,4.010083175681463663e-01
-1.678480000000000085e-07,4.010083177007417454e-01
-1.670659999999999953e-07,4.010083178333371801e-01
-1.662840000000000085e-07,4.010083179659326702e-01
-1.655019999999999953e-07,4.010083180985281048e-01
-1.647200000000000086e-07,4.010083182311235395e-01
-1.639379999999999953e-07,4.010083183637190296e-01
-1.631560000000000086e-07,4.010083184963144087e-01
-1.623739999999999954e-07,4.010083186289098989e-01
-1.615920000000000086e-07,4.010083187615053335e-01
-1.608099999999999954e-07,4.010083188941007681e-01
-1.600280000000000086e-07,4.010083190266962028e-01
-1.592459999999999954e-07,4.010083191592916374e-01
-1.584640000000000087e-07,4.010083192918871275e-01
-1.576819999999999954e-07,4.010083194244825622e-01
-1.569000000000000087e-07,4.010083195570779968e-01
-1.561179999999999955e-07,4.010083196896734314e-01
-1.553360000000000087e-07,4.010083198222688661e-01
-1.545539999999999955e-07,4.010083199548643007e-01
-1.537720000000000087e-07,4.010083200874597908e-01
-1.529899999999999955e-07,4.010083202200552255e-01
-1.522080000000000087e-07,4.010083203526506601e-01
-1.514259999999999955e-07,4.010083204852460947e-01
-1.506440000000000088e-07,4.010083206178415849e-01
-1.498619999999999955e-07,4.010083207504370195e-01
-1.490800000000000088e-07,4.010083208830324542e-01
-1.482979999999999956e-07,4.010083210156278888e-01
-1.475160000000000088e-07,4.010083211482233234e-01
-1.467339999999999956e-07,4.010083212808188136e-01
-1.459520000000000088e-07,4.010083214134142482e-01
-1.451699999999999956e-07,4.010083215460096828e-01
-1.443880000000000089e-07,4.010083216786051175e-01
-1.436059999999999956e-07,4.010083218112006076e-01
-1.428240000000000089e-07,4.010083219437960977e-01
-1.420419999999999957e-07,4.010083220763914769e-01
-1.412600000000000089e-07,4.010083222089869115e-01
-1.404779999999999957e-07,4.010083223415823461e-01
-1.396960000000000089e-07,4.010083224741777808e-01
-1.389139999999999957e-07,4.010083226067732709e-01
-1.381320000000000090e-07,4.010083227393687610e-01
-1.373499999999999957e-07,4.010083228719641402e-01
-1.365680000000000090e-07,4.010083230045595748e-01
-1.357859999999999958e-07,4.010083231371550094e-01
-1.350039999999999825e-07,4.010083232697504996e-01
-1.342219999999999958e-07,4.010083234023459342e-01
-1.334400000000000090e-07,4.010083235349413688e-01
-1.326579999999999958e-07,4.010083236675368035e-01
-1.318759999999999826e-07,4.010083238001322381e-01
-1.310939999999999958e-07,4.010083239327277282e-01
-1.303120000000000091e-07,4.010083240653231629e-01
-1.295299999999999959e-07,4.010083241979185975e-01
-1.287479999999999826e-07,4.010083243305140321e-01
-1.279659999999999959e-07,4.010083244631094668e-01
-1.271840000000000091e-07,4.010083245957049569e-01
-1.264019999999999959e-07,4.010083247283003915e-01
-1.256199999999999827e-07,4.010083248608958262e-01
-1.248379999999999959e-07,4.010083249934912608e-01
-1.240560000000000092e-07,4.010083251260866954e-01
-1.232739999999999960e-07,4.010083252586821856e-01
-1.224919999999999827e-07,4.010083253912776202e-01
-1.217099999999999960e-07,4.010083255238730549e-01
-1.209280000000000092e-07,4.010083256564684895e-01
-1.201459999999999960e-07,4.010083257890639241e-01
-1.193639999999999828e-07,4.010083259216594143e-01
-1.185819999999999960e-07,4.010083260542548489e-01
-1.177999999999999960e-07,4.010083261868503390e-01
-1.170179999999999961e-07,4.010083263194457182e-01
-1.162359999999999961e-07,4.010083264520411528e-01
-1.154539999999999961e-07,4.010083265846366429e-01
-1.146719999999999961e-07,4.010083267172320776e-01
-1.138899999999999961e-07,4.010083268498275122e-01
-1.131079999999999961e-07,4.010083269824230023e-01
-1.123259999999999961e-07,4.010083271150184370e-01
-1.115439999999999961e-07,4.010083272476138716e-01
-1.107619999999999962e-07,4.010083273802093062e-01
-1.099799999999999962e-07,4.010083275128047409e-01
-1.091979999999999962e-07,4.010083276454001755e-01
-1.084159999999999962e-07,4.010083277779956656e-01
-1.076339999999999962e-07,4.010083279105911003e-01
-1.068519999999999962e-07,4.010083280431865349e-01
-1.060699999999999962e-07,4.010083281757819695e-01
-1.052879999999999962e-07,4.010083283083774042e-01
-1.045059999999999963e-07,4.010083284409728388e-01
-1.037239999999999963e-07,4.010083285735683289e-01
-1.029419999999999963e-07,4.010083287061637636e-01
-1.021599999999999963e-07,4.010083288387591982e-01
-1.013779999999999963e-07,4.010083289713546328e-01
-1.005959999999999963e-07,4.010083291039500675e-01
-9.981399999999999632e-08,4.010083292365455021e-01
-9.903199999999999634e-08,4.010083293691409922e-01
-9.824999999999999635e-08,4.010083295017364269e-01
-9.746799999999999636e-08,4.010083296343318615e-01
-9.668599999999999637e-08,4.010083297669272961e-01
-9.590399999999999638e-08,4.010083298995227308e-01
-9.512199999999999640e-08,4.010083300321182209e-01
-9.433999999999999641e-08,4.010083301647136556e-01
-9.355799999999999642e-08,4.010083302973091457e-01
-9.277599999999999643e-08,4.010083304299045248e-01
-9.199399999999999644e-08,4.010083305624999594e-01
-9.121199999999999646e-08,4.010083306950954496e-01
-9.042999999999999647e-08,4.010083308276908842e-01
-8.964799999999999648e-08,4.010083309602863189e-01
-8.886599999999999649e-08,4.010083310928817535e-01
-8.808399999999999651e-08,4.010083312254772436e-01
-8.730199999999999652e-08,4.010083313580727338e-01
-8.651999999999999653e-08,4.010083314906681129e-01
-8.573799999999999654e-08,4.010083316232635475e-01
-8.495599999999999655e-08,4.010083317558589822e-01
-8.417399999999999657e-08,4.010083318884544168e-01
-8.339199999999999658e-08,4.010083320210499069e-01
-8.260999999999999659e-08,4.010083321536453971e-01
-8.182799999999999660e-08,4.010083322862407762e-01
-8.104599999999999661e-08,4.010083324188362108e-01
-8.026399999999999663e-08,4.010083325514316455e-01
-7.948199999999999664e-08,4.010083326840271356e-01
-7.869999999999999665e-08,4.010083328166225702e-01
-7.791799999999999666e-08,4.010083329492180049e-01
-7.713599999999999667e-08,4.010083330818134395e-01
-7.635399999999999669e-08,4.010083332144088741e-01
-7.557199999999998346e-08,4.010083333470043643e-01
-7.478999999999999671e-08,4.010083334795997989e-01
-7.400799999999998349e-08,4.010083336121952335e-01
-7.322599999999999674e-08,4.010083337447906682e-01
-7.244399999999998351e-08,4.010083338773861028e-01
-7.166199999999999676e-08,4.010083340099815929e-01
