r[nm],potential[V]
0.000000000000000000e+00,3.046389156254176722e-01
1.000000000000000269e-09,3.046389156236977702e-01
2.000000000000000538e-09,3.046389156219779237e-01
3.000000000000000807e-09,3.046389156202579107e-01
4.000000000000001076e-09,3.046389156185380642e-01
5.000000000000001759e-09,3.046389156168182177e-01
6.000000000000001614e-09,3.046389156150983157e-01
7.000000000000001470e-09,3.046389156133783582e-01
8.000000000000002153e-09,3.046389156116585117e-01
9.000000000000002835e-09,3.046389156099385542e-01
1.000000000000000352e-08,3.046389156082185967e-01
1.100000000000000255e-08,3.046389156064988057e-01
1.200000000000000323e-08,3.046389156047788482e-01
1.300000000000000391e-08,3.046389156030589462e-01
1.400000000000000294e-08,3.046389156013390997e-01
1.500000000000000528e-08,3.046389155996191422e-01
1.600000000000000431e-08,3.046389155978992402e-01
1.700000000000000333e-08,3.046389155961793382e-01
1.800000000000000567e-08,3.046389155944594918e-01
1.900000000000000470e-08,3.046389155927394787e-01
2.000000000000000704e-08,3.046389155910196322e-01
2.100000000000000606e-08,3.046389155892997858e-01
2.200000000000000509e-08,3.046389155875798838e-01
2.300000000000000743e-08,3.046389155858599262e-01
2.400000000000000646e-08,3.046389155841400798e-01
2.500000000000000549e-08,3.046389155824201223e-01
2.600000000000000782e-08,3.046389155807001647e-01
2.700000000000000685e-08,3.046389155789803738e-01
2.800000000000000588e-08,3.046389155772604163e-01
2.900000000000000822e-08,3.046389155755404587e-01
3.000000000000001055e-08,3.046389155738206678e-01
3.100000000000000627e-08,3.046389155721007103e-01
3.200000000000000861e-08,3.046389155703808083e-01
3.300000000000001095e-08,3.046389155686609063e-01
3.400000000000000667e-08,3.046389155669410598e-01
3.500000000000000900e-08,3.046389155652210468e-01
3.600000000000001134e-08,3.046389155635012003e-01
3.700000000000000706e-08,3.046389155617813538e-01
3.800000000000000940e-08,3.046389155600614518e-01
3.900000000000001173e-08,3.046389155583414943e-01
4.000000000000001407e-08,3.046389155566216478e-01
4.100000000000000979e-08,3.046389155549016903e-01
4.200000000000001213e-08,3.046389155531817328e-01
4.300000000000001447e-08,3.046389155514619418e-01
4.400000000000001019e-08,3.046389155497419843e-01
4.500000000000001252e-08,3.046389155480220268e-01
4.600000000000001486e-08,3.046389155463022358e-01
4.700000000000001058e-08,3.046389155445822783e-01
4.800000000000001292e-08,3.046389155428623763e-01
4.900000000000001525e-08,3.046389155411425298e-01
5.000000000000001097e-08,3.046389155394226278e-01
5.100000000000001331e-08,3.046389155377026703e-01
5.200000000000001565e-08,3.046389155359827683e-01
5.300000000000001137e-08,3.046389155342629218e-01
5.400000000000001370e-08,3.046389155325430198e-01
5.500000000000001604e-08,3.046389155308230623e-01
5.600000000000001176e-08,3.046389155291032158e-01
5.700000000000001410e-08,3.046389155273833138e-01
5.800000000000001643e-08,3.046389155256633008e-01
5.900000000000001877e-08,3.046389155239434543e-01
6.000000000000002111e-08,3.046389155222235523e-01
6.100000000000001683e-08,3.046389155205035948e-01
6.200000000000001255e-08,3.046389155187838038e-01
6.300000000000002150e-08,3.046389155170639573e-01
6.400000000000001722e-08,3.046389155153439443e-01
6.500000000000001294e-08,3.046389155136240978e-01
6.600000000000002189e-08,3.046389155119041958e-01
6.700000000000001761e-08,3.046389155101842383e-01
6.800000000000001333e-08,3.046389155084643363e-01
6.900000000000002229e-08,3.046389155067444898e-01
7.000000000000001801e-08,3.046389155050245878e-01
7.100000000000001373e-08,3.046389155033046303e-01
7.200000000000002268e-08,3.046389155015847838e-01
7.300000000000001840e-08,3.046389154998648818e-01
7.400000000000001412e-08,3.046389154981448688e-01
7.500000000000002308e-08,3.046389154964250223e-01
7.600000000000001880e-08,3.046389154947051203e-01
7.700000000000001452e-08,3.046389154929851628e-01
7.800000000000002347e-08,3.046389154912653718e-01
7.900000000000001919e-08,3.046389154895455254e-01
8.000000000000002814e-08,3.046389154878255123e-01
8.100000000000002386e-08,3.046389154861056658e-01
8.200000000000001958e-08,3.046389154843857638e-01
8.300000000000002854e-08,3.046389154826658063e-01
8.400000000000002426e-08,3.046389154809459598e-01
8.500000000000001998e-08,3.046389154792260578e-01
8.600000000000002893e-08,3.046389154775061558e-01
8.700000000000002465e-08,3.046389154757861983e-01
8.800000000000002037e-08,3.046389154740663519e-01
8.900000000000002932e-08,3.046389154723464499e-01
9.000000000000002504e-08,3.046389154706264923e-01
9.100000000000002076e-08,3.046389154689065903e-01
9.200000000000002972e-08,3.046389154671867439e-01
9.300000000000002544e-08,3.046389154654667308e-01
9.400000000000002116e-08,3.046389154637469399e-01
9.500000000000003011e-08,3.046389154620270934e-01
9.600000000000002583e-08,3.046389154603070804e-01
9.700000000000002155e-08,3.046389154585872339e-01
9.800000000000003051e-08,3.046389154568673874e-01
9.900000000000002623e-08,3.046389154551473744e-01
1.000000000000000219e-07,3.046389154534275279e-01
1.010000000000000309e-07,3.046389154517076259e-01
1.020000000000000266e-07,3.046389154499877239e-01
1.030000000000000223e-07,3.046389154482677664e-01
1.040000000000000313e-07,3.046389154465479199e-01
1.050000000000000270e-07,3.046389154448280179e-01
1.060000000000000227e-07,3.046389154431080604e-01
1.070000000000000317e-07,3.046389154413881584e-01
1.080000000000000274e-07,3.046389154396683674e-01
1.090000000000000231e-07,3.046389154379482989e-01
1.100000000000000321e-07,3.046389154362285079e-01
1.110000000000000278e-07,3.046389154345086614e-01
1.120000000000000235e-07,3.046389154327887039e-01
1.130000000000000325e-07,3.046389154310688019e-01
1.140000000000000282e-07,3.046389154293489554e-01
1.150000000000000371e-07,3.046389154276289424e-01
1.160000000000000329e-07,3.046389154259090404e-01
1.170000000000000286e-07,3.046389154241891939e-01
1.180000000000000375e-07,3.046389154224692919e-01
1.190000000000000333e-07,3.046389154207493344e-01
1.200000000000000422e-07,3.046389154190294879e-01
1.210000000000000379e-07,3.046389154173095859e-01
1.220000000000000337e-07,3.046389154155896284e-01
1.230000000000000294e-07,3.046389154138697264e-01
1.240000000000000251e-07,3.046389154121499354e-01
1.250000000000000208e-07,3.046389154104299224e-01
1.260000000000000430e-07,3.046389154087100204e-01
1.270000000000000387e-07,3.046389154069902294e-01
1.280000000000000344e-07,3.046389154052702719e-01
1.290000000000000302e-07,3.046389154035503699e-01
1.300000000000000259e-07,3.046389154018305234e-01
1.310000000000000481e-07,3.046389154001105659e-01
1.320000000000000438e-07,3.046389153983906084e-01
1.330000000000000395e-07,3.046389153966708174e-01
1.340000000000000352e-07,3.046389153949508044e-01
1.350000000000000309e-07,3.046389153932309024e-01
1.360000000000000267e-07,3.046389153915110559e-01
1.370000000000000489e-07,3.046389153897911539e-01
1.380000000000000446e-07,3.046389153880711964e-01
1.390000000000000403e-07,3.046389153863513499e-01
1.400000000000000360e-07,3.046389153846315034e-01
1.410000000000000317e-07,3.046389153829114904e-01
1.420000000000000275e-07,3.046389153811915884e-01
1.430000000000000496e-07,3.046389153794717974e-01
1.440000000000000454e-07,3.046389153777518399e-01
1.450000000000000411e-07,3.046389153760319379e-01
1.460000000000000368e-07,3.046389153743120914e-01
1.470000000000000325e-07,3.046389153725921339e-01
1.480000000000000282e-07,3.046389153708721764e-01
1.490000000000000504e-07,3.046389153691523854e-01
1.500000000000000462e-07,3.046389153674323724e-01
1.510000000000000419e-07,3.046389153657124704e-01
1.520000000000000376e-07,3.046389153639926239e-01
1.530000000000000333e-07,3.046389153622727775e-01
1.540000000000000290e-07,3.046389153605527644e-01
1.550000000000000512e-07,3.046389153588329179e-01
1.560000000000000469e-07,3.046389153571130159e-01
1.570000000000000427e-07,3.046389153553931139e-01
1.580000000000000384e-07,3.046389153536731564e-01
1.590000000000000341e-07,3.046389153519533655e-01
1.600000000000000563e-07,3.046389153502334080e-01
1.610000000000000520e-07,3.046389153485135060e-01
1.620000000000000477e-07,3.046389153467936595e-01
1.630000000000000434e-07,3.046389153450737020e-01
1.640000000000000392e-07,3.046389153433537444e-01
1.650000000000000349e-07,3.046389153416338980e-01
1.660000000000000571e-07,3.046389153399139960e-01
1.670000000000000528e-07,3.046389153381940385e-01
1.680000000000000485e-07,3.046389153364741920e-01
