z[m],potential[V]
-2.000000000000000174e-07,0.000000000000000000e+00
-1.995900000000000290e-07,-5.975949814521224583e-06
-1.991800000000000140e-07,-1.195189962904244917e-05
-1.987700000000000256e-07,-1.792784944356365850e-05
-1.983600000000000371e-07,-2.390379925808488139e-05
-1.979499999999999958e-07,-2.987974907260652102e-05
-1.975400000000000073e-07,-3.585569888712775068e-05
-1.971300000000000189e-07,-4.183164870164897696e-05
-1.967200000000000039e-07,-4.780759851617017613e-05
-1.963100000000000155e-07,-5.378354833069142274e-05
-1.959000000000000270e-07,-5.975949814521262868e-05
-1.954900000000000121e-07,-6.573544795973384819e-05
-1.950800000000000237e-07,-7.171139777425508124e-05
-1.946700000000000087e-07,-7.768734758877672087e-05
-1.942599999999999938e-07,-8.366329740329795392e-05
-1.938500000000000054e-07,-8.963924721781915987e-05
-1.934400000000000169e-07,-9.561519703234037937e-05
-1.930300000000000020e-07,-1.015911468468615989e-04
-1.926200000000000135e-07,-1.075670966613828184e-04
-1.922100000000000251e-07,-1.135430464759040379e-04
-1.918000000000000102e-07,-1.195189962904252845e-04
-1.913899999999999952e-07,-1.254949461049469106e-04
-1.909800000000000068e-07,-1.314708959194681301e-04
-1.905699999999999919e-07,-1.374468457339893496e-04
-1.901600000000000034e-07,-1.434227955485105691e-04
-1.897500000000000150e-07,-1.500566972491388523e-04
-1.893400000000000265e-07,-1.567835528712332169e-04
-1.889300000000000116e-07,-1.635104084933275816e-04
-1.885200000000000231e-07,-1.702372641154219733e-04
-1.881100000000000347e-07,-1.769641197375163380e-04
-1.876999999999999933e-07,-1.836909753596111905e-04
-1.872900000000000049e-07,-1.904178309817055551e-04
-1.868800000000000164e-07,-1.971446866037999198e-04
-1.864700000000000015e-07,-2.038715422258942844e-04
-1.860600000000000130e-07,-2.105983978479886761e-04
-1.856500000000000246e-07,-2.173252534700830408e-04
-1.852400000000000097e-07,-2.240521090921774325e-04
-1.848300000000000212e-07,-2.307789647142717972e-04
-1.844200000000000328e-07,-2.375058203363661618e-04
-1.840099999999999914e-07,-2.442326759584610143e-04
-1.836000000000000029e-07,-2.509595315805553790e-04
-1.831900000000000145e-07,-2.576863872026497436e-04
-1.827799999999999995e-07,-2.644132428247441082e-04
-1.823700000000000111e-07,-2.711400984468385271e-04
-1.819600000000000226e-07,-2.778669540689328917e-04
-1.815500000000000342e-07,-2.845938096910272564e-04
-1.811399999999999928e-07,-2.913206653131220547e-04
-1.807300000000000043e-07,-2.980475209352164735e-04
-1.803200000000000159e-07,-3.047743765573108924e-04
-1.799100000000000010e-07,-3.126960162666424410e-04
-1.795000000000000125e-07,-3.210107896619851520e-04
-1.790900000000000241e-07,-3.293255630573277545e-04
-1.786800000000000092e-07,-3.376403364526704655e-04
-1.782700000000000207e-07,-3.459551098480130680e-04
-1.778600000000000322e-07,-3.542698832433556705e-04
-1.774499999999999909e-07,-3.625846566386989236e-04
-1.770400000000000024e-07,-3.708994300340415261e-04
-1.766300000000000140e-07,-3.792142034293841829e-04
-1.762199999999999990e-07,-3.875289768247268396e-04
-1.758100000000000106e-07,-3.958437502200694421e-04
-1.754000000000000221e-07,-4.041585236154120989e-04
-1.749900000000000072e-07,-4.124732970107548098e-04
-1.745800000000000188e-07,-4.207880704060974124e-04
-1.741700000000000303e-07,-4.291028438014399607e-04
-1.737599999999999889e-07,-4.374176171967832680e-04
-1.733500000000000005e-07,-4.457323905921258705e-04
-1.729400000000000120e-07,-4.540471639874685814e-04
-1.725300000000000236e-07,-4.623619373828111298e-04
-1.721200000000000086e-07,-4.706767107781537323e-04
-1.717100000000000202e-07,-4.789914841734964433e-04
-1.713000000000000317e-07,-4.873062575688391000e-04
-1.708899999999999904e-07,-4.956210309641822988e-04
-1.704800000000000019e-07,-5.039358043595250098e-04
-1.700700000000000134e-07,-5.139191426341562733e-04
-1.696599999999999985e-07,-5.248881917825482229e-04
-1.692500000000000101e-07,-5.358572409309401725e-04
-1.688400000000000216e-07,-5.468262900793321220e-04
-1.684300000000000067e-07,-5.577953392277241801e-04
-1.680200000000000183e-07,-5.687643883761161296e-04
-1.676100000000000298e-07,-5.797334375245081876e-04
-1.671999999999999884e-07,-5.907024866729008962e-04
-1.667900000000000000e-07,-6.016715358212929542e-04
-1.663800000000000115e-07,-6.126405849696847953e-04
-1.659699999999999966e-07,-6.236096341180768533e-04
-1.655600000000000081e-07,-6.345786832664688029e-04
-1.651500000000000197e-07,-6.455477324148608609e-04
-1.647400000000000312e-07,-6.565167815632528105e-04
-1.643300000000000163e-07,-6.674858307116447601e-04
-1.639200000000000279e-07,-6.784548798600368181e-04
-1.635100000000000129e-07,-6.894239290084295266e-04
-1.630999999999999980e-07,-7.003929781568215846e-04
-1.626900000000000096e-07,-7.113620273052135342e-04
-1.622800000000000211e-07,-7.223310764536054838e-04
-1.618700000000000062e-07,-7.333001256019974334e-04
-1.614600000000000177e-07,-7.442691747503894914e-04
-1.610500000000000293e-07,-7.552382238987815494e-04
-1.606399999999999879e-07,-7.662072730471742579e-04
-1.602300000000000259e-07,-7.792376391539771472e-04
-1.598200000000000110e-07,-7.942897671975509286e-04
-1.594099999999999961e-07,-8.093418952411237342e-04
-1.590000000000000076e-07,-8.243940232846965399e-04
-1.585900000000000192e-07,-8.394461513282693455e-04
-1.581800000000000043e-07,-8.544982793718421512e-04
-1.577700000000000158e-07,-8.695504074154150652e-04
-1.573600000000000274e-07,-8.846025354589878709e-04
-1.569499999999999860e-07,-8.996546635025617607e-04
-1.565399999999999975e-07,-9.147067915461345664e-04
-1.561300000000000091e-07,-9.297589195897071552e-04
-1.557200000000000206e-07,-9.448110476332801776e-04
-1.553100000000000057e-07,-9.598631756768529833e-04
-1.549000000000000172e-07,-9.749153037204255721e-04
-1.544900000000000288e-07,-9.899674317639987030e-04
-1.540800000000000139e-07,-1.005019559807571400e-03
