r[nm],potential[V]
0.000000000000000000e+00,1.861303431981070344e-01
1.000000000000000269e-09,1.861303431974666023e-01
2.000000000000000538e-09,1.861303431968261701e-01
3.000000000000000807e-09,1.861303431961857102e-01
4.000000000000001076e-09,1.861303431955453058e-01
5.000000000000001759e-09,1.861303431949048737e-01
6.000000000000001614e-09,1.861303431942644415e-01
7.000000000000001470e-09,1.861303431936239816e-01
8.000000000000002153e-09,1.861303431929835495e-01
9.000000000000002835e-09,1.861303431923431173e-01
1.000000000000000352e-08,1.861303431917026574e-01
1.100000000000000255e-08,1.861303431910622530e-01
1.200000000000000323e-08,1.861303431904218209e-01
1.300000000000000391e-08,1.861303431897813609e-01
1.400000000000000294e-08,1.861303431891409566e-01
1.500000000000000528e-08,1.861303431885004966e-01
1.600000000000000431e-08,1.861303431878600367e-01
1.700000000000000333e-08,1.861303431872196323e-01
1.800000000000000567e-08,1.861303431865792002e-01
1.900000000000000470e-08,1.861303431859387403e-01
2.000000000000000704e-08,1.861303431852983081e-01
2.100000000000000606e-08,1.861303431846578760e-01
2.200000000000000509e-08,1.861303431840174438e-01
2.300000000000000743e-08,1.861303431833769839e-01
2.400000000000000646e-08,1.861303431827365518e-01
2.500000000000000549e-08,1.861303431820961196e-01
2.600000000000000782e-08,1.861303431814556875e-01
2.700000000000000685e-08,1.861303431808152553e-01
2.800000000000000588e-08,1.861303431801748232e-01
2.900000000000000822e-08,1.861303431795343633e-01
3.000000000000001055e-08,1.861303431788939589e-01
3.100000000000000627e-08,1.861303431782534989e-01
3.200000000000000861e-08,1.861303431776130390e-01
3.300000000000001095e-08,1.861303431769726346e-01
3.400000000000000667e-08,1.861303431763322025e-01
3.500000000000000900e-08,1.861303431756917426e-01
3.600000000000001134e-08,1.861303431750513382e-01
3.700000000000000706e-08,1.861303431744109060e-01
3.800000000000000940e-08,1.861303431737704739e-01
3.900000000000001173e-08,1.861303431731300140e-01
4.000000000000001407e-08,1.861303431724895818e-01
4.100000000000000979e-08,1.861303431718491497e-01
4.200000000000001213e-08,1.861303431712086898e-01
4.300000000000001447e-08,1.861303431705682854e-01
4.400000000000001019e-08,1.861303431699278532e-01
4.500000000000001252e-08,1.861303431692873933e-01
4.600000000000001486e-08,1.861303431686469889e-01
4.700000000000001058e-08,1.861303431680065290e-01
4.800000000000001292e-08,1.861303431673660691e-01
4.900000000000001525e-08,1.861303431667256647e-01
5.000000000000001097e-08,1.861303431660852326e-01
5.100000000000001331e-08,1.861303431654448004e-01
