r[m],potential[V]
0.000000000000000000e+00,1.363733723012242605e-01
1.000000000000000269e-09,1.358362810895073769e-01
2.000000000000000538e-09,1.352991898777905211e-01
3.000000000000001221e-09,1.348267596142258828e-01
4.000000000000001076e-09,1.343791632472643161e-01
5.000000000000000932e-09,1.337445171628117713e-01
6.000000000000002442e-09,1.330130786990843805e-01
7.000000000000002297e-09,1.322185559513918418e-01
8.000000000000002153e-09,1.313446409005859239e-01
9.000000000000002835e-09,1.304211540175624906e-01
1.000000000000000186e-08,1.293913450186828240e-01
1.100000000000000255e-08,1.283615360198031574e-01
1.200000000000000488e-08,1.271722842235798456e-01
1.300000000000000391e-08,1.259809792045008536e-01
1.400000000000000459e-08,1.247023123152029012e-01
1.500000000000000528e-08,1.234123533975040876e-01
1.600000000000000431e-08,1.220338559429454683e-01
1.700000000000000333e-08,1.206068995062431343e-01
1.800000000000000567e-08,1.191650014161694249e-01
1.900000000000000470e-08,1.177133805691996937e-01
2.000000000000000373e-08,1.162698864278917804e-01
2.100000000000000606e-08,1.148430188460965728e-01
2.200000000000000509e-08,1.134049418832486916e-01
2.300000000000000412e-08,1.119436957381087505e-01
2.400000000000000977e-08,1.104867842949235485e-01
2.500000000000000879e-08,1.090407662739881073e-01
2.600000000000000782e-08,1.075974874338341963e-01
2.700000000000001016e-08,1.062106099707861712e-01
2.800000000000000919e-08,1.048237325077380905e-01
2.900000000000000822e-08,1.035048767847475959e-01
3.000000000000001055e-08,1.021900834919969719e-01
3.100000000000000627e-08,1.008720310372482054e-01
3.200000000000000861e-08,9.955298615871167878e-02
3.300000000000001095e-08,9.827071452171159960e-02
3.400000000000000667e-08,9.701597992027004291e-02
3.500000000000000900e-08,9.580386356730088981e-02
3.600000000000001134e-08,9.464534674956900928e-02
3.700000000000000706e-08,9.349525160816306302e-02
3.800000000000000940e-08,9.237673765881042331e-02
3.900000000000001173e-08,9.126996642930855497e-02
4.000000000000000745e-08,9.022340788054450389e-02
4.100000000000000979e-08,8.917684933178046669e-02
4.200000000000001213e-08,8.819541230128022380e-02
4.300000000000000785e-08,8.722374748126930644e-02
4.400000000000001019e-08,8.628125434634786872e-02
4.500000000000001252e-08,8.535755230766715884e-02
4.600000000000000824e-08,8.446598404155529483e-02
4.700000000000001058e-08,8.360308256167739427e-02
4.800000000000001953e-08,8.276285855704906824e-02
4.900000000000001525e-08,8.196899590784399725e-02
5.000000000000001759e-08,8.118367088657346686e-02
