z[nm],potential[V]
-1.960000000000000081e-07,3.379460086221817150e-01
-1.952179999999999948e-07,3.379460087201723861e-01
-1.944360000000000081e-07,3.379460088181630573e-01
-1.936539999999999949e-07,3.379460089161537284e-01
-1.928720000000000081e-07,3.379460090141443995e-01
-1.920899999999999949e-07,3.379460091121351262e-01
-1.913080000000000081e-07,3.379460092101257418e-01
-1.905259999999999949e-07,3.379460093081164684e-01
-1.897440000000000082e-07,3.379460094061071396e-01
-1.889619999999999949e-07,3.379460095040978662e-01
-1.881800000000000082e-07,3.379460096020885373e-01
-1.873979999999999950e-07,3.379460097000791530e-01
-1.866160000000000082e-07,3.379460097980698796e-01
-1.858339999999999950e-07,3.379460098960605507e-01
-1.850520000000000082e-07,3.379460099940512219e-01
-1.842699999999999950e-07,3.379460100920418930e-01
-1.834880000000000083e-07,3.379460101900326197e-01
-1.827059999999999950e-07,3.379460102880232908e-01
-1.819240000000000083e-07,3.379460103860139619e-01
-1.811419999999999951e-07,3.379460104840046886e-01
-1.803600000000000083e-07,3.379460105819953042e-01
-1.795779999999999951e-07,3.379460106799860308e-01
-1.787960000000000083e-07,3.379460107779767020e-01
-1.780139999999999951e-07,3.379460108759673731e-01
-1.772320000000000084e-07,3.379460109739580997e-01
-1.764499999999999951e-07,3.379460110719487709e-01
-1.756680000000000084e-07,3.379460111699394420e-01
-1.748859999999999952e-07,3.379460112679300576e-01
-1.741040000000000084e-07,3.379460113659207843e-01
-1.733219999999999952e-07,3.379460114639115109e-01
-1.725400000000000084e-07,3.379460115619021821e-01
-1.717579999999999952e-07,3.379460116598927977e-01
-1.709760000000000085e-07,3.379460117578834688e-01
-1.701939999999999952e-07,3.379460118558742510e-01
-1.694120000000000085e-07,3.379460119538649221e-01
-1.686299999999999953e-07,3.379460120518555377e-01
-1.678480000000000085e-07,3.379460121498462088e-01
-1.670659999999999953e-07,3.379460122478369355e-01
-1.662840000000000085e-07,3.379460123458276621e-01
-1.655019999999999953e-07,3.379460124438182778e-01
-1.647200000000000086e-07,3.379460125418089489e-01
-1.639379999999999953e-07,3.379460126397996755e-01
-1.631560000000000086e-07,3.379460127377903467e-01
-1.623739999999999954e-07,3.379460128357810178e-01
-1.615920000000000086e-07,3.379460129337716889e-01
-1.608099999999999954e-07,3.379460130317623601e-01
-1.600280000000000086e-07,3.379460131297530867e-01
-1.592459999999999954e-07,3.379460132277437578e-01
-1.584640000000000087e-07,3.379460133257344290e-01
-1.576819999999999954e-07,3.379460134237251001e-01
-1.569000000000000087e-07,3.379460135217158268e-01
-1.561179999999999955e-07,3.379460136197064424e-01
-1.553360000000000087e-07,3.379460137176971690e-01
-1.545539999999999955e-07,3.379460138156878402e-01
-1.537720000000000087e-07,3.379460139136785113e-01
-1.529899999999999955e-07,3.379460140116692379e-01
-1.522080000000000087e-07,3.379460141096598536e-01
-1.514259999999999955e-07,3.379460142076505802e-01
-1.506440000000000088e-07,3.379460143056412513e-01
-1.498619999999999955e-07,3.379460144036319225e-01
-1.490800000000000088e-07,3.379460145016225936e-01
-1.482979999999999956e-07,3.379460145996133202e-01
-1.475160000000000088e-07,3.379460146976039914e-01
-1.467339999999999956e-07,3.379460147955946625e-01
-1.459520000000000088e-07,3.379460148935853336e-01
-1.451699999999999956e-07,3.379460149915760048e-01
-1.443880000000000089e-07,3.379460150895667314e-01
-1.436059999999999956e-07,3.379460151875574581e-01
-1.428240000000000089e-07,3.379460152855480737e-01
-1.420419999999999957e-07,3.379460153835387448e-01
-1.412600000000000089e-07,3.379460154815294159e-01
-1.404779999999999957e-07,3.379460155795201426e-01
-1.396960000000000089e-07,3.379460156775108137e-01
-1.389139999999999957e-07,3.379460157755014849e-01
-1.381320000000000090e-07,3.379460158734921560e-01
-1.373499999999999957e-07,3.379460159714828271e-01
-1.365680000000000090e-07,3.379460160694734983e-01
-1.357859999999999958e-07,3.379460161674642249e-01
-1.350039999999999825e-07,3.379460162654548960e-01
-1.342219999999999958e-07,3.379460163634455672e-01
-1.334400000000000090e-07,3.379460164614362383e-01
-1.326579999999999958e-07,3.379460165594269649e-01
-1.318759999999999826e-07,3.379460166574176361e-01
-1.310939999999999958e-07,3.379460167554083072e-01
-1.303120000000000091e-07,3.379460168533989228e-01
-1.295299999999999959e-07,3.379460169513897050e-01
-1.287479999999999826e-07,3.379460170493803761e-01
-1.279659999999999959e-07,3.379460171473710473e-01
-1.271840000000000091e-07,3.379460172453616629e-01
-1.264019999999999959e-07,3.379460173433523895e-01
-1.256199999999999827e-07,3.379460174413431162e-01
-1.248379999999999959e-07,3.379460175393337873e-01
-1.240560000000000092e-07,3.379460176373244584e-01
-1.232739999999999960e-07,3.379460177353150740e-01
-1.224919999999999827e-07,3.379460178333058007e-01
-1.217099999999999960e-07,3.379460179312965273e-01
-1.209280000000000092e-07,3.379460180292871430e-01
-1.201459999999999960e-07,3.379460181272778141e-01
-1.193639999999999828e-07,3.379460182252684852e-01
-1.185819999999999960e-07,3.379460183232592119e-01
-1.177999999999999960e-07,3.379460184212499385e-01
-1.170179999999999961e-07,3.379460185192405541e-01
-1.162359999999999961e-07,3.379460186172312253e-01
-1.154539999999999961e-07,3.379460187152219519e-01
-1.146719999999999961e-07,3.379460188132126230e-01
-1.138899999999999961e-07,3.379460189112032942e-01
-1.131079999999999961e-07,3.379460190091940208e-01
-1.123259999999999961e-07,3.379460191071846920e-01
-1.115439999999999961e-07,3.379460192051753631e-01
-1.107619999999999962e-07,3.379460193031660342e-01
-1.099799999999999962e-07,3.379460194011567054e-01
-1.091979999999999962e-07,3.379460194991474320e-01
-1.084159999999999962e-07,3.379460195971381031e-01
-1.076339999999999962e-07,3.379460196951287743e-01
-1.068519999999999962e-07,3.379460197931194454e-01
-1.060699999999999962e-07,3.379460198911101165e-01
-1.052879999999999962e-07,3.379460199891008432e-01
-1.045059999999999963e-07,3.379460200870914588e-01
-1.037239999999999963e-07,3.379460201850821854e-01
-1.029419999999999963e-07,3.379460202830728566e-01
-1.021599999999999963e-07,3.379460203810635832e-01
-1.013779999999999963e-07,3.379460204790541988e-01
-1.005959999999999963e-07,3.379460205770448700e-01
-9.981399999999999632e-08,3.379460206750355966e-01
-9.903199999999999634e-08,3.379460207730262677e-01
-9.824999999999999635e-08,3.379460208710169944e-01
-9.746799999999999636e-08,3.379460209690076100e-01
-9.668599999999999637e-08,3.379460210669982811e-01
-9.590399999999999638e-08,3.379460211649890078e-01
-9.512199999999999640e-08,3.379460212629796789e-01
-9.433999999999999641e-08,3.379460213609703501e-01
-9.355799999999999642e-08,3.379460214589610212e-01
-9.277599999999999643e-08,3.379460215569516923e-01
-9.199399999999999644e-08,3.379460216549424745e-01
-9.121199999999999646e-08,3.379460217529330901e-01
-9.042999999999999647e-08,3.379460218509237612e-01
-8.964799999999999648e-08,3.379460219489144324e-01
-8.886599999999999649e-08,3.379460220469051590e-01
-8.808399999999999651e-08,3.379460221448958301e-01
-8.730199999999999652e-08,3.379460222428865013e-01
-8.651999999999999653e-08,3.379460223408771724e-01
-8.573799999999999654e-08,3.379460224388678435e-01
-8.495599999999999655e-08,3.379460225368585702e-01
-8.417399999999999657e-08,3.379460226348492413e-01
-8.339199999999999658e-08,3.379460227328399125e-01
-8.260999999999999659e-08,3.379460228308306391e-01
-8.182799999999999660e-08,3.379460229288212547e-01
-8.104599999999999661e-08,3.379460230268119814e-01
-8.026399999999999663e-08,3.379460231248026525e-01
-7.948199999999999664e-08,3.379460232227933236e-01
-7.869999999999999665e-08,3.379460233207839948e-01
-7.791799999999999666e-08,3.379460234187746659e-01
-7.713599999999999667e-08,3.379460235167653925e-01
-7.635399999999999669e-08,3.379460236147560637e-01
-7.557199999999998346e-08,3.379460237127466793e-01
-7.478999999999999671e-08,3.379460238107374059e-01
-7.400799999999998349e-08,3.379460239087280771e-01
-7.322599999999999674e-08,3.379460240067188037e-01
-7.244399999999998351e-08,3.379460241047094748e-01
-7.166199999999999676e-08,3.379460242027001460e-01
-7.087999999999998354e-08,3.379460243006908171e-01
-7.009799999999999678e-08,3.379460243986815438e-01
-6.931599999999998356e-08,3.379460244966722149e-01
-6.853399999999999681e-08,3.379460245946628305e-01
-6.775199999999998358e-08,3.379460246926535572e-01
-6.696999999999999683e-08,3.379460247906442283e-01
-6.618799999999998361e-08,3.379460248886348994e-01
-6.540599999999999686e-08,3.379460249866256261e-01
-6.462399999999998363e-08,3.379460250846162972e-01
-6.384199999999999688e-08,3.379460251826069683e-01
-6.305999999999998366e-08,3.379460252805976395e-01
-6.227799999999999690e-08,3.379460253785883106e-01
-6.149599999999998368e-08,3.379460254765790372e-01
-6.071399999999999693e-08,3.379460255745697084e-01
-5.993199999999998371e-08,3.379460256725603795e-01
-5.914999999999999695e-08,3.379460257705510506e-01
-5.836799999999998373e-08,3.379460258685417773e-01
-5.758599999999999698e-08,3.379460259665324484e-01
-5.680399999999998375e-08,3.379460260645231195e-01
-5.602199999999999700e-08,3.379460261625137352e-01
-5.523999999999998378e-08,3.379460262605044618e-01
-5.445799999999999703e-08,3.379460263584951885e-01
-5.367599999999998380e-08,3.379460264564858596e-01
-5.289399999999999705e-08,3.379460265544764752e-01
-5.211199999999998383e-08,3.379460266524671463e-01
-5.132999999999999707e-08,3.379460267504578730e-01
-5.054799999999998385e-08,3.379460268484485996e-01
-4.976599999999999710e-08,3.379460269464392153e-01
-4.898399999999998388e-08,3.379460270444298864e-01
-4.820199999999999712e-08,3.379460271424206130e-01
-4.741999999999998390e-08,3.379460272404113397e-01
-4.663799999999999715e-08,3.379460273384019553e-01
-4.585599999999998392e-08,3.379460274363926264e-01
-4.507399999999999717e-08,3.379460275343833531e-01
-4.429199999999998395e-08,3.379460276323740242e-01
-4.350999999999999719e-08,3.379460277303647509e-01
-4.272799999999998397e-08,3.379460278283553665e-01
-4.194599999999999722e-08,3.379460279263460376e-01
-4.116399999999998400e-08,3.379460280243367643e-01
-4.038199999999999724e-08,3.379460281223274354e-01
-3.959999999999998402e-08,3.379460282203181065e-01
-3.881799999999999727e-08,3.379460283183087776e-01
-3.803599999999998404e-08,3.379460284162994488e-01
-3.725399999999999729e-08,3.379460285142901754e-01
-3.647199999999998407e-08,3.379460286122808466e-01
-3.568999999999999732e-08,3.379460287102715177e-01
-3.490799999999998409e-08,3.379460288082621888e-01
-3.412599999999999734e-08,3.379460289062529155e-01
-3.334399999999998412e-08,3.379460290042435311e-01
-3.256199999999999736e-08,3.379460291022342577e-01
-3.177999999999998414e-08,3.379460292002249844e-01
-3.099799999999999739e-08,3.379460292982156000e-01
-3.021599999999998417e-08,3.379460293962062711e-01
-2.943399999999999741e-08,3.379460294941969978e-01
-2.865199999999998419e-08,3.379460295921876689e-01
-2.786999999999999744e-08,3.379460296901783956e-01
-2.708799999999998421e-08,3.379460297881690112e-01
-2.630599999999999746e-08,3.379460298861596823e-01
-2.552399999999998424e-08,3.379460299841504090e-01
-2.474199999999999748e-08,3.379460300821410801e-01
-2.395999999999998426e-08,3.379460301801317512e-01
