r[nm],potential[V]
0.000000000000000000e+00,3.379460330571983362e-01
1.000000000000000269e-09,3.379460330551481984e-01
2.000000000000000538e-09,3.379460330530981160e-01
3.000000000000000807e-09,3.379460330510478672e-01
4.000000000000001076e-09,3.379460330489978404e-01
5.000000000000001759e-09,3.379460330469477580e-01
6.000000000000001614e-09,3.379460330448975647e-01
7.000000000000001470e-09,3.379460330428474268e-01
8.000000000000002153e-09,3.379460330407973445e-01
9.000000000000002835e-09,3.379460330387472067e-01
1.000000000000000352e-08,3.379460330366970688e-01
1.100000000000000255e-08,3.379460330346470420e-01
1.200000000000000323e-08,3.379460330325968487e-01
1.300000000000000391e-08,3.379460330305466553e-01
1.400000000000000294e-08,3.379460330284965730e-01
1.500000000000000528e-08,3.379460330264464907e-01
1.600000000000000431e-08,3.379460330243962973e-01
1.700000000000000333e-08,3.379460330223462150e-01
1.800000000000000567e-08,3.379460330202961327e-01
1.900000000000000470e-08,3.379460330182459393e-01
2.000000000000000704e-08,3.379460330161958570e-01
2.100000000000000606e-08,3.379460330141457747e-01
2.200000000000000509e-08,3.379460330120955813e-01
2.300000000000000743e-08,3.379460330100454990e-01
2.400000000000000646e-08,3.379460330079954167e-01
2.500000000000000549e-08,3.379460330059452233e-01
2.600000000000000782e-08,3.379460330038950855e-01
2.700000000000000685e-08,3.379460330018450587e-01
2.800000000000000588e-08,3.379460329997948653e-01
2.900000000000000822e-08,3.379460329977447275e-01
3.000000000000001055e-08,3.379460329956945897e-01
3.100000000000000627e-08,3.379460329936445073e-01
3.200000000000000861e-08,3.379460329915943140e-01
3.300000000000001095e-08,3.379460329895442872e-01
3.400000000000000667e-08,3.379460329874941493e-01
3.500000000000000900e-08,3.379460329854439560e-01
3.600000000000001134e-08,3.379460329833938736e-01
3.700000000000000706e-08,3.379460329813438468e-01
3.800000000000000940e-08,3.379460329792936535e-01
3.900000000000001173e-08,3.379460329772435156e-01
4.000000000000001407e-08,3.379460329751934333e-01
4.100000000000000979e-08,3.379460329731432955e-01
4.200000000000001213e-08,3.379460329710931021e-01
4.300000000000001447e-08,3.379460329690430753e-01
4.400000000000001019e-08,3.379460329669928820e-01
4.500000000000001252e-08,3.379460329649427441e-01
4.600000000000001486e-08,3.379460329628926618e-01
4.700000000000001058e-08,3.379460329608425240e-01
4.800000000000001292e-08,3.379460329587923306e-01
4.900000000000001525e-08,3.379460329567423038e-01
5.000000000000001097e-08,3.379460329546922215e-01
5.100000000000001331e-08,3.379460329526420836e-01
5.200000000000001565e-08,3.379460329505918903e-01
5.300000000000001137e-08,3.379460329485418635e-01
5.400000000000001370e-08,3.379460329464916701e-01
5.500000000000001604e-08,3.379460329444415323e-01
5.600000000000001176e-08,3.379460329423914500e-01
5.700000000000001410e-08,3.379460329403413121e-01
5.800000000000001643e-08,3.379460329382911188e-01
5.900000000000001877e-08,3.379460329362410920e-01
6.000000000000002111e-08,3.379460329341908986e-01
6.100000000000001683e-08,3.379460329321407608e-01
6.200000000000001255e-08,3.379460329300906785e-01
6.300000000000002150e-08,3.379460329280405961e-01
6.400000000000001722e-08,3.379460329259903473e-01
6.500000000000001294e-08,3.379460329239403205e-01
6.600000000000002189e-08,3.379460329218902381e-01
6.700000000000001761e-08,3.379460329198401003e-01
6.800000000000001333e-08,3.379460329177899069e-01
6.900000000000002229e-08,3.379460329157398246e-01
7.000000000000001801e-08,3.379460329136896868e-01
7.100000000000001373e-08,3.379460329116395489e-01
7.200000000000002268e-08,3.379460329095894666e-01
7.300000000000001840e-08,3.379460329075393288e-01
7.400000000000001412e-08,3.379460329054891354e-01
7.500000000000002308e-08,3.379460329034391086e-01
7.600000000000001880e-08,3.379460329013889153e-01
7.700000000000001452e-08,3.379460328993387774e-01
7.800000000000002347e-08,3.379460328972886951e-01
7.900000000000001919e-08,3.379460328952386128e-01
8.000000000000002814e-08,3.379460328931883639e-01
8.100000000000002386e-08,3.379460328911383371e-01
8.200000000000001958e-08,3.379460328890882548e-01
8.300000000000002854e-08,3.379460328870381169e-01
8.400000000000002426e-08,3.379460328849879236e-01
8.500000000000001998e-08,3.379460328829378413e-01
8.600000000000002893e-08,3.379460328808877034e-01
8.700000000000002465e-08,3.379460328788375656e-01
8.800000000000002037e-08,3.379460328767874833e-01
8.900000000000002932e-08,3.379460328747373454e-01
9.000000000000002504e-08,3.379460328726871521e-01
9.100000000000002076e-08,3.379460328706370698e-01
9.200000000000002972e-08,3.379460328685869874e-01
9.300000000000002544e-08,3.379460328665367941e-01
9.400000000000002116e-08,3.379460328644867118e-01
9.500000000000003011e-08,3.379460328624366294e-01
9.600000000000002583e-08,3.379460328603864361e-01
9.700000000000002155e-08,3.379460328583363538e-01
9.800000000000003051e-08,3.379460328562862714e-01
9.900000000000002623e-08,3.379460328542360781e-01
1.000000000000000219e-07,3.379460328521859958e-01
1.010000000000000309e-07,3.379460328501359134e-01
1.020000000000000266e-07,3.379460328480857201e-01
1.030000000000000223e-07,3.379460328460355822e-01
1.040000000000000313e-07,3.379460328439854999e-01
1.050000000000000270e-07,3.379460328419353621e-01
1.060000000000000227e-07,3.379460328398851687e-01
1.070000000000000317e-07,3.379460328378350864e-01
1.080000000000000274e-07,3.379460328357850596e-01
1.090000000000000231e-07,3.379460328337348662e-01
1.100000000000000321e-07,3.379460328316847839e-01
1.110000000000000278e-07,3.379460328296346461e-01
1.120000000000000235e-07,3.379460328275845082e-01
1.130000000000000325e-07,3.379460328255343704e-01
1.140000000000000282e-07,3.379460328234843436e-01
1.150000000000000371e-07,3.379460328214340947e-01
1.160000000000000329e-07,3.379460328193839569e-01
1.170000000000000286e-07,3.379460328173339301e-01
1.180000000000000375e-07,3.379460328152837922e-01
1.190000000000000333e-07,3.379460328132335989e-01
1.200000000000000422e-07,3.379460328111835166e-01
1.210000000000000379e-07,3.379460328091333787e-01
1.220000000000000337e-07,3.379460328070832409e-01
1.230000000000000294e-07,3.379460328050331586e-01
1.240000000000000251e-07,3.379460328029830762e-01
1.250000000000000208e-07,3.379460328009328274e-01
1.260000000000000430e-07,3.379460327988828006e-01
1.270000000000000387e-07,3.379460327968327182e-01
1.280000000000000344e-07,3.379460327947825804e-01
1.290000000000000302e-07,3.379460327927323871e-01
1.300000000000000259e-07,3.379460327906823602e-01
1.310000000000000481e-07,3.379460327886321669e-01
1.320000000000000438e-07,3.379460327865820291e-01
1.330000000000000395e-07,3.379460327845319467e-01
1.340000000000000352e-07,3.379460327824818089e-01
1.350000000000000309e-07,3.379460327804316155e-01
1.360000000000000267e-07,3.379460327783815887e-01
1.370000000000000489e-07,3.379460327763313954e-01
1.380000000000000446e-07,3.379460327742812575e-01
1.390000000000000403e-07,3.379460327722311752e-01
1.400000000000000360e-07,3.379460327701810929e-01
1.410000000000000317e-07,3.379460327681308440e-01
1.420000000000000275e-07,3.379460327660808172e-01
1.430000000000000496e-07,3.379460327640307349e-01
1.440000000000000454e-07,3.379460327619805970e-01
1.450000000000000411e-07,3.379460327599304037e-01
1.460000000000000368e-07,3.379460327578803214e-01
1.470000000000000325e-07,3.379460327558301835e-01
1.480000000000000282e-07,3.379460327537800457e-01
1.490000000000000504e-07,3.379460327517299634e-01
1.500000000000000462e-07,3.379460327496798255e-01
1.510000000000000419e-07,3.379460327476296322e-01
1.520000000000000376e-07,3.379460327455796054e-01
1.530000000000000333e-07,3.379460327435295230e-01
1.540000000000000290e-07,3.379460327414792742e-01
1.550000000000000512e-07,3.379460327394291919e-01
1.560000000000000469e-07,3.379460327373791095e-01
1.570000000000000427e-07,3.379460327353289717e-01
1.580000000000000384e-07,3.379460327332788339e-01
1.590000000000000341e-07,3.379460327312287515e-01
1.600000000000000563e-07,3.379460327291786137e-01
1.610000000000000520e-07,3.379460327271284203e-01
1.620000000000000477e-07,3.379460327250783380e-01
1.630000000000000434e-07,3.379460327230282002e-01
1.640000000000000392e-07,3.379460327209780623e-01
1.650000000000000349e-07,3.379460327189279800e-01
1.660000000000000571e-07,3.379460327168778422e-01
1.670000000000000528e-07,3.379460327148276488e-01
1.680000000000000485e-07,3.379460327127776220e-01
1.690000000000000442e-07,3.379460327107275397e-01
1.700000000000000400e-07,3.379460327086772908e-01
1.710000000000000357e-07,3.379460327066272085e-01
1.720000000000000579e-07,3.379460327045771262e-01
1.730000000000000536e-07,3.379460327025269883e-01
1.740000000000000493e-07,3.379460327004768505e-01
1.750000000000000450e-07,3.379460326984267682e-01
1.760000000000000407e-07,3.379460326963765748e-01
1.770000000000000365e-07,3.379460326943264370e-01
1.780000000000000586e-07,3.379460326922763547e-01
1.790000000000000544e-07,3.379460326902262168e-01
1.800000000000000501e-07,3.379460326881760790e-01
1.810000000000000458e-07,3.379460326861259967e-01
1.820000000000000415e-07,3.379460326840758588e-01
1.830000000000000372e-07,3.379460326820256655e-01
1.840000000000000594e-07,3.379460326799755832e-01
1.850000000000000552e-07,3.379460326779255563e-01
1.860000000000000509e-07,3.379460326758753630e-01
1.870000000000000466e-07,3.379460326738252252e-01
1.880000000000000423e-07,3.379460326717751428e-01
1.890000000000000380e-07,3.379460326697250050e-01
1.900000000000000602e-07,3.379460326676748672e-01
1.910000000000000559e-07,3.379460326656248403e-01
1.920000000000000517e-07,3.379460326635745915e-01
1.930000000000000474e-07,3.379460326615244536e-01
1.940000000000000431e-07,3.379460326594744268e-01
1.950000000000000653e-07,3.379460326574242890e-01
1.960000000000000610e-07,3.379460326553740956e-01
1.970000000000000567e-07,3.379460326533240133e-01
1.980000000000000525e-07,3.379460326512738755e-01
1.990000000000000482e-07,3.379460326492237376e-01
2.000000000000000439e-07,3.379460326471736553e-01
2.010000000000000661e-07,3.379460326451235730e-01
2.020000000000000618e-07,3.379460326430733241e-01
2.030000000000000575e-07,3.379460326410232973e-01
2.040000000000000532e-07,3.379460326389732150e-01
2.050000000000000490e-07,3.379460326369230216e-01
2.060000000000000447e-07,3.379460326348728283e-01
2.070000000000000669e-07,3.379460326328228570e-01
2.080000000000000626e-07,3.379460326307726636e-01
2.090000000000000583e-07,3.379460326287225258e-01
2.100000000000000540e-07,3.379460326266723880e-01
2.110000000000000497e-07,3.379460326246223056e-01
2.120000000000000455e-07,3.379460326225721123e-01
2.130000000000000677e-07,3.379460326205220855e-01
2.140000000000000634e-07,3.379460326184719476e-01
2.150000000000000591e-07,3.379460326164217543e-01
2.160000000000000548e-07,3.379460326143716720e-01
2.170000000000000505e-07,3.379460326123215896e-01
2.180000000000000463e-07,3.379460326102714518e-01
2.190000000000000684e-07,3.379460326082213140e-01
2.200000000000000642e-07,3.379460326061712316e-01
2.210000000000000599e-07,3.379460326041210938e-01
2.220000000000000556e-07,3.379460326020709005e-01
2.230000000000000513e-07,3.379460326000208736e-01
2.240000000000000470e-07,3.379460325979706803e-01
2.250000000000000692e-07,3.379460325959205425e-01
2.260000000000000649e-07,3.379460325938704601e-01
2.270000000000000607e-07,3.379460325918203223e-01
2.280000000000000564e-07,3.379460325897701289e-01
2.290000000000000521e-07,3.379460325877201021e-01
2.300000000000000743e-07,3.379460325856700198e-01
2.310000000000000700e-07,3.379460325836197709e-01
2.320000000000000657e-07,3.379460325815696886e-01
2.330000000000000615e-07,3.379460325795196063e-01
2.340000000000000572e-07,3.379460325774694684e-01
2.350000000000000529e-07,3.379460325754193306e-01
2.360000000000000751e-07,3.379460325733692483e-01
2.370000000000000708e-07,3.379460325713191104e-01
2.380000000000000665e-07,3.379460325692689171e-01
2.390000000000000622e-07,3.379460325672188348e-01
2.400000000000000844e-07,3.379460325651686969e-01
2.410000000000000537e-07,3.379460325631185591e-01
2.420000000000000759e-07,3.379460325610684768e-01
2.430000000000000451e-07,3.379460325590183389e-01
2.440000000000000673e-07,3.379460325569681456e-01
2.450000000000000895e-07,3.379460325549181188e-01
2.460000000000000587e-07,3.379460325528680364e-01
2.470000000000000809e-07,3.379460325508177876e-01
2.480000000000000502e-07,3.379460325487677053e-01
2.490000000000000724e-07,3.379460325467176229e-01
2.500000000000000416e-07,3.379460325446674851e-01
2.510000000000000638e-07,3.379460325426173473e-01
2.520000000000000860e-07,3.379460325405672649e-01
2.530000000000000553e-07,3.379460325385171271e-01
2.540000000000000774e-07,3.379460325364669337e-01
2.550000000000000467e-07,3.379460325344168514e-01
2.560000000000000689e-07,3.379460325323667136e-01
2.570000000000000911e-07,3.379460325303165757e-01
2.580000000000000603e-07,3.379460325282664934e-01
2.590000000000000825e-07,3.379460325262164111e-01
2.600000000000000518e-07,3.379460325241661622e-01
2.610000000000000740e-07,3.379460325221160799e-01
2.620000000000000961e-07,3.379460325200660531e-01
2.630000000000000654e-07,3.379460325180158597e-01
2.640000000000000876e-07,3.379460325159657219e-01
2.650000000000000568e-07,3.379460325139156396e-01
2.660000000000000790e-07,3.379460325118655017e-01
2.670000000000000483e-07,3.379460325098153639e-01
2.680000000000000705e-07,3.379460325077652816e-01
2.690000000000000926e-07,3.379460325057150882e-01
2.700000000000000619e-07,3.379460325036649504e-01
2.710000000000000841e-07,3.379460325016148681e-01
2.720000000000000533e-07,3.379460324995647302e-01
2.730000000000000755e-07,3.379460324975145924e-01
2.740000000000000977e-07,3.379460324954645101e-01
2.750000000000000670e-07,3.379460324934144277e-01
2.760000000000000892e-07,3.379460324913642344e-01
2.770000000000000584e-07,3.379460324893140966e-01
2.780000000000000806e-07,3.379460324872640697e-01
2.790000000000000498e-07,3.379460324852138764e-01
2.800000000000000720e-07,3.379460324831637941e-01
2.810000000000000942e-07,3.379460324811136562e-01
2.820000000000000635e-07,3.379460324790635184e-01
2.830000000000000857e-07,3.379460324770133806e-01
2.840000000000000549e-07,3.379460324749633537e-01
2.850000000000000771e-07,3.379460324729131604e-01
2.860000000000000993e-07,3.379460324708629670e-01
2.870000000000000685e-07,3.379460324688128847e-01
2.880000000000000907e-07,3.379460324667628024e-01
2.890000000000000600e-07,3.379460324647126090e-01
2.900000000000000822e-07,3.379460324626625267e-01
2.910000000000001044e-07,3.379460324606124444e-01
2.920000000000000736e-07,3.379460324585622510e-01
2.930000000000000958e-07,3.379460324565121687e-01
2.940000000000000650e-07,3.379460324544620864e-01
2.950000000000000872e-07,3.379460324524118930e-01
2.960000000000000565e-07,3.379460324503618107e-01
2.970000000000000787e-07,3.379460324483117284e-01
2.980000000000001009e-07,3.379460324462615906e-01
2.990000000000000701e-07,3.379460324442113417e-01
3.000000000000000923e-07,3.379460324421613704e-01
3.010000000000000616e-07,3.379460324401111770e-01
3.020000000000000837e-07,3.379460324380610392e-01
3.030000000000001059e-07,3.379460324360109569e-01
3.040000000000000752e-07,3.379460324339608190e-01
3.050000000000000974e-07,3.379460324319106257e-01
3.060000000000000666e-07,3.379460324298605989e-01
3.070000000000000888e-07,3.379460324278105166e-01
3.080000000000000581e-07,3.379460324257603232e-01
3.090000000000000802e-07,3.379460324237101854e-01
3.100000000000001024e-07,3.379460324216601030e-01
3.110000000000000717e-07,3.379460324196099652e-01
3.120000000000000939e-07,3.379460324175598274e-01
3.130000000000000631e-07,3.379460324155097450e-01
3.140000000000000853e-07,3.379460324134596072e-01
3.150000000000001075e-07,3.379460324114094139e-01
3.160000000000000768e-07,3.379460324093593870e-01
3.170000000000000989e-07,3.379460324073091937e-01
3.180000000000000682e-07,3.379460324052590559e-01
3.190000000000000904e-07,3.379460324032089735e-01
3.200000000000001126e-07,3.379460324011588912e-01
3.210000000000000818e-07,3.379460323991086423e-01
3.220000000000001040e-07,3.379460323970586155e-01
3.230000000000000733e-07,3.379460323950085332e-01
3.240000000000000955e-07,3.379460323929583399e-01
3.250000000000000647e-07,3.379460323909082020e-01
3.260000000000000869e-07,3.379460323888581197e-01
3.270000000000001091e-07,3.379460323868079819e-01
3.280000000000000783e-07,3.379460323847578440e-01
3.290000000000001005e-07,3.379460323827077617e-01
3.300000000000000698e-07,3.379460323806576239e-01
3.310000000000000920e-07,3.379460323786074305e-01
3.320000000000001141e-07,3.379460323765573482e-01
3.330000000000000834e-07,3.379460323745072103e-01
3.340000000000001056e-07,3.379460323724570725e-01
3.350000000000000748e-07,3.379460323704069902e-01
3.360000000000000970e-07,3.379460323683569078e-01
3.370000000000000663e-07,3.379460323663066590e-01
3.380000000000000885e-07,3.379460323642566322e-01
3.390000000000001107e-07,3.379460323622065498e-01
3.400000000000000799e-07,3.379460323601563565e-01
3.410000000000001021e-07,3.379460323581062187e-01
3.420000000000000713e-07,3.379460323560561363e-01
3.430000000000000935e-07,3.379460323540059985e-01
3.440000000000001157e-07,3.379460323519558607e-01
3.450000000000000850e-07,3.379460323499057783e-01
3.460000000000001072e-07,3.379460323478555850e-01
3.470000000000000764e-07,3.379460323458054472e-01
3.480000000000000986e-07,3.379460323437553648e-01
3.490000000000000679e-07,3.379460323417052270e-01
3.500000000000000900e-07,3.379460323396550891e-01
3.510000000000001122e-07,3.379460323376050068e-01
3.520000000000000815e-07,3.379460323355549245e-01
3.530000000000001037e-07,3.379460323335046756e-01
3.540000000000000729e-07,3.379460323314545933e-01
3.550000000000000951e-07,3.379460323294045665e-01
3.560000000000001173e-07,3.379460323273543731e-01
3.570000000000000865e-07,3.379460323253042353e-01
3.580000000000001087e-07,3.379460323232541530e-01
3.590000000000000780e-07,3.379460323212040151e-01
3.600000000000001002e-07,3.379460323191538773e-01
3.610000000000001224e-07,3.379460323171037950e-01
3.620000000000000916e-07,3.379460323150536016e-01
3.630000000000001138e-07,3.379460323130034638e-01
3.640000000000000831e-07,3.379460323109533815e-01
3.650000000000001052e-07,3.379460323089033547e-01
3.660000000000000745e-07,3.379460323068531058e-01
3.670000000000000967e-07,3.379460323048030235e-01
3.680000000000001189e-07,3.379460323027529411e-01
3.690000000000000881e-07,3.379460323007028033e-01
3.700000000000001103e-07,3.379460322986526655e-01
3.710000000000000796e-07,3.379460322966025831e-01
3.720000000000001018e-07,3.379460322945523898e-01
3.730000000000001239e-07,3.379460322925022520e-01
3.740000000000000932e-07,3.379460322904522251e-01
3.750000000000001154e-07,3.379460322884020873e-01
3.760000000000000846e-07,3.379460322863518384e-01
3.770000000000001068e-07,3.379460322843018116e-01
3.780000000000000761e-07,3.379460322822516738e-01
3.790000000000000983e-07,3.379460322802015360e-01
3.800000000000001204e-07,3.379460322781513981e-01
3.810000000000000897e-07,3.379460322761013713e-01
3.820000000000001119e-07,3.379460322740511224e-01
3.830000000000000811e-07,3.379460322720010956e-01
