z[m],potential[V]
-2.000000000000000174e-07,0.000000000000000000e+00
-1.995900000000000290e-07,-2.832702555813955013e-05
-1.991800000000000140e-07,-5.665405111627910026e-05
-1.987700000000000256e-07,-8.498107667441858262e-05
-1.983600000000000371e-07,-1.133081022325581328e-04
-1.979499999999999958e-07,-1.416351277906996344e-04
-1.975400000000000073e-07,-1.699621533488391981e-04
-1.971300000000000189e-07,-1.982891789069787618e-04
-1.967200000000000039e-07,-2.266162044651182442e-04
-1.963100000000000155e-07,-2.549432300232578621e-04
-1.959000000000000270e-07,-2.832702555813973173e-04
-1.954900000000000121e-07,-3.115972811395368810e-04
-1.950800000000000237e-07,-3.399243066976764447e-04
-1.946700000000000087e-07,-3.682513322558179057e-04
-1.942599999999999938e-07,-3.965783578139575236e-04
-1.938500000000000054e-07,-4.249053833720969789e-04
-1.934400000000000169e-07,-4.532324089302364883e-04
-1.930300000000000020e-07,-4.815594344883760520e-04
-1.926200000000000135e-07,-5.098864600465156157e-04
-1.922100000000000251e-07,-5.382134856046551794e-04
-1.918000000000000102e-07,-5.665405111627947431e-04
-1.913899999999999952e-07,-5.948675367209361499e-04
-1.909800000000000068e-07,-6.231945622790757136e-04
-1.905699999999999919e-07,-6.515215878372152773e-04
-1.901600000000000034e-07,-6.798486133953548409e-04
-1.897500000000000150e-07,-7.108028810942983947e-04
-1.893400000000000265e-07,-7.421283194894362023e-04
-1.889300000000000116e-07,-7.734537578845740100e-04
-1.885200000000000231e-07,-8.047791962797119260e-04
-1.881100000000000347e-07,-8.361046346748497336e-04
-1.876999999999999933e-07,-8.674300730699898180e-04
-1.872900000000000049e-07,-8.987555114651276256e-04
-1.868800000000000164e-07,-9.300809498602654333e-04
-1.864700000000000015e-07,-9.614063882554032409e-04
-1.860600000000000130e-07,-9.927318266505411569e-04
-1.856500000000000246e-07,-1.024057265045679073e-03
-1.852400000000000097e-07,-1.055382703440816772e-03
-1.848300000000000212e-07,-1.086708141835954688e-03
-1.844200000000000328e-07,-1.118033580231092604e-03
-1.840099999999999914e-07,-1.149359018626232689e-03
-1.836000000000000029e-07,-1.180684457021370388e-03
-1.831900000000000145e-07,-1.212009895416508304e-03
-1.827799999999999995e-07,-1.243335333811646220e-03
-1.823700000000000111e-07,-1.274660772206784136e-03
-1.819600000000000226e-07,-1.305986210601921618e-03
-1.815500000000000342e-07,-1.337311648997059534e-03
-1.811399999999999928e-07,-1.368637087392199836e-03
-1.807300000000000043e-07,-1.399962525787337535e-03
-1.803200000000000159e-07,-1.431287964182475234e-03
-1.799100000000000010e-07,-1.467341911530616006e-03
-1.795000000000000125e-07,-1.504951735102659548e-03
-1.790900000000000241e-07,-1.542561558674703090e-03
-1.786800000000000092e-07,-1.580171382246746631e-03
-1.782700000000000207e-07,-1.617781205818790173e-03
-1.778600000000000322e-07,-1.655391029390833497e-03
