r[m],potential[V]
0.000000000000000000e+00,-5.782578525252654034e-01
1.000000000000000269e-09,-5.767251296260397231e-01
2.000000000000000538e-09,-5.751924067268138208e-01
3.000000000000001221e-09,-5.729165185535911586e-01
4.000000000000001076e-09,-5.703552078788307611e-01
5.000000000000000932e-09,-5.668577388829417751e-01
6.000000000000002442e-09,-5.628758372319518921e-01
7.000000000000002297e-09,-5.583807159270768317e-01
8.000000000000002153e-09,-5.532397017347190360e-01
9.000000000000002835e-09,-5.477261707732402618e-01
1.000000000000000186e-08,-5.414136624628688166e-01
1.100000000000000255e-08,-5.351011541524974824e-01
1.200000000000000488e-08,-5.278001902128551803e-01
1.300000000000000391e-08,-5.204864974468017547e-01
1.400000000000000459e-08,-5.125540995360361451e-01
1.500000000000000528e-08,-5.045417303969953471e-01
1.600000000000000431e-08,-4.961551150737009142e-01
1.700000000000000333e-08,-4.875636670323235111e-01
1.800000000000000567e-08,-4.787943656575089357e-01
1.900000000000000470e-08,-4.699093324636527402e-01
2.000000000000000373e-08,-4.609622003960369696e-01
2.100000000000000606e-08,-4.518880192308891153e-01
2.200000000000000509e-08,-4.427660234655627636e-01
2.300000000000000412e-08,-4.335451975166108030e-01
2.400000000000000977e-08,-4.243373274645168558e-01
2.500000000000000879e-08,-4.151620165264225948e-01
2.600000000000000782e-08,-4.059926404677406397e-01
2.700000000000001016e-08,-3.969454671399150203e-01
2.800000000000000919e-08,-3.878982938120894008e-01
2.900000000000000822e-08,-3.790224135983856768e-01
3.000000000000001055e-08,-3.701567634423971742e-01
3.100000000000000627e-08,-3.614122807721807940e-01
3.200000000000000861e-08,-3.527046939344679055e-01
3.300000000000001095e-08,-3.441640973522727687e-01
3.400000000000000667e-08,-3.357485486693649879e-01
3.500000000000000900e-08,-3.274652395005610561e-01
3.600000000000001134e-08,-3.193482435133171427e-01
3.700000000000000706e-08,-3.112871988911855015e-01
3.800000000000000940e-08,-3.034359712625904759e-01
3.900000000000001173e-08,-2.956396063631928084e-01
4.000000000000000745e-08,-2.881245589132064855e-01
4.100000000000000979e-08,-2.806095114632201626e-01
4.200000000000001213e-08,-2.733861828211555101e-01
4.300000000000000785e-08,-2.662066298414326182e-01
4.400000000000001019e-08,-2.592058576122097668e-01
4.500000000000001252e-08,-2.523202479551293620e-01
4.600000000000000824e-08,-2.456085025024098145e-01
4.700000000000001058e-08,-2.390518626467525720e-01
4.800000000000001953e-08,-2.325928700444102881e-01
4.900000000000001525e-08,-2.263335054415356040e-01
5.000000000000001759e-08,-2.201279539375782246e-01
5.100000000000001993e-08,-2.141555874740602994e-01
5.200000000000001565e-08,-2.081832210105424297e-01
5.300000000000001798e-08,-2.024710337609747224e-01
5.400000000000002032e-08,-1.968023293336579327e-01
5.500000000000001604e-08,-1.913324600403791820e-01
5.600000000000001838e-08,-1.859215666496823183e-01
