z[nm],potential[V]
-1.960000000000000081e-07,2.308052003064624547e-01
-1.952179999999999948e-07,2.308052003530786933e-01
-1.944360000000000081e-07,2.308052003996949042e-01
-1.936539999999999949e-07,2.308052004463111151e-01
-1.928720000000000081e-07,2.308052004929273260e-01
-1.920899999999999949e-07,2.308052005395435646e-01
-1.913080000000000081e-07,2.308052005861597755e-01
-1.905259999999999949e-07,2.308052006327759864e-01
-1.897440000000000082e-07,2.308052006793921973e-01
-1.889619999999999949e-07,2.308052007260084360e-01
-1.881800000000000082e-07,2.308052007726246468e-01
-1.873979999999999950e-07,2.308052008192408577e-01
-1.866160000000000082e-07,2.308052008658570686e-01
-1.858339999999999950e-07,2.308052009124733073e-01
-1.850520000000000082e-07,2.308052009590895182e-01
-1.842699999999999950e-07,2.308052010057057291e-01
-1.834880000000000083e-07,2.308052010523219399e-01
-1.827059999999999950e-07,2.308052010989381786e-01
-1.819240000000000083e-07,2.308052011455543895e-01
-1.811419999999999951e-07,2.308052011921706004e-01
-1.803600000000000083e-07,2.308052012387867835e-01
-1.795779999999999951e-07,2.308052012854029944e-01
-1.787960000000000083e-07,2.308052013320192053e-01
-1.780139999999999951e-07,2.308052013786354162e-01
-1.772320000000000084e-07,2.308052014252516548e-01
-1.764499999999999951e-07,2.308052014718678657e-01
-1.756680000000000084e-07,2.308052015184841321e-01
-1.748859999999999952e-07,2.308052015651003430e-01
-1.741040000000000084e-07,2.308052016117165539e-01
-1.733219999999999952e-07,2.308052016583327926e-01
-1.725400000000000084e-07,2.308052017049490034e-01
-1.717579999999999952e-07,2.308052017515651588e-01
-1.709760000000000085e-07,2.308052017981813975e-01
-1.701939999999999952e-07,2.308052018447976084e-01
-1.694120000000000085e-07,2.308052018914138193e-01
-1.686299999999999953e-07,2.308052019380300302e-01
-1.678480000000000085e-07,2.308052019846462133e-01
-1.670659999999999953e-07,2.308052020312624242e-01
-1.662840000000000085e-07,2.308052020778786628e-01
-1.655019999999999953e-07,2.308052021244948737e-01
-1.647200000000000086e-07,2.308052021711110846e-01
-1.639379999999999953e-07,2.308052022177273510e-01
-1.631560000000000086e-07,2.308052022643435619e-01
-1.623739999999999954e-07,2.308052023109597728e-01
-1.615920000000000086e-07,2.308052023575760114e-01
-1.608099999999999954e-07,2.308052024041922223e-01
-1.600280000000000086e-07,2.308052024508084332e-01
-1.592459999999999954e-07,2.308052024974246164e-01
-1.584640000000000087e-07,2.308052025440408273e-01
-1.576819999999999954e-07,2.308052025906570381e-01
-1.569000000000000087e-07,2.308052026372732768e-01
-1.561179999999999955e-07,2.308052026838894877e-01
-1.553360000000000087e-07,2.308052027305056986e-01
-1.545539999999999955e-07,2.308052027771219095e-01
-1.537720000000000087e-07,2.308052028237381481e-01
-1.529899999999999955e-07,2.308052028703543590e-01
-1.522080000000000087e-07,2.308052029169705699e-01
-1.514259999999999955e-07,2.308052029635867808e-01
-1.506440000000000088e-07,2.308052030102030194e-01
-1.498619999999999955e-07,2.308052030568192303e-01
-1.490800000000000088e-07,2.308052031034354412e-01
-1.482979999999999956e-07,2.308052031500516521e-01
-1.475160000000000088e-07,2.308052031966678908e-01
-1.467339999999999956e-07,2.308052032432841016e-01
-1.459520000000000088e-07,2.308052032899003125e-01
-1.451699999999999956e-07,2.308052033365165234e-01
-1.443880000000000089e-07,2.308052033831327621e-01
-1.436059999999999956e-07,2.308052034297489730e-01
-1.428240000000000089e-07,2.308052034763651839e-01
-1.420419999999999957e-07,2.308052035229813670e-01
-1.412600000000000089e-07,2.308052035695975779e-01
-1.404779999999999957e-07,2.308052036162137888e-01
-1.396960000000000089e-07,2.308052036628299997e-01
-1.389139999999999957e-07,2.308052037094462383e-01
-1.381320000000000090e-07,2.308052037560624492e-01
-1.373499999999999957e-07,2.308052038026787156e-01
-1.365680000000000090e-07,2.308052038492949265e-01
-1.357859999999999958e-07,2.308052038959111374e-01
-1.350039999999999825e-07,2.308052039425273760e-01
-1.342219999999999958e-07,2.308052039891435869e-01
-1.334400000000000090e-07,2.308052040357597423e-01
-1.326579999999999958e-07,2.308052040823759810e-01
-1.318759999999999826e-07,2.308052041289921918e-01
-1.310939999999999958e-07,2.308052041756084027e-01
-1.303120000000000091e-07,2.308052042222246136e-01
-1.295299999999999959e-07,2.308052042688408523e-01
-1.287479999999999826e-07,2.308052043154570077e-01
-1.279659999999999959e-07,2.308052043620732185e-01
-1.271840000000000091e-07,2.308052044086894572e-01
-1.264019999999999959e-07,2.308052044553056681e-01
-1.256199999999999827e-07,2.308052045019218790e-01
-1.248379999999999959e-07,2.308052045485381454e-01
-1.240560000000000092e-07,2.308052045951543563e-01
-1.232739999999999960e-07,2.308052046417705949e-01
-1.224919999999999827e-07,2.308052046883868058e-01
-1.217099999999999960e-07,2.308052047350030167e-01
-1.209280000000000092e-07,2.308052047816192276e-01
-1.201459999999999960e-07,2.308052048282354107e-01
-1.193639999999999828e-07,2.308052048748516216e-01
-1.185819999999999960e-07,2.308052049214678325e-01
-1.177999999999999960e-07,2.308052049680840712e-01
-1.170179999999999961e-07,2.308052050147002821e-01
-1.162359999999999961e-07,2.308052050613165485e-01
-1.154539999999999961e-07,2.308052051079327038e-01
-1.146719999999999961e-07,2.308052051545489425e-01
-1.138899999999999961e-07,2.308052052011651534e-01
-1.131079999999999961e-07,2.308052052477813643e-01
-1.123259999999999961e-07,2.308052052943975752e-01
-1.115439999999999961e-07,2.308052053410138138e-01
-1.107619999999999962e-07,2.308052053876300247e-01
-1.099799999999999962e-07,2.308052054342462356e-01
-1.091979999999999962e-07,2.308052054808624465e-01
-1.084159999999999962e-07,2.308052055274786851e-01
-1.076339999999999962e-07,2.308052055740948960e-01
-1.068519999999999962e-07,2.308052056207111069e-01
