r[nm],potential[V]
0.000000000000000000e+00,2.308052119307106853e-01
1.000000000000000269e-09,2.308052119296994109e-01
2.000000000000000538e-09,2.308052119286881643e-01
3.000000000000000807e-09,2.308052119276768066e-01
4.000000000000001076e-09,2.308052119266655045e-01
5.000000000000001759e-09,2.308052119256543133e-01
6.000000000000001614e-09,2.308052119246429557e-01
7.000000000000001470e-09,2.308052119236316535e-01
8.000000000000002153e-09,2.308052119226204069e-01
9.000000000000002835e-09,2.308052119216091047e-01
1.000000000000000352e-08,2.308052119205978026e-01
1.100000000000000255e-08,2.308052119195865282e-01
1.200000000000000323e-08,2.308052119185751982e-01
1.300000000000000391e-08,2.308052119175639239e-01
1.400000000000000294e-08,2.308052119165526217e-01
1.500000000000000528e-08,2.308052119155413195e-01
1.600000000000000431e-08,2.308052119145300174e-01
1.700000000000000333e-08,2.308052119135187152e-01
1.800000000000000567e-08,2.308052119125074964e-01
1.900000000000000470e-08,2.308052119114961664e-01
2.000000000000000704e-08,2.308052119104848643e-01
2.100000000000000606e-08,2.308052119094735899e-01
2.200000000000000509e-08,2.308052119084622877e-01
2.300000000000000743e-08,2.308052119074509856e-01
2.400000000000000646e-08,2.308052119064397389e-01
2.500000000000000549e-08,2.308052119054283813e-01
2.600000000000000782e-08,2.308052119044171346e-01
2.700000000000000685e-08,2.308052119034058880e-01
2.800000000000000588e-08,2.308052119023945303e-01
2.900000000000000822e-08,2.308052119013832282e-01
3.000000000000001055e-08,2.308052119003719815e-01
3.100000000000000627e-08,2.308052118993606239e-01
3.200000000000000861e-08,2.308052118983493772e-01
3.300000000000001095e-08,2.308052118973380751e-01
3.400000000000000667e-08,2.308052118963268007e-01
3.500000000000000900e-08,2.308052118953154708e-01
3.600000000000001134e-08,2.308052118943041964e-01
3.700000000000000706e-08,2.308052118932929497e-01
3.800000000000000940e-08,2.308052118922815921e-01
3.900000000000001173e-08,2.308052118912702899e-01
4.000000000000001407e-08,2.308052118902590710e-01
4.100000000000000979e-08,2.308052118892477411e-01
4.200000000000001213e-08,2.308052118882364390e-01
4.300000000000001447e-08,2.308052118872251646e-01
4.400000000000001019e-08,2.308052118862138624e-01
4.500000000000001252e-08,2.308052118852025603e-01
4.600000000000001486e-08,2.308052118841912581e-01
