z[nm],potential[V]
-1.960000000000000081e-07,2.693539080643058137e-01
-1.952179999999999948e-07,2.693539081279298086e-01
-1.944360000000000081e-07,2.693539081915538036e-01
-1.936539999999999949e-07,2.693539082551778541e-01
-1.928720000000000081e-07,2.693539083188017935e-01
-1.920899999999999949e-07,2.693539083824258440e-01
-1.913080000000000081e-07,2.693539084460498945e-01
-1.905259999999999949e-07,2.693539085096739449e-01
-1.897440000000000082e-07,2.693539085732979954e-01
-1.889619999999999949e-07,2.693539086369219904e-01
-1.881800000000000082e-07,2.693539087005459853e-01
-1.873979999999999950e-07,2.693539087641699803e-01
-1.866160000000000082e-07,2.693539088277940308e-01
-1.858339999999999950e-07,2.693539088914180257e-01
-1.850520000000000082e-07,2.693539089550420762e-01
-1.842699999999999950e-07,2.693539090186660712e-01
-1.834880000000000083e-07,2.693539090822901216e-01
-1.827059999999999950e-07,2.693539091459141721e-01
-1.819240000000000083e-07,2.693539092095381116e-01
-1.811419999999999951e-07,2.693539092731621620e-01
-1.803600000000000083e-07,2.693539093367862125e-01
-1.795779999999999951e-07,2.693539094004102075e-01
-1.787960000000000083e-07,2.693539094640342579e-01
-1.780139999999999951e-07,2.693539095276583084e-01
-1.772320000000000084e-07,2.693539095912823034e-01
-1.764499999999999951e-07,2.693539096549063538e-01
-1.756680000000000084e-07,2.693539097185303488e-01
-1.748859999999999952e-07,2.693539097821543438e-01
-1.741040000000000084e-07,2.693539098457783942e-01
-1.733219999999999952e-07,2.693539099094023892e-01
-1.725400000000000084e-07,2.693539099730264397e-01
-1.717579999999999952e-07,2.693539100366504346e-01
-1.709760000000000085e-07,2.693539101002744296e-01
-1.701939999999999952e-07,2.693539101638984801e-01
-1.694120000000000085e-07,2.693539102275225305e-01
-1.686299999999999953e-07,2.693539102911464700e-01
-1.678480000000000085e-07,2.693539103547705760e-01
-1.670659999999999953e-07,2.693539104183945709e-01
-1.662840000000000085e-07,2.693539104820185659e-01
-1.655019999999999953e-07,2.693539105456426164e-01
-1.647200000000000086e-07,2.693539106092666668e-01
-1.639379999999999953e-07,2.693539106728906618e-01
-1.631560000000000086e-07,2.693539107365147123e-01
-1.623739999999999954e-07,2.693539108001387072e-01
-1.615920000000000086e-07,2.693539108637627022e-01
-1.608099999999999954e-07,2.693539109273867527e-01
-1.600280000000000086e-07,2.693539109910107476e-01
-1.592459999999999954e-07,2.693539110546347426e-01
-1.584640000000000087e-07,2.693539111182587931e-01
-1.576819999999999954e-07,2.693539111818828435e-01
-1.569000000000000087e-07,2.693539112455068940e-01
-1.561179999999999955e-07,2.693539113091308890e-01
-1.553360000000000087e-07,2.693539113727548839e-01
-1.545539999999999955e-07,2.693539114363788789e-01
-1.537720000000000087e-07,2.693539115000029294e-01
-1.529899999999999955e-07,2.693539115636269243e-01
-1.522080000000000087e-07,2.693539116272509748e-01
-1.514259999999999955e-07,2.693539116908750253e-01
-1.506440000000000088e-07,2.693539117544990202e-01
-1.498619999999999955e-07,2.693539118181230707e-01
-1.490800000000000088e-07,2.693539118817470657e-01
-1.482979999999999956e-07,2.693539119453710606e-01
-1.475160000000000088e-07,2.693539120089951111e-01
-1.467339999999999956e-07,2.693539120726191061e-01
-1.459520000000000088e-07,2.693539121362431565e-01
-1.451699999999999956e-07,2.693539121998672070e-01
-1.443880000000000089e-07,2.693539122634912020e-01
-1.436059999999999956e-07,2.693539123271152524e-01
-1.428240000000000089e-07,2.693539123907392474e-01
-1.420419999999999957e-07,2.693539124543632424e-01
-1.412600000000000089e-07,2.693539125179872373e-01
-1.404779999999999957e-07,2.693539125816113433e-01
-1.396960000000000089e-07,2.693539126452353383e-01
-1.389139999999999957e-07,2.693539127088593887e-01
-1.381320000000000090e-07,2.693539127724833837e-01
-1.373499999999999957e-07,2.693539128361073787e-01
-1.365680000000000090e-07,2.693539128997314291e-01
-1.357859999999999958e-07,2.693539129633554241e-01
-1.350039999999999825e-07,2.693539130269794191e-01
-1.342219999999999958e-07,2.693539130906034695e-01
-1.334400000000000090e-07,2.693539131542274645e-01
-1.326579999999999958e-07,2.693539132178515150e-01
-1.318759999999999826e-07,2.693539132814755654e-01
-1.310939999999999958e-07,2.693539133450995604e-01
-1.303120000000000091e-07,2.693539134087236109e-01
-1.295299999999999959e-07,2.693539134723476058e-01
-1.287479999999999826e-07,2.693539135359716563e-01
-1.279659999999999959e-07,2.693539135995956513e-01
-1.271840000000000091e-07,2.693539136632197017e-01
-1.264019999999999959e-07,2.693539137268436967e-01
-1.256199999999999827e-07,2.693539137904677472e-01
-1.248379999999999959e-07,2.693539138540917421e-01
-1.240560000000000092e-07,2.693539139177157926e-01
-1.232739999999999960e-07,2.693539139813398431e-01
-1.224919999999999827e-07,2.693539140449637825e-01
-1.217099999999999960e-07,2.693539141085878330e-01
-1.209280000000000092e-07,2.693539141722118835e-01
-1.201459999999999960e-07,2.693539142358358229e-01
-1.193639999999999828e-07,2.693539142994598734e-01
-1.185819999999999960e-07,2.693539143630839239e-01
-1.177999999999999960e-07,2.693539144267079188e-01
-1.170179999999999961e-07,2.693539144903319138e-01
-1.162359999999999961e-07,2.693539145539560198e-01
-1.154539999999999961e-07,2.693539146175799592e-01
-1.146719999999999961e-07,2.693539146812040097e-01
-1.138899999999999961e-07,2.693539147448280602e-01
-1.131079999999999961e-07,2.693539148084520551e-01
-1.123259999999999961e-07,2.693539148720761056e-01
-1.115439999999999961e-07,2.693539149357001006e-01
-1.107619999999999962e-07,2.693539149993241510e-01
-1.099799999999999962e-07,2.693539150629482015e-01
-1.091979999999999962e-07,2.693539151265721410e-01
-1.084159999999999962e-07,2.693539151901961914e-01
-1.076339999999999962e-07,2.693539152538201864e-01
-1.068519999999999962e-07,2.693539153174442369e-01
-1.060699999999999962e-07,2.693539153810682873e-01
-1.052879999999999962e-07,2.693539154446923378e-01
-1.045059999999999963e-07,2.693539155083163328e-01
-1.037239999999999963e-07,2.693539155719403277e-01
-1.029419999999999963e-07,2.693539156355643782e-01
-1.021599999999999963e-07,2.693539156991883177e-01
-1.013779999999999963e-07,2.693539157628123681e-01
-1.005959999999999963e-07,2.693539158264364186e-01
-9.981399999999999632e-08,2.693539158900604691e-01
-9.903199999999999634e-08,2.693539159536844640e-01
-9.824999999999999635e-08,2.693539160173084590e-01
-9.746799999999999636e-08,2.693539160809325095e-01
-9.668599999999999637e-08,2.693539161445565044e-01
-9.590399999999999638e-08,2.693539162081804994e-01
-9.512199999999999640e-08,2.693539162718045499e-01
-9.433999999999999641e-08,2.693539163354286003e-01
-9.355799999999999642e-08,2.693539163990525953e-01
-9.277599999999999643e-08,2.693539164626766458e-01
-9.199399999999999644e-08,2.693539165263006963e-01
-9.121199999999999646e-08,2.693539165899246912e-01
-9.042999999999999647e-08,2.693539166535487417e-01
-8.964799999999999648e-08,2.693539167171727367e-01
-8.886599999999999649e-08,2.693539167807967316e-01
-8.808399999999999651e-08,2.693539168444207821e-01
-8.730199999999999652e-08,2.693539169080447770e-01
-8.651999999999999653e-08,2.693539169716687720e-01
-8.573799999999999654e-08,2.693539170352928225e-01
-8.495599999999999655e-08,2.693539170989168174e-01
-8.417399999999999657e-08,2.693539171625408679e-01
-8.339199999999999658e-08,2.693539172261648629e-01
-8.260999999999999659e-08,2.693539172897889133e-01
-8.182799999999999660e-08,2.693539173534129083e-01
-8.104599999999999661e-08,2.693539174170369588e-01
-8.026399999999999663e-08,2.693539174806609537e-01
-7.948199999999999664e-08,2.693539175442850042e-01
-7.869999999999999665e-08,2.693539176079090547e-01
-7.791799999999999666e-08,2.693539176715330496e-01
-7.713599999999999667e-08,2.693539177351571001e-01
-7.635399999999999669e-08,2.693539177987810951e-01
-7.557199999999998346e-08,2.693539178624050900e-01
-7.478999999999999671e-08,2.693539179260291405e-01
-7.400799999999998349e-08,2.693539179896531355e-01
-7.322599999999999674e-08,2.693539180532771860e-01
-7.244399999999998351e-08,2.693539181169012364e-01
-7.166199999999999676e-08,2.693539181805252314e-01
-7.087999999999998354e-08,2.693539182441492263e-01
-7.009799999999999678e-08,2.693539183077732768e-01
-6.931599999999998356e-08,2.693539183713972163e-01
-6.853399999999999681e-08,2.693539184350212667e-01
-6.775199999999998358e-08,2.693539184986453172e-01
-6.696999999999999683e-08,2.693539185622693122e-01
-6.618799999999998361e-08,2.693539186258934182e-01
-6.540599999999999686e-08,2.693539186895174131e-01
-6.462399999999998363e-08,2.693539187531414081e-01
-6.384199999999999688e-08,2.693539188167654586e-01
-6.305999999999998366e-08,2.693539188803894535e-01
-6.227799999999999690e-08,2.693539189440134485e-01
-6.149599999999998368e-08,2.693539190076374990e-01
-6.071399999999999693e-08,2.693539190712614939e-01
-5.993199999999998371e-08,2.693539191348855444e-01
-5.914999999999999695e-08,2.693539191985095949e-01
-5.836799999999998373e-08,2.693539192621335898e-01
-5.758599999999999698e-08,2.693539193257575848e-01
-5.680399999999998375e-08,2.693539193893816353e-01
-5.602199999999999700e-08,2.693539194530056302e-01
-5.523999999999998378e-08,2.693539195166296807e-01
-5.445799999999999703e-08,2.693539195802537312e-01
-5.367599999999998380e-08,2.693539196438777261e-01
-5.289399999999999705e-08,2.693539197075017766e-01
-5.211199999999998383e-08,2.693539197711257716e-01
-5.132999999999999707e-08,2.693539198347497665e-01
-5.054799999999998385e-08,2.693539198983737615e-01
-4.976599999999999710e-08,2.693539199619978119e-01
-4.898399999999998388e-08,2.693539200256218624e-01
-4.820199999999999712e-08,2.693539200892459129e-01
-4.741999999999998390e-08,2.693539201528698523e-01
-4.663799999999999715e-08,2.693539202164939028e-01
-4.585599999999998392e-08,2.693539202801179533e-01
-4.507399999999999717e-08,2.693539203437419483e-01
-4.429199999999998395e-08,2.693539204073659432e-01
-4.350999999999999719e-08,2.693539204709899937e-01
-4.272799999999998397e-08,2.693539205346139886e-01
-4.194599999999999722e-08,2.693539205982380391e-01
-4.116399999999998400e-08,2.693539206618620896e-01
-4.038199999999999724e-08,2.693539207254860846e-01
-3.959999999999998402e-08,2.693539207891101350e-01
-3.881799999999999727e-08,2.693539208527341300e-01
-3.803599999999998404e-08,2.693539209163581805e-01
-3.725399999999999729e-08,2.693539209799821754e-01
-3.647199999999998407e-08,2.693539210436061704e-01
-3.568999999999999732e-08,2.693539211072302209e-01
-3.490799999999998409e-08,2.693539211708542158e-01
-3.412599999999999734e-08,2.693539212344782108e-01
-3.334399999999998412e-08,2.693539212981022613e-01
-3.256199999999999736e-08,2.693539213617263672e-01
-3.177999999999998414e-08,2.693539214253503067e-01
-3.099799999999999739e-08,2.693539214889743572e-01
-3.021599999999998417e-08,2.693539215525983521e-01
-2.943399999999999741e-08,2.693539216162223471e-01
-2.865199999999998419e-08,2.693539216798463976e-01
-2.786999999999999744e-08,2.693539217434704480e-01
-2.708799999999998421e-08,2.693539218070944430e-01
-2.630599999999999746e-08,2.693539218707184935e-01
-2.552399999999998424e-08,2.693539219343424884e-01
-2.474199999999999748e-08,2.693539219979664834e-01
-2.395999999999998426e-08,2.693539220615905339e-01
-2.317799999999999751e-08,2.693539221252145288e-01
-2.239599999999998429e-08,2.693539221888385793e-01
-2.161399999999999753e-08,2.693539222524626298e-01
-2.083199999999998431e-08,2.693539223160866247e-01
-2.004999999999999756e-08,2.693539223797106752e-01
-1.926799999999998433e-08,2.693539224433347257e-01
-1.848599999999999758e-08,2.693539225069586651e-01
-1.770399999999998436e-08,2.693539225705827156e-01
-1.692199999999999761e-08,2.693539226342067106e-01
-1.613999999999998438e-08,2.693539226978307055e-01
-1.535799999999999763e-08,2.693539227614548115e-01
-1.457599999999998441e-08,2.693539228250788065e-01
-1.379399999999999765e-08,2.693539228887028014e-01
-1.301199999999998443e-08,2.693539229523268519e-01
-1.222999999999999768e-08,2.693539230159508469e-01
-1.144799999999998446e-08,2.693539230795748418e-01
-1.066599999999999770e-08,2.693539231431988923e-01
-9.883999999999984480e-09,2.693539232068228872e-01
-9.101999999999997727e-09,2.693539232704469377e-01
-8.319999999999984504e-09,2.693539233340709882e-01
-7.537999999999997751e-09,2.693539233976949832e-01
-6.755999999999984528e-09,2.693539234613190336e-01
-5.973999999999997775e-09,2.693539235249430286e-01
-5.191999999999984552e-09,2.693539235885670791e-01
-4.409999999999997799e-09,2.693539236521910740e-01
-3.627999999999984577e-09,2.693539237158151245e-01
-2.845999999999997824e-09,2.693539237794391195e-01
-2.063999999999984601e-09,2.693539238430631699e-01
-1.281999999999997848e-09,2.693539239066871649e-01
-4.999999999999846249e-10,2.693539239703111599e-01
2.820000000000021281e-10,2.693539240339352103e-01
1.064000000000015351e-09,2.693539240975592608e-01
1.846000000000002104e-09,2.693539241611832558e-01
2.628000000000015327e-09,2.693539242248073062e-01
3.410000000000002080e-09,2.693539242884313012e-01
4.192000000000015303e-09,2.693539243520553517e-01
4.974000000000028525e-09,2.693539244156794021e-01
5.756000000000015278e-09,2.693539244793033416e-01
6.538000000000028501e-09,2.693539245429273921e-01
7.320000000000015254e-09,2.693539246065514425e-01
8.102000000000028477e-09,2.693539246701754375e-01
8.884000000000015230e-09,2.693539247337994325e-01
9.666000000000028453e-09,2.693539247974234829e-01
1.044800000000001521e-08,2.693539248610474779e-01
1.123000000000002843e-08,2.693539249246715284e-01
1.201200000000001518e-08,2.693539249882955233e-01
1.279400000000002840e-08,2.693539250519195183e-01
1.357600000000001516e-08,2.693539251155435688e-01
1.435800000000002838e-08,2.693539251791675637e-01
1.514000000000001513e-08,2.693539252427916142e-01
1.592200000000002836e-08,2.693539253064156092e-01
1.670400000000001511e-08,2.693539253700396041e-01
1.748600000000002833e-08,2.693539254336637101e-01
1.826800000000001508e-08,2.693539254972877606e-01
1.905000000000002831e-08,2.693539255609117555e-01
1.983200000000001506e-08,2.693539256245357505e-01
2.061400000000002828e-08,2.693539256881598010e-01
2.139600000000001504e-08,2.693539257517837959e-01
2.217800000000002826e-08,2.693539258154078464e-01
2.296000000000001501e-08,2.693539258790318414e-01
2.374200000000002824e-08,2.693539259426558363e-01
2.452400000000001499e-08,2.693539260062798868e-01
2.530600000000002821e-08,2.693539260699038818e-01
2.608800000000001496e-08,2.693539261335279322e-01
2.687000000000002819e-08,2.693539261971519827e-01
2.765200000000001494e-08,2.693539262607759222e-01
2.843400000000002816e-08,2.693539263243999726e-01
2.921600000000001492e-08,2.693539263880240231e-01
2.999800000000002814e-08,2.693539264516480181e-01
3.078000000000001489e-08,2.693539265152720685e-01
3.156200000000002811e-08,2.693539265788960635e-01
3.234400000000001487e-08,2.693539266425200585e-01
3.312600000000002809e-08,2.693539267061441089e-01
3.390800000000001484e-08,2.693539267697681594e-01
3.469000000000002807e-08,2.693539268333921544e-01
3.547200000000001482e-08,2.693539268970162048e-01
3.625400000000002804e-08,2.693539269606401998e-01
3.703600000000001479e-08,2.693539270242642503e-01
3.781800000000002802e-08,2.693539270878883007e-01
3.860000000000001477e-08,2.693539271515122402e-01
3.938200000000002799e-08,2.693539272151362907e-01
4.016400000000001475e-08,2.693539272787603411e-01
