r[nm],potential[V]
0.000000000000000000e+00,2.693539239296308119e-01
1.000000000000000269e-09,2.693539239282569664e-01
2.000000000000000538e-09,2.693539239268831764e-01
3.000000000000000807e-09,2.693539239255092199e-01
4.000000000000001076e-09,2.693539239241353744e-01
5.000000000000001759e-09,2.693539239227614734e-01
6.000000000000001614e-09,2.693539239213875724e-01
7.000000000000001470e-09,2.693539239200136715e-01
8.000000000000002153e-09,2.693539239186398815e-01
9.000000000000002835e-09,2.693539239172659250e-01
1.000000000000000352e-08,2.693539239158920795e-01
1.100000000000000255e-08,2.693539239145181785e-01
1.200000000000000323e-08,2.693539239131442775e-01
1.300000000000000391e-08,2.693539239117703765e-01
1.400000000000000294e-08,2.693539239103965310e-01
1.500000000000000528e-08,2.693539239090226300e-01
1.600000000000000431e-08,2.693539239076487291e-01
1.700000000000000333e-08,2.693539239062748836e-01
1.800000000000000567e-08,2.693539239049010381e-01
1.900000000000000470e-08,2.693539239035270816e-01
2.000000000000000704e-08,2.693539239021532361e-01
2.100000000000000606e-08,2.693539239007793906e-01
2.200000000000000509e-08,2.693539238994054341e-01
2.300000000000000743e-08,2.693539238980315331e-01
2.400000000000000646e-08,2.693539238966577432e-01
2.500000000000000549e-08,2.693539238952838422e-01
2.600000000000000782e-08,2.693539238939099412e-01
2.700000000000000685e-08,2.693539238925360957e-01
2.800000000000000588e-08,2.693539238911621392e-01
2.900000000000000822e-08,2.693539238897882937e-01
3.000000000000001055e-08,2.693539238884144482e-01
3.100000000000000627e-08,2.693539238870405472e-01
3.200000000000000861e-08,2.693539238856666462e-01
3.300000000000001095e-08,2.693539238842928008e-01
3.400000000000000667e-08,2.693539238829189553e-01
3.500000000000000900e-08,2.693539238815449988e-01
3.600000000000001134e-08,2.693539238801710978e-01
3.700000000000000706e-08,2.693539238787973078e-01
3.800000000000000940e-08,2.693539238774234068e-01
3.900000000000001173e-08,2.693539238760494503e-01
4.000000000000001407e-08,2.693539238746756603e-01
4.100000000000000979e-08,2.693539238733017038e-01
4.200000000000001213e-08,2.693539238719278583e-01
4.300000000000001447e-08,2.693539238705540129e-01
4.400000000000001019e-08,2.693539238691801119e-01
